报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2006-09-30,2005-12-31,2004-12-31,
基本每股收益(元),0.04,0.07,0.03,0.08,0.1,0.07,0.03,0.13,0.12,0.07,0.03,0.11,0.11,0.06,0.05,0.28,0.18,0.14,0.05,0.3,0.17,0.09,0.01,0.08,0.1,0.05,0.01,0.23,0.26,0.27,0.06,0.57,0.45,0.3,--,0.35,0.45,0.19,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,1.96,1.95,1.91,3.78,3.73,3.63,2.08,1.99,3.53,3.4,3.33,3.28,3.27,3.29,3.24,3.24,3.22,3.25,5.05,4.99,4.93,4.81,2.56,2.27,--,2.88,2.06,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.05,-0.1,-0.26,0.2,-0.37,-0.31,-0.18,0.11,-0.24,-0.17,-0.18,0.08,-0.01,0.04,-0.02,0.08,0.05,0.13,-0.43,-0.78,-0.14,0.48,0.21,--,0.96,0.7,
主营业务收入(万元),58705,40365,16918,79330,62102,42375,18374,85538,64059,40176,14378,64654,48331,30401,15643,73232,57310,38642,14155,52546,34184,19706,7969,32091,23404,14217,5829,41303,33974,21655,8196,34464,24962,15466,27580,17247,23621,17366,
主营业务利润(万元),15090,10384,4125,19309,15907,10435,4526,20629,15847,9313,3292,15367,11526,6544,3532,17234,12772,7980,3103,11032,6819,4216,1615,6917,5390,3091,1148,8748,7816,4814,1853,8501,6162,4151,7562,5173,6231,4173,
营业利润(万元),4822,3506,1654,4564,5199,3541,1335,5761,5952,3095,748,3588,3539,1643,1234,6245,4018,2796,1147,3303,1865,1017,87,531,741,203,-167,2328,3270,2025,525,4093,2996,1901,3617,2677,2869,1048,
投资收益(万元),791,442,38,595,--,--,--,49,47,47,--,-48,--,0,--,68,5,5,5,375,308,3,9,71,5,4,--,0,-1,-6,--,-26,--,--,-18,--,1,-29,
营业外收支净额(万元),1079,821,658,758,596,425,139,1516,843,699,614,2458,2389,1649,59,745,513,402,49,323,258,142,67,549,530,427,291,--,--,351,--,178,--,60,0,-9,1,4,
利润总额(万元),5902,4327,2312,5322,5795,3966,1474,7277,6795,3795,1362,6046,5928,3292,1294,6989,4532,3198,1196,3626,2123,1159,154,1079,1271,629,124,2867,3622,2377,525,4271,3069,1961,3624,2668,2870,1052,
净利润(万元),4531,3463,1799,3874,4368,3142,1203,5688,5190,3003,1092,4724,4504,2699,1062,5661,3687,2638,1013,3234,1833,1000,140,905,1115,555,116,2466,2821,1829,404,3147,2316,1516,2672,1757,2294,971,
净利润(扣除非经常性损益后)(万元),3441,2349,1677,2719,3882,2799,1086,4306,4478,2409,571,2793,--,1367,--,5020,--,2311,--,2535,--,879,--,429,--,193,0,2012,0,1537,0,2484,0,1476,2680,--,2229,988,
经营活动产生的现金流量净额(万元),-1222,-1685,-3831,-1413,-1667,-867,-2128,2594,1893,1340,-765,6043,-2142,-4037,-5497,4220,-7806,-6037,-3528,1154,-2602,-1857,-1989,919,-143,460,-172,854,573,876,-2948,-5312,-917,2417,1050,278,2959,2163,
现金及现金等价物净增加额(万元),-15603,-32871,-26656,38562,-2775,-5446,-4823,-7142,-5749,-8748,-3448,-21207,-25005,-15460,-12111,31695,23442,-5119,-1966,2592,-8011,-5958,-3118,-2687,-2498,-3125,-1203,-2978,-3053,-1750,-3337,12729,18996,3856,-960,-803,2248,38,
总资产(万元),333139,242158,229634,229230,228831,171350,163311,158337,155681,143688,137821,135590,131386,124331,126385,128672,121439,80701,69987,67884,53874,51559,53043,53701,55326,54275,55444,54833,54874,53128,53724,52514,52481,32609,27992,--,23041,18270,
流动资产(万元),134131,129330,121929,128079,135437,85027,79639,79182,91143,87362,81296,82540,83647,83617,87761,91070,94091,62781,52541,51833,38145,35103,37092,38665,41997,41593,44468,44395,45353,44197,44656,43599,43563,24191,19774,--,15028,12805,
总负债(万元),126919,38585,27224,28712,30483,71783,65223,62400,60826,50888,47044,45347,41510,37203,39732,43120,39385,39101,30779,29307,16674,15181,17120,17927,19573,19060,20237,19817,19483,18775,19758,18944,19720,19405,16298,--,13996,11797,
流动负债(万元),114391,31119,19560,20897,24393,65521,59807,56838,55106,46039,43916,43071,39038,34962,37442,41225,38023,37824,29563,28214,15584,14028,16013,16747,18499,17918,18991,19657,19441,18732,19715,18901,19534,19219,16242,--,13939,11420,
股东权益不含少数股东权益(万元),195243,194359,193167,191366,191799,93151,91636,89353,88038,86354,84471,83363,82965,81208,80260,79142,77126,40543,38912,38284,36899,36066,35601,35445,35656,35096,35079,34866,35233,34199,33792,33387,32568,13020,11503,--,8867,6350,
净资产收益率加权(%),2.34,1.79,0.93,2.92,3.83,3.44,1.34,6.63,6.06,3.54,1.3,5.83,5.55,3.36,1.33,10.18,7.73,6.51,2.53,8.77,3.13,2.77,0.39,2.57,--,1.57,0,7.24,0,5.43,0,17.7,0,12.37,26.24,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
