报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.19,0.08,0.02,0.16,0.1,0.08,0.02,0.15,0.12,0.09,0.05,0.15,0.1,0.08,0.05,0.2,0.12,0.09,0.04,0.19,0.14,0.13,0.06,0.11,0.07,0.04,0.01,0.16,0.13,0.12,0.05,0.29,0.22,0.12,0.06,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.4,3.38,3.39,3.34,3.26,3.27,3.23,3.18,3.13,4.31,3.93,3.87,3.83,3.81,4.53,4.51,4.48,4.46,4.4,4.36,4.28,4.18,4.12,4.04,3.52,3.39,4.87,4.39,3.94,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.11,0.3,0.22,1,0.41,0.79,0.2,-0.51,0.09,0.13,0.24,0.18,0.1,0.04,0.18,0.45,0.3,0.13,0.22,1.02,0.64,0.43,0.18,-0.55,0,0.34,0.84,1.2,0.72,
主营业务收入(万元),211314,143881,75031,339946,238887,162177,81454,326003,238386,158101,77407,315771,230285,152470,71118,297161,211122,134273,64038,240808,167046,106324,48353,180408,129759,80532,37735,164989,127896,79142,36694,147427,114584,66844,35485,131492,108451,61177,127359,115784,93411,
主营业务利润(万元),32248,21696,10090,43708,29460,18792,8838,39477,26142,18691,7978,36857,22447,15212,6764,31885,20131,13921,6329,29294,19025,11305,4490,15817,11690,7252,3525,20314,15787,11442,4484,25420,19570,11180,--,22313,17754,10219,20993,19923,14227,
营业利润(万元),5431,3972,813,3784,2877,1824,763,3081,4185,3966,1359,4010,2951,2191,786,6249,5173,4506,1434,8882,5940,2933,759,546,734,301,94,3598,3351,3248,1378,9244,7616,4040,2162,8281,0,3387,7493,6965,5426,
投资收益(万元),-26,-18,-11,-11,18,16,3,7,-4,-9,-7,--,--,--,--,0,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,0,--,--,0,-13,0,-13,-13,-3,14,
营业外收支净额(万元),6954,1276,604,6260,3902,3196,859,7738,4175,2311,2137,7107,3948,3263,2510,5914,3435,1565,1652,3814,2610,2066,1363,3659,1828,1322,351,1687,--,--,--,202,--,--,--,263,0,--,--,--,--,
利润总额(万元),12386,5248,1417,10043,6779,5020,1621,10819,8360,6277,3496,11117,6899,5454,3297,12163,8608,6071,3086,12696,8549,4999,2122,4206,2562,1623,445,5285,4073,3609,1625,9446,7606,4033,2162,8531,6326,3419,7365,6946,5528,
净利润(万元),10117,4237,1184,8444,5275,4029,1288,8012,6335,4714,2669,7977,5287,4129,2475,10256,6404,4519,2313,9013,6394,3741,1590,3069,1920,1242,333,3864,3080,2716,1219,6886,5096,2702,1448,5716,4239,2291,4935,4654,3703,
净利润(扣除非经常性损益后)(万元),4371,3178,672,6445,3949,2780,764,6824,6332,4711,2666,6131,--,4138,--,8935,--,4584,--,8448,--,3616,--,2099,--,250,0,2599,0,2446,--,6750,0,2707,--,5539,4209,2246,5050,4670,3345,
经营活动产生的现金流量净额(万元),8993,-5546,-15712,23367,9464,3111,-5632,24877,17669,11505,6966,24144,-5577,15590,11190,51732,21429,41046,10471,-26569,4480,4763,6754,5191,2718,1225,4226,10606,6940,3094,5261,24016,15102,10101,4219,-12915,8526,5175,8682,12315,7399,
现金及现金等价物净增加额(万元),4755,2839,5219,536,5097,206,1999,8315,9077,6630,534,-10018,-3943,-9259,-8697,882,-20778,-2927,-1705,18632,27595,32518,3114,10322,-329,-503,1941,-2906,-6082,-5708,-7110,-1325,3535,1197,3633,9016,0,724,1199,2048,837,
总资产(万元),611792,597768,591737,558866,581579,512504,520305,500574,474830,465989,451498,464047,466829,430747,415625,433275,394587,388018,400347,393843,337105,318180,259437,257845,247623,241796,236302,230751,226040,217357,203611,208763,205599,196739,188544,184670,0,142768,137034,122436,119636,
流动资产(万元),317877,308766,307753,274211,351981,279566,289423,279699,264056,253945,238166,250077,272961,237340,212974,234565,194042,188404,231229,231629,182830,168940,121342,119530,109832,106783,102095,100280,96361,96306,87476,95599,105260,102685,108316,105165,67464,67437,62268,51414,47735,
总负债(万元),410947,402653,398304,366749,391943,319273,328183,313539,289706,282437,270059,285280,284892,249877,234302,254402,219536,216331,230819,228324,174364,158125,148874,148873,139863,134709,130203,125003,121074,112731,100403,106668,105233,98826,91984,90039,0,90383,86940,77276,79130,
流动负债(万元),202662,206512,196016,174068,217494,201050,194485,205434,176373,173079,173332,188470,192079,195506,207317,227191,202524,194528,187945,188141,127762,123272,116113,116113,120724,115567,111088,105894,98263,97713,90559,96788,95301,88924,89629,78259,69674,73163,64140,52503,51383,
股东权益不含少数股东权益(万元),200844,195114,193433,192117,189636,189439,188329,187035,185124,183552,181439,178767,176678,175539,175958,173502,169681,169907,167729,165519,162741,160055,110563,108972,107760,107087,106099,105748,104967,104626,103208,102095,100366,97913,96561,94631,54333,52385,50095,45160,40506,
净资产收益率加权(%),5.13,2.18,0.61,4.41,2.78,2.13,0.68,4.38,3.48,2.6,1.48,4.52,3,2.35,1.42,5.91,3.8,2.68,1.39,6.39,4.8,3.38,1.45,2.86,--,1.17,0,3.71,0,2.63,--,6.99,0,2.76,--,10.17,0,4.47,10.36,10.87,9.83,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
