报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2005-12-31,2004-12-31,2003-12-31,2002-12-31,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),1.67,1.2,0.6,1.89,1.4,0.97,0.48,1.51,1.15,0.81,0.4,1.35,1,0.74,0.35,1.08,0.79,0.54,0.26,0.9,0.77,0.5,0.32,0.84,0.67,0.44,0.22,0.79,0.66,0.43,0.22,0.62,0.48,0.29,0.13,0.49,0.26,0.3,0.18,--,--,--,--,--,
每股净资产(元),13.16,13.06,11.43,10.93,10.33,9.83,9.58,8.96,8.89,8.71,8.74,8.29,7.97,7.79,7.63,7.29,6.88,6.65,6.6,6.34,5.75,5.48,6.91,6.55,6.38,6.22,6.35,6.15,5.85,5.55,5.68,5.41,5.3,2.27,0,2.16,--,1.74,1.38,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),23.08,20.06,12.17,37.56,29.7,21.24,12.57,22.44,17.56,14.58,10.49,3.75,0.71,3.55,0.25,4.22,3.5,4.87,0.6,8.91,8.33,9.03,9.11,6.2,4.7,3.57,2.4,3.37,3.1,1.06,2.73,0.42,0.56,3.68,0,1.91,2.71,--,4.52,--,--,--,--,--,
主营业务收入(万元),1660486,1091523,506404,1599153,1153143,743210,342496,1047829,771785,512375,249636,911445,680748,477202,224366,746254,526993,349078,167093,530553,395461,256314,120911,362761,259586,174152,88680,322367,227136,146817,71718,192568,140221,82510,43217,150909,74195,121945,84259,100962,47763,48852,46119,41892,
主营业务利润(万元),664310,460891,218628,701079,518034,358846,172901,556169,421355,300644,149755,495784,363428,269965,127741,390999,284381,194409,95631,282881,224170,144904,71764,187358,144957,95054,49465,173519,142488,91712,49806,103710,81221,45974,24652,77746,39795,49821,29699,25880,-18248,-16266,-7928,-12581,
营业利润(万元),664310,460891,218628,701079,518034,358846,172901,556169,421355,300644,149755,495784,363428,269965,127741,390999,284381,194409,95631,282881,224170,144904,71764,187358,144957,95054,49465,173519,142488,91712,49806,103710,81221,45974,24652,77746,39795,49821,29699,25880,-18248,-16266,-7928,-12581,
投资收益(万元),62797,49375,18674,61159,36584,29797,10997,37248,20600,15239,7953,48102,38023,28748,12522,15445,9458,6329,3675,21079,23400,16662,8372,24230,23434,24873,16364,14425,4664,715,-2116,2108,5252,3315,4576,2999,4476,2282,-3089,37611,37034,27273,18302,22309,
营业外收支净额(万元),2635,2414,1967,4682,4966,3319,1380,4683,1911,1662,153,2256,1344,-434,-116,3927,2618,328,30,1053,80,289,-3,-232,-68,-37,-67,542,230,-204,-56,2619,-283,-9,-10,-665,9,-135,-200,-874,-2081,-342,-1,62,
利润总额(万元),666945,463305,220595,705761,523001,362166,174280,560852,423267,302306,149908,498040,364771,269531,127625,394926,286999,194738,95662,283934,224251,145193,71761,187126,144890,95017,49398,174061,142718,91508,49750,106330,80938,45965,24642,77082,39803,49686,29499,16951,16711,10825,10403,10152,
净利润(万元),517819,356754,177345,560862,415994,286656,141979,449686,341871,240355,119182,401260,296524,218397,103339,321150,234163,158930,78461,231091,182705,119711,58729,154373,122420,80060,41310,145610,121312,78832,41029,90949,64702,34939,15112,59463,31584,36717,21801,16951,16597,10825,9461,7402,
