报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.17,0.13,0.05,0.25,0.17,0.13,0.04,0.21,0.17,0.18,0.11,0.2,0.19,0.31,
每股净资产(元),--,--,--,--,--,1.88,--,1.95,--,1.78,1.71,1.72,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.27,--,0.6,--,0.54,0.27,0.38,--,--,
主营业务收入(万元),436700,300090,154320,572264,415049,284373,140730,593467,445636,542372,259571,435312,370815,308755,
主营业务利润(万元),61526,44579,18712,78457,55755,39737,14472,65773,54406,66608,35681,65156,59320,64642,
营业利润(万元),31170,23751,8869,39252,28999,20324,5344,32588,28444,29090,18033,32421,22166,30948,
投资收益(万元),19,-55,--,484,270,140,--,352,275,134,99,2336,364,242,
营业外收支净额(万元),2145,1906,1002,3725,2637,1794,1420,4590,1200,3326,1472,1642,5495,3212,
利润总额(万元),33315,25657,9871,42977,31635,22118,6764,37178,29644,32417,19505,34062,27662,34160,
净利润(万元),27223,20947,8389,35958,26655,18362,5567,30048,23703,25352,15636,28061,22833,27704,
净利润(扣除非经常性损益后)(万元),25413,19343,7388,28548,24019,16847,4147,26132,22503,22542,14387,25015,17650,24310,
经营活动产生的现金流量净额(万元),56415,43079,7251,85190,59492,38498,7116,83327,64372,75139,38194,53232,49558,54015,
现金及现金等价物净增加额(万元),12940,2576,-3428,9355,8752,-28689,-16441,7029,14659,-2408,-4149,24325,-42573,150066,
总资产(万元),775811,753396,749345,722022,721487,638607,--,627436,--,582062,541930,520692,494136,514526,
流动资产(万元),314454,293915,298698,280092,291380,242011,--,263971,--,266223,249373,242048,219737,289414,
总负债(万元),408983,393934,382613,365620,373162,350847,--,329949,--,307720,278497,256660,243098,259938,
流动负债(万元),204433,192906,183897,170341,180500,159208,--,141802,--,135980,113506,99895,97165,129880,
股东权益不含少数股东权益(万元),339039,331794,339265,329384,322619,263098,--,272706,--,249003,239460,240582,232436,235729,
净资产收益率加权(%),8.04,6.14,2.51,12.51,8.95,6.62,2.02,11.49,7.96,10.42,6.37,11.74,9.4,18.46,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
