报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,1999-12-31,1998-12-31,
基本每股收益(元),0.31,0.1,0.03,0.4,0.78,-0.13,-0.01,0.02,-1.16,-0.89,0.01,-0.08,-0.04,-0.03,0.01,0.14,0.13,0.04,0.01,0.17,0.17,0,0,0.17,0.17,0.16,0.13,0.38,0.48,0.48,0.4,0.17,0.03,-0,-0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,1.13,--,1.17,1.18,2.06,2.05,0.61,0.76,0.76,-0.49,-0.52,-0.69,--,-0.71,-0.71,-0.72,-0.75,-0.88,-0.79,-0.79,-0.86,-1.26,-1.39,-1.43,-1.43,-1.43,0.6,0.64,0.77,0.78,1.28,1.35,1.78,1.75,1.73,3.42,3.36,3.33,3.21,3.2,3.2,3.08,3.11,3.09,3.05,2.98,2.93,1.5,1.46,1.25,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.02,--,-0.09,-0.09,--,0.27,0.14,0.08,-0.03,0.23,0.19,0.12,0,0.13,0.04,0.04,0,0.07,0.06,0.03,0.03,0.02,0,0,0,0.07,0,0,0,0.57,0,0,0,0.15,0,0,0,0.01,0,0,0,0.14,0,0.26,--,-0.09,0.04,0.06,0.94,0,
主营业务收入(万元),95387,54237,33670,2990,716,274,102,417,400,27,0,51426,37339,23700,12048,23880,18456,11436,4825,6137,4703,3605,2453,5303,3776,2562,1226,4072,2616,2051,1763,960,88,55,15,8642,6351,6351,4869,58528,23462,19089,13035,99050,51776,17988,8213,44320,27055,20576,8649,30317,17692,12590,5628,14299,5370,10429,9278,12979,
主营业务利润(万元),42397,26689,16418,226,-8,76,44,249,-253,27,0,2063,2752,2609,3749,12243,10174,6301,2551,3005,2179,1607,1054,2533,2370,1506,787,1901,1855,1519,694,-4,-61,-79,--,3956,3104,3104,2668,11304,7566,6094,4001,16476,7811,3588,1864,6851,4143,3145,1633,6460,4336,3186,1909,4892,1913,3339,3840,4518,
营业利润(万元),19920,7394,1992,-13541,-4619,-2768,-1062,310,-37238,-33548,1016,-18340,-6359,-4371,1873,6446,5426,3117,1083,-707,426,543,694,-3843,800,222,401,-2236,726,624,332,-7669,-1876,-1573,-217,-14380,-132,621,1239,-1653,2917,4195,2606,9337,4042,1375,502,2978,1278,1161,745,2892,2045,1505,884,2392,855,1955,1308,1032,
投资收益(万元),1446,245,27,-644,-162,-162,--,19573,3400,3422,3727,-79,-71,-24,-68,29,158,150,175,49,30,23,81,-272,224,71,179,409,549,385,161,-222,--,--,0,-7639,-2922,-2611,-148,-2830,-639,-436,-225,-441,-228,-118,-59,-18,-13,-9,-4,-18,-13,-9,-4,-18,3,-38,-6,-7,
营业外收支净额(万元),2766,-3,-14,19639,19672,-37,-37,495,-165158,-125511,-3,953,-87,-40,5,5610,5418,53,54,6477,5538,177,1,9433,4964,4964,3949,14501,--,14494,--,--,--,--,--,-47953,0,0,0,-6746,0,0,0,267,0,0,0,500,456,0,771,-318,-304,-12,0,-9,0,-4,0,0,
利润总额(万元),22686,7391,1977,6098,15053,-2806,-1099,805,-202396,-159060,1013,-17387,-6446,-4411,1879,12056,10844,3170,1137,5771,5964,720,695,5590,5764,5186,4350,12265,15214,15117,12585,5040,964,-137,-271,-69973,-4030,-2787,856,-11229,1325,2961,2390,9242,4364,1577,470,3548,1721,1603,1512,2649,1744,1493,875,2368,871,2318,2063,1488,
净利润(万元),19116,6018,1511,7936,15461,-2559,-1003,3286,-185816,-143340,1041,-13323,-6007,-4336,1119,9261,8502,1698,573,5358,5133,60,152,5146,5104,4987,3974,11705,14672,14679,12289,5073,999,-111,-253,-55838,-4720,-3849,-289,-16035,-1689,218,649,1886,1302,1012,351,2756,1453,1342,1259,2066,1343,1152,694,1947,631,1764,1550,972,
净利润(扣除非经常性损益后)(万元),15794,5873,1525,-11710,-4218,-2528,-972,-17300,-17195,-14494,--,-13620,--,-4308,--,3709,--,1662,--,-772,--,-116,--,-4288,--,22,0,-2874,0,185,0,-7257,0,-1546,--,-7884,0,-3052,0,-9288,0,1015,0,1619,0,807,0,2121,0,960,0,2336,1587,1155,--,1953,631,--,0,0,
经营活动产生的现金流量净额(万元),43139,13932,9145,-8964,-6091,-5094,-3282,-2809,2388,2419,2790,-70118,-14955,-14996,155,24998,9649,3803,-1580,7147,5897,3629,30,3916,1333,1341,-12,2083,1791,800,835,700,6,-1,8,2157,6396,6230,-3121,16212,11970,3860,-2219,3383,3227,3412,25,143,2372,3753,437,1554,0,2861,--,-1064,461,452,7028,0,
现金及现金等价物净增加额(万元),30126,-11602,-7227,-11551,-3941,-9253,-5253,-797,-360,15,46,-125735,-125918,-92048,-76497,148454,279,-2953,562,3452,16494,24681,8020,332,519,527,-12,-94,14,44,34,35,652,645,8,-6414,-7395,-7391,-281,-17390,-17102,-14751,-11640,17462,-10321,-6741,-6344,5670,8032,6093,-369,-13908,0,-3303,--,18975,17021,-2612,2367,0,
总资产(万元),194909,184177,185780,143522,150559,152267,143417,148899,241614,240313,301685,405166,397824,439944,389493,393602,166403,153684,146496,82248,74047,73843,47087,34749,38242,36497,37045,35821,40336,41356,38105,34521,37448,44231,43618,43378,53618,54447,137717,137289,147624,150114,150707,171344,189090,114391,113578,118149,99078,91203,87045,76769,72696,66028,62827,59892,48601,30571,24142,21335,
流动资产(万元),158222,146186,146570,52916,63795,66969,62166,67233,109239,111964,150234,194024,198288,240760,202505,196968,29730,18579,23030,6406,38368,39653,17126,4810,6135,4532,5379,4333,8854,10078,29079,28283,26871,33619,33197,32920,37093,37456,123168,122548,116853,116661,116691,141881,160041,71473,68493,72118,64822,56618,--,0,--,0,46329,0,0,18912,0,17009,
总负债(万元),35747,38137,44345,112678,110754,131777,139523,143896,289532,244883,84611,189958,172861,212850,156311,161801,114553,108911,103306,93858,85656,90382,64426,52560,55898,54543,55915,58902,60253,61349,61124,70761,75214,83098,86849,86338,35340,34925,106424,104512,100065,100777,101773,122374,141586,74028,74036,78985,62477,54676,50584,41590,37848,31396,28696,26494,15837,18791,12804,11948,
