报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2006-12-31,2005-12-31,2005-06-30,2004-12-31,2004-06-30,2003-12-31,2003-06-30,2002-12-31,2001-12-31,2000-12-31,1999-12-31,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.17,0.14,0.03,0.59,0.52,0.37,0.19,0.71,0.52,0.36,0.2,0.63,0.48,0.34,0.21,0.73,0.57,0.36,0.2,0.76,0.55,0.36,0.18,0.56,0.44,0.27,0.1,0.62,0.47,0.26,0.14,0.75,0.59,0.42,0.76,0.72,--,0.55,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,6.02,0,5.68,5.69,5.71,5.48,5.34,5.32,5.34,5.13,4.92,4.87,4.82,4.63,4.5,4.45,4.42,4.32,4.01,3.8,3.84,3.7,0,3.29,3.02,2.66,0,2.24,0,0,0,0,0,0,0,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.09,0,0.92,0.26,0.12,1.59,1.18,0.7,0.37,1.74,1.36,0.82,0.41,1.46,1.07,0.73,0.34,0.97,0.82,0.46,0.18,1.17,0,0.63,1.15,1.17,0,0.83,0,0,0,0,0,0,0,0,0,0,
主营业务收入(万元),130510500,87762400,41033600,228296200,175454800,115396800,52894700,225812400,168278400,110109600,54026300,219529600,159826900,104666100,52564700,200384300,148290800,95224700,44598000,146541500,104809900,68479700,31879500,101927500,68301900,41527700,18158200,107114600,85365800,54952200,25904800,83503700,59861600,39272600,68897800,55222900,25248900,38863300,17840400,30377931,14796000,24426440,23889357,24199088,17596900,14728700,15738100,14367700,
主营业务利润(万元),16918000,11897300,4834400,31983400,25052000,17230000,8540000,31762100,22658800,14339900,8494600,31439900,23150000,15518700,8512800,32053200,24864600,16612500,8518300,31754000,22874900,15051600,7140600,25641900,18238500,11196200,4713500,27100900,20318000,12634400,6138300,27924700,20543000,14273300,27469600,25583900,8553700,19238300,6425600,13572671,5499500,10059347,9171827,10840261,4690000,3548900,4863200,4759100,
营业利润(万元),4667300,3736300,907200,15387700,13237300,9254300,4570100,15171100,10524100,6674800,4826500,16543100,12429000,8620500,5282600,18451700,14648500,9953200,5387200,19308600,13773800,8911400,4469000,14476500,10780400,6392900,2441900,14933200,11676700,7072500,3813800,19395800,14656200,10593400,19232500,18936900,0,14171200,0,9541916,0,6379216,5891488,7463907,0,0,0,0,
投资收益(万元),352500,378900,175400,1229700,974600,629600,298000,1076900,744900,477800,273600,878700,685500,520300,294800,1263000,811400,574200,245800,704300,441700,262600,191500,140900,167200,88500,3600,473300,614500,429700,127000,630100,412300,309000,134400,178600,0,98200,0,61751,0,13856,20026,38473,0,0,0,0,
营业外收支净额(万元),118500,107100,94000,289100,392000,317100,153200,2630500,2946300,2701300,140300,137900,61000,138600,125100,-24100,-351800,-128100,-36700,-389200,-289100,-57600,-18000,-499800,-67400,-33300,-2000,1176800,1023800,248100,--,--,--,36000,0,-434000,0,-270000,0,0,0,0,0,0,0,0,0,0,
利润总额(万元),4785800,3843400,1001200,15676800,13629300,9571400,4723300,17801600,13470400,9376100,4966800,16681000,12490000,8759100,5407700,18427600,14296700,9825100,5350500,18919400,13484700,8853800,4451000,13976700,10713000,6359600,2439900,16110000,12700500,7320600,3823300,19282500,14594200,10629400,18979000,18502900,8546700,13901200,6390900,8943429,0,5850854,5845732,7167471,0,0,0,0,
净利润(万元),3059800,2540400,614900,10717300,9604400,6812200,3424800,12957700,9529300,6552100,3601700,11532300,8695400,6202400,3915300,13298400,10343700,6600600,3700200,13987100,9991000,6521100,3244900,10317300,8114900,5032600,1877400,11379800,8660200,4835500,2651900,13457400,10489600,7588200,13622900,12786700,6222100,9728100,4601000,6241959,3861900,3908905,3966073,4697228,2700100,1527500,2984800,3145600,
