报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.47,0.27,0.11,0.51,0.31,0.21,0.08,0.61,0.36,0.21,0.09,0.44,0.29,0.19,0.18,0.73,0.48,0.33,0.17,0.92,0.62,0.42,0.77,0.54,0.52,0.41,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,6.06,5.96,10.87,10.68,10.44,10.28,10.42,10.25,3.13,2.93,2.51,--,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.2,-0.47,-0.67,-0.08,-1.21,-1.01,-0.6,0.39,-0.58,-0.49,0.85,-0.06,0.97,0.3,
主营业务收入(万元),99072,62377,27562,138788,91161,58361,26312,117166,69485,42720,18266,93444,60056,38873,21204,93749,63739,42632,20988,67056,40840,26545,53046,34478,54962,42327,
主营业务利润(万元),30875,18944,8313,41452,27709,18013,8338,37054,21718,12947,5478,27526,16871,10898,5615,23233,15269,9937,4913,19727,12626,8194,14725,9933,12534,8028,
营业利润(万元),16119,9363,3918,16875,11342,7084,2629,14467,8773,5095,2052,10141,6470,4067,2399,9217,6252,4016,2106,8778,5980,4091,6733,4998,4726,3516,
投资收益(万元),2509,1397,233,1602,1138,1051,108,1043,281,128,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业外收支净额(万元),517,190,81,659,254,202,156,728,468,249,87,489,310,274,17,378,202,149,111,136,103,80,56,-41,35,67,
利润总额(万元),16636,9553,3999,17534,11596,7286,2786,15195,9241,5344,2139,10630,6780,4342,2416,9595,6455,4165,2217,8914,6083,4171,6789,4957,4761,3583,
净利润(万元),13924,7994,3409,15256,9302,6111,2444,12668,7450,4342,1829,9157,5997,3971,2123,8414,5573,3775,1953,7916,5316,3605,6144,4338,4191,3299,
净利润(扣除非经常性损益后)(万元),13497,7836,3341,14698,9112,5960,2312,12067,7060,4137,1764,8741,--,3738,--,8093,--,3648,--,7802,5227,3536,5996,4278,4029,3010,
经营活动产生的现金流量净额(万元),3049,-4825,-2174,13733,-3794,-13163,-12523,11146,577,-1933,-3750,5509,-4208,-9742,-7761,-972,-13888,-11657,-6951,4518,-4984,-4189,7342,-488,7776,2431,
现金及现金等价物净增加额(万元),-1347,-183,-81,-6624,-4083,-11433,-10171,-46465,-51941,-52777,-6775,-11230,-17691,-19071,-10832,-14918,-25859,-20578,-10169,88293,-5420,-3241,5210,-1969,1666,-398,
总资产(万元),222002,204694,212125,216996,203241,191338,190576,204254,185038,164103,160335,165067,149356,144253,145682,150994,144682,143824,144614,147220,50079,46481,47982,--,33392,28507,
流动资产(万元),172060,155006,162447,166823,147083,135550,140877,154075,135873,119244,117371,124426,111594,110550,114405,121243,116750,118319,121025,126979,31059,27613,29206,--,20116,17996,
总负债(万元),54454,42889,50616,59315,51719,43332,44439,60809,47199,32063,27958,34438,22022,18949,18753,26083,22577,24304,23431,29123,22897,20973,26365,--,19299,17806,
流动负债(万元),50834,39505,47160,56387,48740,40351,41678,58508,44927,30340,26141,32719,20483,17426,17655,25353,21901,23650,22771,28488,22322,20398,25781,--,18766,17641,
股东权益不含少数股东权益(万元),165163,159199,158833,155422,149158,145676,143820,141066,135483,129789,130382,128554,125392,123366,124967,122845,120003,118221,119848,117896,26933,25222,21617,--,14093,10702,
净资产收益率加权(%),8.67,5.03,2.17,10.32,6.44,4.26,1.72,9.48,5.69,3.33,1.41,7.3,4.82,3.2,1.71,7.01,4.68,3.15,1.64,30.95,0,15.39,35.79,--,33.99,34.8,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
