报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.47,0.31,0.1,0.63,0.43,0.31,0.13,0.81,0.53,0.34,0.14,0.64,0.49,0.35,0.19,0.79,0.63,0.44,0.48,0.23,0.11,
每股净资产(元),2.25,2.08,1.84,3.57,3.3,3.17,3,5.55,5.27,5.08,4.98,4.84,4.7,4.56,5.65,5.76,5.59,1.72,1.27,0.79,0.44,
每股经营活动产生的现金流量净额(元),0.21,0.06,0.02,0.39,0.09,-0.02,-0.08,0.73,0.17,0.25,0.02,0.35,0.26,0.09,0.08,0.41,0.31,0.29,0.31,0.07,--,
主营业务收入(万元),122805,77933,29401,137036,97900,70756,33411,101084,63910,39071,17707,83486,60390,39390,17188,60842,45807,31104,36393,15783,12613,
主营业务利润(万元),64830,43655,14524,57463,36938,24978,10459,35892,24571,15920,6727,29827,21599,14812,6640,24498,18160,11961,14614,5769,4062,
营业利润(万元),45792,30773,9576,33046,22385,15887,6809,22426,14579,9420,3890,17840,13622,9495,4025,13558,10042,6927,7797,2579,1349,
投资收益(万元),--,--,--,-86,-82,-65,-33,-45,-21,--,--,--,--,--,--,0,--,--,--,--,5,
营业外收支净额(万元),909,680,236,520,329,171,50,100,32,27,-42,214,199,191,200,351,246,245,21,57,-33,
利润总额(万元),46701,31452,9812,33565,22714,16058,6859,22526,14611,9447,3848,18054,13821,9686,4225,13909,10287,7172,7817,2636,1316,
净利润(万元),42664,28493,9014,28829,19765,13921,5869,19293,12570,8020,3331,15191,11840,8400,3568,11781,8721,6037,6646,2275,1084,
净利润(扣除非经常性损益后)(万元),--,27917,--,28406,--,13776,--,19208,--,7997,--,15009,--,8238,--,11484,--,5829,6629,2235,1579,
经营活动产生的现金流量净额(万元),18775,5540,1792,17538,3890,-755,-3563,17422,3984,5889,569,8402,6184,2106,1408,7573,5685,4071,4247,1018,21,
现金及现金等价物净增加额(万元),18626,16626,-6906,-15137,-26089,-17820,-18914,-8060,-12016,-2923,-2659,-18677,-12769,-4978,-1078,73914,76865,3903,-378,1837,646,
总资产(万元),313603,294657,239037,222055,182654,176649,157225,144700,135030,133196,128183,123759,120862,121495,123578,112817,113366,37183,29577,18573,12238,
流动资产(万元),158294,145751,98430,97382,83189,94280,82537,86637,88036,90610,87419,85275,89784,96179,98432,94284,98332,22338,14834,10162,5962,
总负债(万元),100914,97290,65972,54264,26978,28266,18754,11301,8386,11109,8416,7332,7796,12206,19286,6590,10229,13417,11915,7572,5937,
流动负债(万元),66063,63033,36645,31113,25089,26329,16769,9385,6718,9438,6742,5655,6117,11776,18838,6191,9829,13116,11745,7572,5937,
股东权益不含少数股东权益(万元),205050,189711,167174,162172,149968,144123,136154,132675,125950,121409,119109,115779,112428,108973,104026,105981,102921,23570,17523,10876,6102,
净资产收益率加权(%),23.25,16.27,5.44,19.84,14.06,10.09,4.35,15.56,10.39,6.72,2.84,13.87,10.93,7.62,3.31,27.66,39.85,29.39,46.81,31.42,20.24,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
