报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.4,0.63,0.22,3.11,2.32,1.68,--,2.68,1.69,1.02,--,1.38,0.79,--,--,
每股净资产(元),6.7,14.5,14.85,14.63,13.84,13.17,--,6.76,--,--,--,4.08,2.83,2.6,1.81,
每股经营活动产生的现金流量净额(元),-0.38,-0.82,-1.06,2.9,-0.5,-0.41,--,2.13,--,-0.29,--,1.81,0.61,-0.44,-0.15,
主营业务收入(万元),58343,38088,14641,108043,73471,48475,--,84582,57138,36625,14305,60505,33957,21498,13662,
主营业务利润(万元),21146,13942,5351,42751,31517,20523,--,33233,22651,13950,14305,22252,14225,8997,6021,
营业利润(万元),6135,4231,1143,24792,18309,11795,--,17975,12154,7257,3116,10217,6311,4272,1876,
投资收益(万元),743,751,99,13,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),3073,2775,1276,3799,2630,2261,--,5229,3369,1561,--,2021,677,267,244,
利润总额(万元),9208,7006,2419,28591,20939,14056,--,23204,15523,8818,3881,12238,6987,4538,2120,
净利润(万元),8264,5994,2095,26437,18937,12608,3500,20118,12668,7622,3290,10334,5891,3866,1755,
净利润(扣除非经常性损益后)(万元),--,5898,--,25680,--,12147,3117,19009,--,6781,2639,8998,5327,3747,1624,
经营活动产生的现金流量净额(万元),-7844,-7811,-10106,27525,-4794,-3872,-6562,15953,-593,-2166,-5889,13577,4538,-2787,-618,
现金及现金等价物净增加额(万元),-7990,-7260,-27807,62795,55421,70197,--,13655,-2149,-3141,-6198,11931,4334,2434,338,
总资产(万元),160129,164895,159184,163290,145288,155277,67504,63817,--,--,--,36099,27315,21394,10154,
流动资产(万元),135413,139935,134366,153945,142659,154446,66760,63073,--,--,--,35566,26766,21017,10024,
总负债(万元),17904,24829,15682,21803,13802,30121,13305,13117,--,--,--,5517,6068,5037,2842,
流动负债(万元),15479,22363,13176,19258,13136,29455,12639,12151,--,--,--,5217,5768,4977,2842,
股东权益不含少数股东权益(万元),140029,137758,141080,138985,131486,125157,54199,50700,--,--,--,30582,21248,16357,7313,
净资产收益率加权(%),5.87,4.22,1.5,27.87,23.44,22.12,--,49.5,--,22.16,--,39.12,30.92,36.22,30.99,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
