报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.48,0.32,0.12,0.59,0.46,0.34,--,0.54,0.32,0.23,--,0.57,0.14,0.59,0.82,0.79,
每股净资产(元),--,--,--,--,--,2.02,--,1.98,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,0.15,--,0.44,--,-0.25,--,0.62,-0.01,0.1,1.03,0.56,
主营业务收入(万元),118566,78043,32559,130892,96543,61413,--,104144,63819,43526,14370,99978,22275,89288,73584,52127,
主营业务利润(万元),42918,28188,11518,47921,34879,22503,--,39141,24568,16461,14370,35940,8519,34014,29795,21245,
营业利润(万元),15519,10812,3961,14818,12004,8116,--,11102,5980,4392,-940,12247,3204,12618,9947,6350,
投资收益(万元),985,680,307,--,11,--,--,--,--,--,--,--,--,-33,78,14,
营业外收支净额(万元),2294,795,230,1934,925,484,--,2563,1870,1330,--,2931,326,1961,1939,914,
利润总额(万元),17812,11607,4191,16752,12929,8599,--,13665,7850,5722,-756,15178,3530,14579,11886,7264,
净利润(万元),14063,9323,3578,14096,10762,7332,2590,11699,6859,5005,-512,12443,2942,12370,9769,6297,
净利润(扣除非经常性损益后)(万元),13470,8995,3501,13746,10525,7101,2492,10743,5966,4397,-524,10914,2781,11635,8885,6111,
经营活动产生的现金流量净额(万元),-16081,-6372,-8569,21716,3316,3150,-5550,9635,-5280,-5322,-3291,13490,-182,2050,12284,4464,
现金及现金等价物净增加额(万元),-38659,-40816,-38616,40090,35501,-8656,--,7874,-4028,-1729,--,-78,-89,-3252,11068,712,
总资产(万元),224808,203029,190717,182902,192106,140956,135846,136884,--,--,--,109581,110826,111298,85141,59012,
流动资产(万元),192295,173945,127287,156082,167439,116377,--,112594,--,--,--,85557,87042,87148,66653,48540,
总负债(万元),106217,90081,79864,85722,98278,95692,95599,92301,--,--,--,71893,78837,82358,57818,39499,
流动负债(万元),104138,87632,77600,83421,90036,87296,--,84373,--,--,--,69408,61081,67411,48785,33837,
股东权益不含少数股东权益(万元),113996,108916,107237,95353,92037,43657,38901,42809,--,--,--,35874,30704,27762,25523,18143,
净资产收益率加权(%),12.74,9,3.59,23.51,19.99,16.96,--,28.04,17.45,13.04,--,36.62,10.06,42.65,46.09,43.23,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
