报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2008-09-30,2007-12-31,2006-12-31,
基本每股收益(元),0.03,0.03,0.04,0.02,0.09,0.07,0.03,0.12,0.09,0.06,0.04,0.14,0.11,0.09,0.05,0.2,0.1,0.07,0.02,0.15,0.13,0.09,0.04,0.45,0.38,0.29,0.48,0.35,0.58,0.32,
每股净资产(元),--,--,--,--,--,--,--,--,--,2.88,--,--,3.37,3.35,1.96,3.08,2.97,2.94,3.56,3.54,3.52,3.49,5.47,5.43,5.34,3.51,3.22,--,2.73,1.79,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.04,-0.07,0,-0.01,-0.26,-0.13,-0.13,-0.18,-0.06,-0.01,0.01,0.22,0.12,0.36,0.1,--,0.48,0.62,
主营业务收入(万元),70646,44996,23777,120168,86344,55754,26396,92957,64033,37324,15310,69286,50352,34785,15314,41715,23740,13171,4639,20877,15273,10134,3612,19254,14837,9855,19555,15048,19349,14705,
主营业务利润(万元),10699,7581,4459,17247,13899,8759,3923,15806,11364,7961,3592,14131,10502,7521,3500,9171,4671,2691,790,4399,3362,2307,759,5447,4181,2872,5038,3974,5118,3421,
营业利润(万元),2917,2565,1959,-151,3210,2303,646,2044,4563,3378,1931,6049,4928,3844,1938,5057,2476,1566,250,2179,2077,1502,363,3615,2806,1987,3503,2866,3788,2228,
投资收益(万元),231,--,--,--,--,--,--,--,--,--,--,--,--,--,--,2,--,--,--,--,--,--,--,--,--,0,0,0,0,-19,
营业外收支净额(万元),227,205,43,1140,875,999,1000,3505,254,196,51,355,63,128,98,70,97,99,100,219,74,69,63,238,228,208,106,--,281,-25,
利润总额(万元),3144,2770,2002,989,4085,3302,1646,5549,4818,3573,1982,6403,4991,3972,2036,5127,2574,1665,350,2398,2151,1571,426,3853,3034,2195,3610,2975,4070,2202,
净利润(万元),2915,2246,1535,748,3527,2630,1216,4608,3373,2531,1423,4331,3079,2414,1307,3307,1613,1149,251,2099,1791,1300,355,3237,2505,1835,3062,2222,3285,1808,
净利润(扣除非经常性损益后)(万元),2727,2072,1498,-337,2790,1784,373,1106,3169,2370,1382,4075,--,2312,--,3246,--,1079,--,1917,--,1246,--,3034,--,1658,2973,--,2335,1493,
经营活动产生的现金流量净额(万元),-623,3162,3141,505,-1582,2001,915,-2438,-3753,-2861,-2035,-3805,-1414,-2215,1,-229,-4311,-2182,-1796,-2425,-807,-196,73,1883,1060,2301,653,660,3057,3539,
现金及现金等价物净增加额(万元),2895,-471,-3008,-293,-2257,-2509,2828,8961,20882,35299,2380,6941,6981,10664,-2815,16,-3042,-1086,51,-7565,-5219,-4202,-1194,13058,19512,1521,-1229,-1932,3115,-408,
总资产(万元),266180,234159,229617,236333,238618,230266,237671,229981,230337,235782,200791,187561,180924,180612,106315,98093,90650,89847,75050,70724,67509,63949,62096,57775,57691,36946,32783,--,27471,20395,
流动资产(万元),159011,146179,141350,147603,151254,142752,150179,140095,143829,150393,134392,120790,122138,121581,58533,52051,43013,44400,35720,31732,42613,40805,42743,40420,41926,23143,18375,--,12792,6743,
总负债(万元),84701,53154,107176,115673,115000,107591,115802,109713,112696,117855,83460,71906,66797,67259,51343,44596,38951,38870,25237,21166,18260,15195,14292,10331,10250,14515,12203,--,9997,10182,
流动负债(万元),82600,51883,105734,114235,110567,103069,109684,102581,102498,107550,77081,64444,60208,60590,45018,40230,33518,33311,21098,17024,14178,11162,11299,10182,10102,12017,9225,--,6078,8963,
股东权益不含少数股东权益(万元),176523,176177,117684,116106,119059,118167,117497,116140,113640,114185,113794,112374,111144,110472,51828,50852,48968,48505,48982,48731,48423,47932,46987,46632,45900,20913,19078,--,16017,8882,
净资产收益率加权(%),3.02,1.64,1.31,0.62,3,2.24,1.04,4.04,2.98,2.23,1.26,5.03,3.96,3.93,2.54,6.64,3.29,2.33,0.51,4.4,3.77,2.75,0.76,11.24,--,9.18,17.45,--,22.66,22.66,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
