报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.28,0.35,0.09,0.67,0.27,0.33,0.09,1.05,1.13,1.04,
每股净资产(元),--,--,4.82,4.73,--,--,--,4.46,3.71,2.83,
每股经营活动产生的现金流量净额(元),--,--,-1.37,0.23,--,--,-1.3,1.18,1.03,0.72,
主营业务收入(万元),39429,24984,9992,43421,30014,19602,8793,37009,35244,29047,
主营业务利润(万元),12263,7743,3233,13872,9636,6237,2620,12088,12065,10027,
营业利润(万元),3864,2128,588,3909,2647,1971,564,4870,6440,5705,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),288,179,30,378,689,154,35,1690,400,570,
利润总额(万元),4153,2307,618,4287,3336,2125,599,6559,6840,6275,
净利润(万元),3460,2051,496,3524,2875,1715,490,5546,5936,5504,
净利润(扣除非经常性损益后)(万元),3216,1899,495,3203,--,1584,467,4110,4809,4255,
经营活动产生的现金流量净额(万元),1828,673,-7233,1204,2342,5522,-6861,6203,5416,3785,
现金及现金等价物净增加额(万元),3928,18978,4675,4328,8983,-1663,-2125,4986,1297,719,
总资产(万元),153126,82467,71501,61609,--,--,--,41251,32962,27827,
流动资产(万元),139863,69507,58711,48810,--,--,--,33353,27655,23102,
总负债(万元),109728,40719,46103,36708,--,--,--,17766,13443,12927,
流动负债(万元),104089,36609,42418,33673,--,--,--,16416,12293,12927,
股东权益不含少数股东权益(万元),43157,41748,25398,24902,--,--,--,23485,19519,14900,
净资产收益率加权(%),10.17,6.6,1.97,14.89,--,7.36,2.16,25.95,35.16,42.83,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
