报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.34,0.22,0.1,0.48,0.33,0.19,0.09,0.44,0.29,0.16,0.07,0.35,0.2,0.11,0.04,0.31,0.17,0.12,0.08,0.35,0.25,0.15,0.08,0.32,0.23,0.14,0.05,0.05,0.06,0.09,0.02,0.24,0.11,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.75,--,3.54,3.45,3.43,3.38,3.23,3.19,3.21,3.13,3.06,2.94,2.94,2.88,2.9,2.79,2.68,2.87,2.62,2.66,2.62,2.63,0.65,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.23,--,-0.59,-0.74,-0.42,-0.63,-1.14,-0.8,-0.1,0.05,0.23,-0.03,0.09,0.89,0.05,0.25,0.14,0.04,-0.33,-0.17,-0.12,0.01,-0.35,--,--,--,
主营业务收入(万元),43018390,27337346,12566752,61032806,42953256,27622417,11768570,55879866,38198795,24679044,9701781,48268840,31861073,19760443,7829433,45970134,33578770,22252851,9711254,47312222,29476348,19246189,8493293,34597362,24137877,14792027,6010584,23461928,15391566,9521379,3494302,18050682,7567800,15951847,11579779,9053057,
主营业务利润(万元),3291600,2099089,923017,4721052,3092870,1953154,860485,3899273,2493222,1627760,736320,3592686,2229163,1398035,570364,3285812,2051645,1299458,581229,2721057,1790995,1184684,519609,2048040,1465236,925734,449192,1724807,1239108,772869,313724,1319633,605605,1223898,949692,781262,
营业利润(万元),1057401,642674,281556,1480954,1014212,592097,252619,1236071,821455,484843,207182,974549,595962,342521,127105,902441,510427,340780,200032,1013050,701761,431994,196808,803319,613939,395782,127203,161274,208994,255624,67432,402453,212510,277084,94917,47169,
投资收益(万元),59007,36194,4757,69997,52303,3404,2239,108193,71779,57958,2186,102409,62682,7558,-2045,8043,29350,12070,15804,92809,24042,14795,4947,28737,18094,15113,3097,24184,23250,62195,18777,111274,22602,18864,-11051,-7903,
营业外收支净额(万元),28150,7179,5509,50382,26293,15673,5644,115008,48596,28925,7859,84538,24353,13466,4196,57586,19871,14168,13766,38434,20417,16547,12443,61134,24161,9736,1422,32047,26197,21659,--,30433,11539,18703,-11676,-7855,
利润总额(万元),1085551,649852,287065,1531335,1040505,607770,258263,1351079,870051,513768,215041,1059087,620315,355987,131301,960026,530298,354948,213798,1051484,722178,448542,209251,864453,638101,405518,128626,193320,235191,277283,72733,432886,224048,295788,83241,39314,
净利润(万元),790843,480435,207194,1035997,707362,406089,181794,937463,625675,348801,147924,735474,427271,239045,91544,669002,362692,248693,166809,748849,542567,328549,165499,688695,492338,308728,98231,111519,133305,188353,52484,316331,137686,164628,31967,34810,
净利润(扣除非经常性损益后)(万元),740726,447574,197995,980443,702574,408551,174615,803035,561180,297722,--,630984,--,211905,--,631287,--,219840,--,661445,--,322105,0,523609,0,292304,0,454967,0,129130,--,93018,112327,132406,36944,44132,
经营活动产生的现金流量净额(万元),-971699,-1642388,-460366,1944630,-728869,-967747,-761504,799717,-221948,-708972,-499087,-418577,-1246829,-1574830,-887325,-1348035,-2427276,-1699736,-210976,96173,491778,-54520,183869,1886138,102823,533037,297642,78011,-705935,-351816,-251512,2144,-448131,802034,378570,-188689,
现金及现金等价物净增加额(万元),1322815,-736070,-608449,-697932,-431482,-390760,-473468,789497,687870,806471,227713,750932,227713,-583033,-217636,532662,-936474,240306,68377,542859,-505745,-394193,752101,243038,-146363,480449,807728,-992581,-873431,-532568,-146490,2698750,-1013644,1359819,343511,-8581,
总资产(万元),72486276,70002949,67634416,68304724,67221918,66142843,63724538,62820053,62655704,60568496,56194736,55072808,51986538,50151920,47383481,46873210,44190500,43320451,40983012,38930635,34265057,33497446,32418017,31178113,29718610,28199566,26722275,25209573,24865902,23412563,21856878,21521272,15294170,14342779,10374109,8519416,
流动资产(万元),58468453,56015854,53938667,54530254,54165165,53351853,51035528,50288885,50298942,48418843,44337221,43466394,40747330,39085827,36422154,35990217,34594148,33873736,31739620,29847160,26049316,25521047,24923209,23723213,22678119,21659055,20470912,19229727,19836246,18770040,17512395,17199011,12273809,11776040,8129039,6455847,
总负债(万元),58940147,57894227,56129665,57398342,56590223,56181997,53778822,53140054,53159659,51518088,47184802,46216510,43493176,41867858,39161021,38738197,36544771,35819308,33416872,31541447,27129279,26631374,25575625,24542180,23037898,21748441,20423751,19100087,18820600,17330740,15872960,15628325,14208674,13357295,9532344,7798133,
流动负债(万元),48358880,47417500,45584335,47114004,45399698,44891270,42396499,42024288,40812691,40397667,37211763,36612005,33650926,32391980,30038288,30557104,29743954,29534278,27361542,26440013,22760668,22315845,21117842,21010430,19482494,18814371,17721987,16555016,16183321,15003825,13648223,13648383,12512134,11868248,8151630,6359002,
股东权益不含少数股东权益(万元),12577719,11111392,10482162,9871984,9460725,8928218,8902390,8663345,8435845,8005654,7981986,7836432,7537678,7353026,7299690,7202021,6889077,6794581,6846453,6675207,6513989,6266093,6268954,6093952,6170531,5952313,5715857,5616605,5579137,5663150,5580576,5542283,835639,659818,414303,351566,
净资产收益率加权(%),7.15,4.68,2.13,11.26,7.81,4.58,2.07,11.39,7.71,4.39,1.87,9.78,5.8,3.28,1.26,9.61,5.35,3.69,2.47,11.69,8.58,5.3,2.68,11.53,0,5.34,0,1.98,0,3.36,--,24.63,18.9,33.15,8.7,10.68,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
