报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-06-30,2008-12-31,2008-06-30,2007-12-31,2006-12-31,2006-06-30,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.08,0.03,0.03,0.46,0.05,0.02,--,0.24,0.07,0.09,0.05,0.51,0.32,0.3,0.17,0.71,0.5,0.39,0.18,0.63,0.5,0.36,--,0.32,--,-0.08,0.26,--,--,--,--,--,
每股净资产(元),2.66,2.62,5.4,5.37,4.96,4.93,--,5.11,4.94,4.96,10.29,10.24,10.06,10.04,10.5,10.34,10.13,10.02,10.3,10.13,2.51,2.38,--,1.48,--,1.91,0,1.56,1.59,1.47,1.4,1.41,
每股经营活动产生的现金流量净额(元),-0.13,-0.08,-0.13,0.01,-0.16,-0.19,--,0.13,-0.12,-0.01,0.02,0.18,0.09,0.27,0.16,-0.45,-0.97,-0.72,-0.28,0.32,-0.25,-0.08,--,0.46,--,-0.3,0.32,0.24,--,1.23,--,--,
主营业务收入(万元),22720,12916,4377,33255,15333,11946,4254,23685,12437,9824,2971,23146,14798,11365,5094,30009,22020,16650,6639,23401,16475,11554,15613,9930,9172,1618,8308,7012,2911,5856,4763,4024,
主营业务利润(万元),11165,5913,2240,14476,7027,4273,1614,11904,6770,5493,1292,11970,8195,6306,2902,15274,11329,8472,3265,10508,8080,5911,7082,3885,4060,396,3582,3617,1485,2990,2809,2621,
营业利润(万元),4268,1615,344,13135,1687,547,467,6732,2041,2680,790,7779,4843,4847,2628,10364,7678,5942,2547,6416,5009,3988,4111,2614,2050,-448,1492,1367,298,1396,1069,878,
投资收益(万元),-260,-217,-268,6454,--,--,--,-109,-109,-109,-14,-60,-43,-25,-9,-15,--,--,--,--,0,--,--,--,--,--,0,--,--,-41,-98,-94,
营业外收支净额(万元),794,482,482,626,102,101,101,1155,387,116,19,331,313,7,3,869,258,249,199,929,735,231,695,300,525,55,842,--,--,--,--,--,
利润总额(万元),5062,2097,827,13761,1788,648,568,7887,2427,2796,809,8110,5156,4855,2631,11234,7936,6191,2746,7345,5745,4220,4807,2914,2575,-393,2334,1834,569,1538,1278,1134,
净利润(万元),4155,1608,740,12507,1356,523,444,6453,1932,2302,695,6826,4330,4113,2247,9593,6815,5330,2364,6343,5023,3632,4228,2545,2301,-393,2066,1608,569,1363,1210,1065,
净利润(扣除非经常性损益后)(万元),--,1602,--,7327,--,369,--,5641,--,2244,--,6741,--,4113,--,9542,--,5288,--,6254,4978,3609,--,2544,--,-393,1820,1547,551,1404,--,--,
经营活动产生的现金流量净额(万元),-7017,-4388,-3637,291,-4356,-5054,-5079,3577,-3233,-327,322,2422,1151,3691,2207,-6082,-13064,-9782,-3735,4368,-2500,-818,4809,3664,1876,-1497,1610,1181,--,6158,697,1084,
现金及现金等价物净增加额(万元),-14834,-11674,-2749,-16075,-15084,-5456,2192,4141,-9919,-6831,179,-6203,-7184,-4614,2003,-15216,-22134,-17370,-4240,112716,-4521,-2832,10327,472,1870,-1500,559,-98,--,3146,513,-4829,
总资产(万元),158453,152810,159531,162428,143531,151716,158841,156086,143119,142699,146858,147087,144572,145834,152684,150166,144605,142290,145465,147285,30526,31185,--,20062,--,12193,14010,12869,11951,14836,11184,10370,
流动资产(万元),140230,135209,142144,143794,140420,148518,155771,152971,139119,138643,142176,142407,140172,141385,148180,145750,140183,139220,142671,144714,27978,28636,--,17436,--,9662,11401,10041,9058,11824,7800,6774,
总负债(万元),13639,10617,13078,16733,8919,18519,20421,18110,9663,8874,7890,8813,8794,10274,10890,10619,7835,7005,6396,10580,5378,7427,--,8250,--,2621,4045,5088,4009,7463,4174,3309,
流动负债(万元),13315,10294,12754,16410,8849,18449,20351,18040,9593,8804,7820,8743,8724,10204,10820,10549,7835,7005,6346,10530,5328,7377,--,8250,--,2621,4045,4938,4009,7403,3448,2255,
股东权益不含少数股东权益(万元),143878,141331,145863,145083,134030,133197,138420,137976,133455,133825,138968,138273,135777,135560,141795,139547,136769,135285,139068,136704,25148,23757,--,11811,--,9572,9965,7781,7942,7373,7010,7060,
净资产收益率加权(%),2.87,1.11,0.51,8.87,1,0.38,--,4.69,1.42,1.66,0.5,4.94,3.14,2.93,1.6,6.97,4.97,3.86,1.71,26.65,21.55,15.83,--,--,--,-4.11,23.39,20.41,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
