报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.5,0.81,--,1.3,0.57,0.69,--,0.82,0.86,0.95,
每股净资产(元),--,--,--,6.81,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,1.9,--,--,--,1.49,1.93,0.17,
主营业务收入(万元),95887,68066,32732,142308,108038,71947,34350,126356,130828,102634,
主营业务利润(万元),17636,13632,6335,24691,19001,13150,5757,19106,17573,13827,
营业利润(万元),9101,6960,3938,10127,9022,5403,2252,6455,6243,6807,
投资收益(万元),136,136,66,16,37,112,138,214,264,750,
营业外收支净额(万元),1100,727,339,1647,1249,836,356,876,1330,1322,
利润总额(万元),10201,7687,4277,11775,10271,6239,2608,7331,7573,8129,
净利润(万元),8802,6573,3616,9967,8710,5323,2174,6252,6573,6748,
净利润(扣除非经常性损益后)(万元),7604,5760,3210,8712,7836,5080,2408,4654,5213,4948,
经营活动产生的现金流量净额(万元),12857,10440,5004,14572,10026,9425,2916,11463,14828,1339,
现金及现金等价物净增加额(万元),44013,42842,3081,-516,1424,1901,2467,-2983,5993,-6731,
总资产(万元),169404,172197,130415,125240,--,--,--,127474,122640,110976,
流动资产(万元),102408,103810,61219,55038,--,--,--,52880,51069,46867,
总负债(万元),62479,67501,74555,73041,--,--,--,80495,78939,73719,
流动负债(万元),49610,51267,57755,55796,--,--,--,58520,50054,45841,
股东权益不含少数股东权益(万元),106925,104696,55860,52199,--,--,--,46979,43701,37256,
净资产收益率加权(%),11.43,10.41,--,19.84,17.31,10.86,--,13.93,16.21,18.89,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
