报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.41,0.27,0.12,0.63,0.46,0.59,0.7,1.14,
每股净资产(元),--,4.17,4.03,3.9,--,3.27,2.69,1.99,
每股经营活动产生的现金流量净额(元),--,0.21,0.07,0.82,--,0.55,0.84,0.43,
主营业务收入(万元),19098,12467,5647,27889,19798,26803,30519,27065,
主营业务利润(万元),6972,4354,1783,10024,6987,9898,11276,9916,
营业利润(万元),4227,2736,1179,6236,4398,5801,6964,6326,
投资收益(万元),--,--,--,--,--,--,--,--,
营业外收支净额(万元),135,127,126,480,433,291,330,18,
利润总额(万元),4362,2863,1306,6716,4831,6093,7294,6345,
净利润(万元),3713,2433,1111,5657,4098,5269,6289,5557,
净利润(扣除非经常性损益后)(万元),3599,2325,1003,5276,3745,4983,6008,5599,
经营活动产生的现金流量净额(万元),2324,1868,615,7391,4408,4907,7521,3907,
现金及现金等价物净增加额(万元),-220,-13,-109,2952,1020,2565,2809,3223,
总资产(万元),40880,39700,37920,37693,--,33337,29817,24774,
流动资产(万元),20541,19929,19096,19415,--,17580,13742,13290,
总负债(万元),2002,2165,1691,2578,--,3864,5607,6856,
流动负债(万元),2002,2165,1691,2578,--,3864,5607,6856,
股东权益不含少数股东权益(万元),38878,37535,36229,35115,--,29473,24210,17918,
净资产收益率加权(%),10.04,6.7,3.11,17.52,--,19.63,29.86,44.11,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
