报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.03,0.03,-0.01,0.07,0.04,0.03,0,0.08,0.05,0.03,0,0.08,0.04,0.02,0.01,0.05,0.01,0.01,0.01,0.05,-0.01,-0.01,-0.01,0.02,-0.05,-0.02,-0.01,0.01,0.01,0.01,-0.01,-0.1,0.01,0.01,0,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,1.49,--,1.45,1.44,1.42,1.42,1.38,1.38,1.39,1.39,1.31,1.32,1.31,1.32,1.25,1.28,1.29,1.3,1.3,1.29,1.28,1.29,1.41,1.41,1.44,1.4,1.4,2.1,2.16,2.14,2.17,2.11,2.13,2.1,2.07,2.04,2.06,2.03,3,2.95,2.9,2.86,2.86,2.81,2.75,2.71,2.33,3.26,3.11,2.97,4.7,2.45,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.04,--,0.59,0.39,0.12,-0.52,-0.55,-0.44,-0.5,-0.05,-0.06,-0.04,-0.07,0.28,0.1,0.1,0.07,0.05,-0.07,-0.06,-0.05,-0.11,-0.18,-0.19,0.01,0.09,0,0,0,0.13,0,0,0,0.41,0,0,0,-0.01,0,0,0,0.08,0,0.07,--,-0.13,0.17,0.59,0.33,-0.04,-0.02,0.27,--,--,
主营业务收入(万元),213420,137899,77233,306649,236462,153121,68229,387530,319992,172393,74598,372297,274233,183337,89897,387529,282906,182769,87622,338417,242413,148299,64497,230858,159900,95930,40937,249179,197138,125367,58915,238189,175382,109927,49865,184841,129999,75625,37955,143110,102600,64511,25790,117425,85174,53726,25238,112701,75050,45562,23600,66623,46128,29123,14749,66855,34965,41424,16051,30140,12736,30480,21247,22974,
主营业务利润(万元),26500,17804,10765,43168,30422,20570,8036,43097,28120,16823,7023,36240,24588,16203,8248,28118,20303,13457,7056,28571,19754,12102,5450,22290,16193,10160,4688,21211,16583,10524,5017,19892,15049,9663,--,18725,13950,9229,4885,23543,16049,10615,5041,25151,17881,11833,4891,22301,15114,9789,4672,17037,12539,7958,3832,17690,8470,8751,3600,6365,2891,5469,4798,5317,
营业利润(万元),4699,4094,1739,11659,6909,5723,799,13888,7367,2580,-782,8520,6428,4342,1498,4793,1895,1648,924,3779,579,-85,-616,2627,-2193,-504,-640,-572,390,-414,-210,-5106,1251,1073,84,-534,309,-440,483,6047,3430,2488,1397,9282,6989,4339,1325,6975,5056,3215,1661,7604,6424,3697,1850,9111,4358,4765,2578,3945,2098,3150,2882,3391,
投资收益(万元),3676,3676,261,719,693,655,200,416,403,401,-14,4554,4554,3309,1389,3809,1175,1175,1123,4043,588,787,-106,6319,-152,-107,-19,4533,982,486,530,1705,1337,1355,-25,2698,2533,2488,787,520,988,957,358,469,332,318,468,672,755,380,212,223,-34,-1,14,547,300,293,49,57,55,68,103,1,
营业外收支净额(万元),639,520,288,1635,897,496,369,1122,758,581,368,1404,442,202,179,800,354,234,123,684,53,108,-2,304,229,33,38,--,--,1205,--,--,--,--,--,656,0,0,0,-177,0,0,0,-272,0,0,0,-78,0,0,19,-32,-4,-17,0,-52,-11,446,0,42,0,0,0,0,
利润总额(万元),5338,4614,2026,13294,7806,6219,1168,15010,8125,3160,-415,9924,6870,4543,1678,5593,2249,1882,1047,4463,633,23,-618,2931,-1963,-471,-602,1482,1376,790,-186,-4916,1422,1149,179,2860,2805,2025,1289,6576,4468,3526,1871,9611,7283,4604,1872,7737,5943,3648,1892,8406,6821,4113,1911,9664,4689,5650,2760,4044,2161,3203,3002,3412,
净利润(万元),2040,1740,-545,4085,2266,1685,102,5054,2850,1728,82,4684,2279,1227,342,3087,694,730,429,2930,-585,-392,-749,1457,-2899,-1197,-831,685,510,367,-358,-6433,774,714,120,1576,1525,1212,971,3503,2943,2318,1295,5458,4213,2749,1334,5203,3910,2569,1307,6018,4607,2845,1334,8320,4018,4796,1788,3459,1936,3143,3002,3412,
净利润(扣除非经常性损益后)(万元),1404,1175,-822,2610,1428,1264,-172,3951,2012,1156,--,-452,--,-1956,--,-587,--,-434,--,-2174,--,-375,0,-3217,--,-1261,0,-4412,0,-875,--,-6419,0,486,--,-1312,0,910,0,2985,0,2253,0,5563,0,2854,0,4618,0,2506,0,5458,4175,2424,--,8058,3946,4298,1296,3084,--,--,--,--,
经营活动产生的现金流量净额(万元),-16000,-13069,-14972,-31770,-39267,-17139,-20513,22989,14903,3184,-2383,43842,36991,24612,7465,-32320,-34557,-27334,-31290,-3210,-3737,-2443,-4629,17423,6374,6062,4366,2976,-4304,-3528,-3086,-6600,-11323,-12156,674,5380,-3187,-2424,-5858,5501,7529,-3003,1978,17090,2599,8203,-2405,-386,-12555,-6217,-10373,2291,0,1918,--,-3474,3379,7879,4474,-544,-154,1329,--,--,
现金及现金等价物净增加额(万元),41279,-6593,8715,-16958,-12232,-6918,-21944,11555,-4371,-4325,1876,1550,-5346,17405,-1667,-398,3158,1455,-5656,9131,-3560,-310,-4563,5436,-8831,-5651,1756,-2559,-7052,-12282,-7254,-27838,-31372,-29343,-17293,9768,-1611,983,-1013,-288,1350,-1437,-1742,-7145,-6460,8297,-10320,24962,12768,13085,11662,-10240,0,-3597,--,25733,7029,-7424,-349,16057,17408,588,--,--,
总资产(万元),457718,400680,413393,401889,409245,392201,390867,393037,393340,414463,438329,430876,421674,431133,390222,377216,369042,349367,331291,294533,224527,210649,195511,200287,200454,199158,203138,203293,203243,208690,201037,200221,220561,219899,220247,229666,226806,231429,218406,220964,213305,211103,190595,192108,196064,198713,174286,176566,172451,156487,149251,122852,126752,114880,113599,110559,73416,69518,62663,61638,58956,33074,22647,20408,
流动资产(万元),363730,306328,318554,306577,314196,297869,291334,295142,301947,322925,348173,339757,332090,341879,305113,299394,304509,282373,272809,236218,131153,126707,111403,116240,118257,116123,120085,121445,122214,127405,119920,115714,130497,131617,131024,148892,143965,148436,141780,135978,129549,131093,119073,122575,130904,139590,118267,125729,121034,108432,108065,--,--,0,85411,0,49472,--,0,0,42299,24730,18336,16045,
总负债(万元),290812,284275,298588,288026,299116,283058,283736,286265,290294,314660,339357,330029,319672,330391,291485,276235,270867,251379,231511,195309,133851,120149,107529,111311,115878,112501,116305,115753,115999,121880,115037,113937,122422,122068,120883,132577,129486,134644,118334,121788,114301,115336,94111,97113,103012,107899,83202,86978,83751,69491,63761,39117,44805,34905,35130,33488,25709,25007,20513,21302,19623,20802,12096,11552,
流动负债(万元),223879,223472,236642,243906,267558,253297,249288,251803,250171,274290,297721,291919,278834,274256,236614,228474,212548,222922,203139,168976,129617,113477,102182,108693,112378,109001,111305,113253,114499,121880,115037,113937,122422,122043,118883,130535,127399,132558,115027,118231,110747,111787,83561,86563,87790,97682,78893,82668,78347,64110,57283,--,--,0,32630,0,23909,--,0,0,14821,17110,10440,11173,
股东权益不含少数股东权益(万元),150615,100090,98486,99031,97212,96631,96608,96505,94302,93180,93093,93011,90606,89554,88618,88270,85895,85957,86896,86353,81833,81987,81671,82441,78157,79812,80169,81010,80843,80715,79997,80346,88036,87998,89625,87561,87510,87197,89969,88998,90373,87813,88655,87360,86116,84651,85730,84397,83144,81802,80470,79163,79541,77816,76312,75019,46682,43570,41483,39695,39259,12272,10551,8856,
净资产收益率加权(%),2.03,1.75,-0.55,4.18,2.34,1.74,0.11,5.35,3.03,1.85,0.09,5.17,2.55,1.38,0.39,3.54,0.81,0.85,0.5,3.47,-0.71,-0.48,-0.91,1.78,--,-1.49,0,0.85,0,0.46,--,-7.65,0,0.8,--,1.8,0,1.37,0,4,0,2.63,0,6.39,0,3.24,0,6.22,0,0,0,7.71,0,0,--,16.42,9.09,11.39,0,0,--,--,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
