报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2010-09-30,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),-0.19,-0.1,-0.05,-0.48,-0.16,0.01,0,0.03,0.05,0.03,0.06,0.97,1.23,1.11,5,0.95,0.7,0.83,0.5,0.57,
每股净资产(元),8.5,8.6,8.64,8.69,9.01,9.18,9.2,9.19,9.21,9.19,18.58,18.52,18.65,9.9,8.79,3.79,3.55,2.85,1.6,1.11,
每股经营活动产生的现金流量净额(元),-0.06,-0.15,-0.12,-0.12,-0.33,-0.15,0.04,0.26,0.03,-0.14,-0.62,-0.89,-0.75,-2.05,0.16,-0.12,-0.23,0.53,0.19,0.3,
主营业务收入(万元),27762,18450,8347,38970,28990,19014,8426,37967,28995,19837,8961,52729,40713,30329,108843,36204,27966,25543,22474,27150,
主营业务利润(万元),1369,1152,420,2489,2736,2440,1041,4099,2097,1757,981,10493,9199,7149,29036,6975,5322,5951,3855,3468,
营业利润(万元),-2340,-1241,-607,-5442,-1876,92,35,122,243,68,372,4585,5863,4718,21746,3891,3031,3017,1982,2118,
投资收益(万元),217,176,117,70,15,15,15,--,--,0,--,23,--,--,43,33,33,--,--,48,
营业外收支净额(万元),31,39,-8,-167,22,20,26,377,453,314,5,341,614,651,256,221,67,96,70,27,
利润总额(万元),-2309,-1203,-616,-5609,-1854,112,62,498,696,383,377,4925,6477,5369,22002,4112,3097,3113,2052,2145,
净利润(万元),-1888,-963,-522,-4819,-1633,104,45,345,522,329,321,4260,4934,4149,18764,3546,2632,2709,1623,1876,
净利润(扣除非经常性损益后)(万元),--,-995,--,-4701,--,92,--,191,--,62,--,3970,--,3661,18547,3358,2577,2628,1571,1348,
经营活动产生的现金流量净额(万元),-613,-1510,-1245,-1203,-3317,-1521,393,2577,252,-1417,-3076,-4447,-3750,-7696,612,-437,-845,1985,628,995,
现金及现金等价物净增加额(万元),-4488,-5231,-1329,-5578,-1963,3189,6516,-15937,-14878,-9196,-3479,52748,53491,-1785,1864,-2043,-1862,3061,-23,421,
总资产(万元),97486,97429,100575,100834,108030,109284,111041,105600,102650,101846,113427,107655,108164,59396,47444,22070,24154,22346,14288,14172,
流动资产(万元),74848,74878,79289,79310,88417,90028,92481,87265,88792,91670,105964,100707,102037,53156,41002,16551,18867,17313,9899,10860,
总负债(万元),12604,11475,14042,13680,17680,17124,18739,13338,10426,9918,20507,15055,14891,22269,14465,7856,10853,11676,9055,10562,
流动负债(万元),12057,10928,13495,13133,17133,16577,18192,12791,10372,9806,20089,14608,14891,22269,14299,7526,10853,11676,9055,10562,
股东权益不含少数股东权益(万元),85038,85963,86404,86926,90111,91849,91990,91944,92121,91928,92920,92599,93274,37128,32979,14215,13301,10669,5233,3610,
净资产收益率加权(%),-2.2,-1.11,-0.6,-5.39,-1.79,0.11,0.05,0.37,0.56,0.35,0.35,6.78,10.33,11.84,79.52,28.5,21.96,41.12,36.52,70.2,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
