报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.62,0.36,0.13,0.98,0.61,0.41,0.16,0.94,0.53,0.81,0.81,
每股净资产(元),8.54,8.27,8.27,6.19,--,5.62,--,5.2,--,4.27,3.45,
每股经营活动产生的现金流量净额(元),-0.05,-0.05,-0.41,0.69,--,-0.08,-0.43,0.75,--,0.47,0.77,
主营业务收入(万元),12530,7820,3681,14585,9895,6230,2925,12542,7952,11142,10300,
主营业务利润(万元),5836,3638,1708,6892,4753,3069,1463,6351,4062,5381,4703,
营业利润(万元),2741,1471,584,3336,2091,1372,556,3159,1736,2624,2397,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),175,173,61,274,242,146,43,194,131,261,441,
利润总额(万元),2916,1645,646,3609,2333,1517,598,3353,1868,2885,2838,
净利润(万元),2447,1389,544,3006,1860,1258,499,2879,1622,2490,2403,
净利润(扣除非经常性损益后)(万元),--,1369,--,2929,1787,1217,--,2919,1663,2497,2225,
经营活动产生的现金流量净额(万元),-194,-222,-1684,2120,287,-242,-1310,2282,519,1429,2367,
现金及现金等价物净增加额(万元),13002,13317,12663,560,-1241,-374,-1348,2063,328,39,3604,
总资产(万元),38174,36963,36353,22172,20418,19536,--,18726,--,14981,13388,
流动资产(万元),34079,33017,32388,18198,17598,16682,--,15896,--,12137,11774,
总负债(万元),3343,3202,2619,3238,2632,2352,--,2800,--,1928,2824,
流动负债(万元),3321,3180,2597,3216,2610,2330,--,2799,--,1928,2824,
股东权益不含少数股东权益(万元),34830,33761,33734,18934,17786,17185,--,15927,--,13054,10564,
净资产收益率加权(%),7.52,4.41,1.89,17.25,11.03,7.6,3.09,19.87,11.7,21.08,26.97,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
