报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),1.51,0.86,1.8,1.6,1.11,1.75,1.65,--,
每股净资产(元),14.86,14.49,9.69,--,--,8.29,7.08,11.89,
每股经营活动产生的现金流量净额(元),1.58,0.81,1.85,--,1.06,1.74,1.78,0.9,
主营业务收入(万元),56598,39282,67448,56537,39249,61238,53884,50922,
主营业务利润(万元),22525,15437,24329,20509,14290,22567,19562,18779,
营业利润(万元),14454,9801,15074,13539,9567,15119,13603,13059,
投资收益(万元),--,--,246,246,246,--,--,--,
营业外收支净额(万元),490,431,902,712,356,322,491,328,
利润总额(万元),14945,10233,15976,14251,9923,15441,14094,13388,
净利润(万元),12546,8632,13469,12020,8307,13108,12339,11774,
净利润(扣除非经常性损益后)(万元),--,8273,12509,--,7821,12841,11962,11474,
经营活动产生的现金流量净额(万元),15787,8079,13880,10165,7951,13013,13383,3242,
现金及现金等价物净增加额(万元),74416,68424,6972,3611,1921,1791,7325,2240,
总资产(万元),188782,183905,108252,--,--,90812,80964,66132,
流动资产(万元),162375,158577,82240,--,--,69867,65451,53180,
总负债(万元),38744,37585,34137,--,--,28512,26269,21918,
流动负债(万元),30029,29694,26326,--,--,21938,20400,19295,
股东权益不含少数股东权益(万元),148582,144867,72700,--,--,62198,53121,42657,
净资产收益率加权(%),12.69,11.18,19.53,--,12.52,22.04,25.77,35.15,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
