报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.44,0.31,0.14,0.7,0.45,0.27,0.11,0.53,0.39,0.25,0.11,0.64,0.46,0.71,0.33,1.37,0.58,1.23,0.77,0.55,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,4.28,4.1,8.15,7.77,4.34,3.86,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0.69,0.36,0.61,0.35,1.32,0.54,1.12,0.88,0.53,
主营业务收入(万元),254586,172664,75121,244736,154632,98112,42158,179919,131065,83004,37146,165999,120287,79760,36715,140182,60057,116243,72327,56271,
主营业务利润(万元),75450,51908,23621,84944,53656,33446,13531,59487,42569,27298,12551,64984,47187,32428,15369,60108,26365,56711,36742,26828,
营业利润(万元),42859,30076,13419,56934,38892,23721,9211,45976,33316,21554,9701,53374,38692,27609,11552,46979,20326,46107,29441,20736,
投资收益(万元),511,339,199,-737,18,-63,-87,452,454,-17,-122,1439,1563,1618,-63,-282,-175,-117,--,--,
营业外收支净额(万元),436,146,26,-445,-91,-83,-57,97,39,-41,-22,156,112,26,20,21,10,-97,148,11,
利润总额(万元),43295,30222,13445,56489,38801,23638,9155,46073,33355,21512,9680,53530,38803,27636,11572,47000,20337,46010,29589,20747,
净利润(万元),33260,23443,10127,43041,27100,16428,6598,31703,23567,15065,6781,37189,26440,18529,7319,30734,13131,27657,17272,12378,
净利润(扣除非经常性损益后)(万元),32958,23334,9415,41696,25648,15471,5934,29114,23578,15100,6801,35022,--,18514,--,30721,13124,27737,17164,9578,
经营活动产生的现金流量净额(万元),55415,29965,15194,25018,19246,7704,3350,26431,16288,2027,-1536,41561,21766,18223,10599,29662,12152,25164,19757,11838,
现金及现金等价物净增加额(万元),-47661,-17550,7158,-37166,-14342,-18777,299,-22226,-28766,-20698,-5183,135190,127167,149420,147354,-3497,-3555,1283,10756,-7540,
总资产(万元),552328,478421,496371,487735,332333,321827,309823,303738,290884,290416,292416,284170,270358,284299,270792,121946,104115,98566,70076,49314,
流动资产(万元),240287,253384,284078,278260,227236,219081,232915,226315,207884,219734,228553,220919,222841,237871,227413,81763,75197,70494,55792,34903,
总负债(万元),123135,59209,67620,69431,37909,38613,20899,21723,19773,28050,22913,21874,19012,24359,22019,24264,17373,23960,15575,9708,
流动负债(万元),113323,57578,62583,64337,37909,38613,20899,21723,19773,28050,22913,21874,19012,24359,22019,24264,17373,23960,15575,9708,
股东权益不含少数股东权益(万元),424085,414451,423671,413510,284962,274289,280060,273461,265115,256817,263534,256753,246251,244352,233142,82609,75131,62000,38748,27193,
净资产收益率加权(%),7.96,5.61,2.39,14.64,9.74,6.17,2.38,12.07,9,5.75,2.61,18.09,13.92,11.33,8.48,41.89,19.15,49.63,54.55,43.05,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
