报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2003-12-31,2002-12-31,2001-12-31,
基本每股收益(元),0.36,0.26,0.11,0.14,0.45,0.29,0.19,0.08,0.57,0.38,0.22,0.7,0.8,0.43,0.31,1.69,1.15,0.81,0.42,1.88,1.24,0.83,0.63,1.86,1.28,0.79,0.64,1.86,1.37,0.88,0.39,1.51,0.87,0.65,0.38,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,4.4,--,4.27,--,4.28,3.93,5.12,4.82,4.33,4.45,4.81,4.38,3.72,3.56,5.59,5,4.62,4.16,6.87,6.25,6.85,6.39,6.25,5.84,5.22,4.99,5.06,5.03,4.61,4.55,4.66,4.52,4.37,4.21,2.76,2.66,2.53,1.99,1.75,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.57,--,0.45,0.4,0.69,-3.15,-3.1,-2.17,-1.88,1.98,0.27,-0.3,-0.99,1.94,-0.15,0.59,-2.6,25.4,53.11,7.74,0.45,9.87,2.77,0.33,-2.18,5.24,0,--,0,0.26,0,0,0,2.14,1.68,3.53,0,0,
主营业务收入(万元),1430690,938540,453811,2286477,1596077,1089847,444732,2073157,1310943,852789,438233,2123741,1800746,1163524,550337,2509800,1643854,1048959,458109,2393305,1576573,1035190,383394,1800514,1120530,726999,290936,1409240,963980,653592,255243,1237093,860223,591399,252400,725433,492151,260570,111791,411332,263716,164980,70842,263736,181613,183547,106586,78148,
主营业务利润(万元),158541,106720,49277,231065,174298,123733,62347,260528,180055,119986,62841,307792,208574,127445,62541,351020,229840,154163,62597,316351,204217,137397,53023,215196,130339,84980,35509,175632,115279,76895,26631,122578,77836,56281,24219,72066,46072,25214,9881,40702,28084,18634,6763,33191,23244,23455,16696,13824,
营业利润(万元),49127,35147,15188,15643,54709,36403,25094,20643,71256,49967,25907,100070,105359,57134,31733,183366,121352,86350,35403,175678,115430,77026,32476,103799,76387,49260,19487,77580,51680,31602,12306,56234,32165,23305,9401,25221,14434,10582,3160,15551,10962,7440,2370,13559,9814,8535,5478,4453,
投资收益(万元),-173,-6,-80,556,276,585,644,1016,167,23,39,952,1019,612,578,2488,1008,-29,351,6718,6031,3638,1423,-5994,-1070,791,-50,579,-294,-125,-170,-472,1559,--,1,-489,-308,0,-20,6,6,6,6,8,5,9,102,12,
营业外收支净额(万元),1903,1728,782,7714,4548,3713,663,10623,5557,3899,2273,3698,2397,1566,570,5915,3256,2562,1391,4668,4572,2173,1298,3782,2374,1902,983,--,--,--,--,--,--,--,--,-103,0,--,0,382,0,0,46,-110,0,-244,0,0,
利润总额(万元),51030,36874,15970,23357,59257,40117,25756,31266,76814,53866,28180,103768,107756,58700,32303,189282,124608,88912,36795,180347,120002,79198,33774,107581,78761,51162,20470,64371,53203,32477,12708,59802,33775,24387,9839,26387,15745,12155,4717,16778,11262,7568,2421,13457,9762,8301,5490,4426,
净利润(万元),39430,28539,11752,14834,49375,31374,20862,8935,62564,42014,23660,76305,87215,47545,27848,153780,104720,73878,31784,142561,94395,62986,26525,74397,51102,31686,10701,31171,23009,14702,6479,25431,14599,10926,6362,13185,7266,6338,2440,9207,6756,4096,1100,7396,5992,4759,3915,3430,
