报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,
基本每股收益(元),0.2,0.14,0.11,0.44,0.27,0.19,0.11,0.32,0.23,0.15,0.17,0.46,0.32,0.22,0.23,0.6,0.4,0.27,0.29,0.84,0.65,0.42,0.59,0.45,0.24,0.57,0.29,
每股净资产(元),1.93,1.84,3.9,3.76,3.71,3.58,2.15,2,1.88,1.75,3.15,2.98,2.83,2.71,5.04,4.8,4.6,4.46,9.68,9.39,9.19,2.91,2.49,--,0,2.68,1.19,
每股经营活动产生的现金流量净额(元),0.44,0.25,-0.33,0.28,0.41,0.55,0.18,0.22,0.28,0.08,0.21,0.25,0.12,0.22,0.44,0.67,0.5,0.29,0.07,0.65,0.27,0.41,1.11,--,0.63,0.31,0.19,
主营业务收入(万元),837497,446071,213346,681894,474515,293880,102695,236124,136527,75192,34189,116731,82874,55298,27581,59856,35590,22310,10475,23826,17305,10197,14573,10365,5979,7361,3692,
主营业务利润(万元),97666,65604,25834,93396,64925,43613,21861,66664,44285,29142,14998,43793,28456,20038,10822,29351,20101,12733,6028,14788,10647,6236,8971,6578,3597,5577,2388,
营业利润(万元),5417,7336,2311,4787,1263,5251,4377,23671,18173,13099,8204,19741,13374,10203,5876,16136,10933,7120,3469,7293,5428,3271,4742,3318,1975,3169,1492,
投资收益(万元),8526,8526,2074,1,-71,-71,-38,-136,-135,-135,--,--,--,--,--,--,--,--,--,--,--,0,0,--,0,0,0,
营业外收支净额(万元),3408,5,-0,2503,1303,1300,--,969,848,156,16,3060,2303,681,411,288,254,0,0,191,-5,-5,28,28,-7,0,0,
利润总额(万元),8824,7341,2310,7290,2566,6552,4377,24640,19022,13254,8220,22801,15677,10884,6287,16424,11187,7120,3469,7484,5423,3266,4770,3346,1968,3168,1468,
净利润(万元),37705,25473,9538,36403,21815,15189,8571,25501,18431,11670,7112,19419,13409,9068,5119,13112,8740,5840,2906,7010,5052,3119,4447,3055,1795,3025,1469,
净利润(扣除非经常性损益后)(万元),--,17254,--,34504,--,14251,--,24718,--,11454,--,16942,--,8557,--,12882,--,5840,--,6833,--,3123,4421,--,1801,3026,1493,
经营活动产生的现金流量净额(万元),80972,46508,-28025,23418,34370,46134,14699,17585,22066,6176,8885,10620,4870,9237,9749,14690,10958,6478,686,6549,2696,3055,8340,6271,4710,1649,946,
现金及现金等价物净增加额(万元),275490,66052,20337,-13837,-21361,39413,28442,39220,32143,2669,11762,6012,10192,10266,-3129,-40995,-43227,-22852,-16870,50979,53253,-1305,-550,-631,-1150,3741,136,
总资产(万元),1477230,1123396,999696,885102,803844,796020,595526,502032,430971,360519,341190,290115,268948,235490,201935,177439,142414,125505,108683,103162,96510,32906,23651,--,0,14816,6434,
流动资产(万元),787247,518540,439591,358488,343148,378811,286709,208635,175080,116716,126171,89141,96057,79651,65744,66373,71879,76294,68104,67366,69590,10233,6670,--,--,8548,1132,
总负债(万元),1118486,774124,661365,550755,486677,485493,379718,294080,232058,202049,206695,162772,147942,121987,90946,71728,41307,27299,11911,9296,4601,11087,4950,--,--,549,472,
流动负债(万元),529685,442332,399881,440388,475327,469039,336317,250660,185925,136900,139294,111356,98384,96704,84446,65228,40045,27299,11911,9296,4601,11087,4950,--,--,549,472,
股东权益不含少数股东权益(万元),357569,341802,327884,316683,312062,299783,171393,159954,150256,138992,131712,124459,118285,113438,110920,105625,101106,98206,96773,93866,91909,21819,18701,--,0,14254,5948,
净资产收益率加权(%),11.24,7.75,2.97,13.83,9.54,8.07,5.22,18.19,11.35,8.96,5.56,16.9,11.99,8.23,4.73,13.06,8.96,6.05,3.05,30.43,--,15.39,26.99,--,11.84,32.81,28.18,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
