报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1993-12-31,1992-12-31,
基本每股收益(元),0,0,-0,-0.13,-0.02,-0.01,-0.01,0.01,0.01,0.01,-0.03,0.01,-0.04,-0.02,-0.01,0.03,--,-0.03,-0.02,-0.01,-0.01,-0.02,-0.01,0.05,0.05,0.04,0.02,0.11,0.09,-0.01,--,-0.2,-0.06,-0.03,-0.01,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,0.31,0.34,0.34,0.35,0.31,0.29,0.3,0.32,0.31,0.3,0.31,0.32,0.31,0.31,0.28,0.26,0.31,0.42,0.45,0.75,0.51,0.54,0.56,0.44,0.26,0.27,0.4,0.4,0.97,0.99,1.01,1.06,1.16,1.16,1.16,1.16,1.16,1.14,1.11,1.11,1.93,1.03,1.03,1.03,1.05,1.05,0.81,0.83,1.21,3.02,2.71,2.18,2,1.96,2.09,2.02,2.26,--,2.62,4.61,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,-0.04,-0.03,0.04,0.04,-0.01,-0.01,-0.05,-0.04,-0.08,-0.04,0.08,-0,-0.04,0.02,-0.04,-0.01,-0.06,-0.04,0.16,0.03,-0.01,-0.03,-0.11,0,0.01,--,0.08,0,0.23,0,1.56,0,0.33,0,-0.93,0,0,0,0.39,0,-0.14,--,0.2,0.07,-0.19,-0.26,-0.12,--,0.27,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),54784,40607,15294,23030,13098,10714,3939,36238,21150,13909,1505,18817,7091,4525,1742,18406,7995,3138,1190,15187,7638,5149,2149,14685,9983,6800,2422,12022,7343,4524,1818,12979,5467,4121,1399,9864,6848,4968,1103,18313,22514,15177,5017,24569,16277,9886,4211,23186,15558,9425,3068,20608,7927,3664,1334,16553,22015,53329,22325,41664,18447,42314,9951,15805,7784,16270,7953,17523,9640,11123,7547,4919,
主营业务利润(万元),7186,4909,1983,3660,2579,1836,580,10530,6514,4290,738,6275,2605,1786,777,6402,3026,1206,531,5270,2884,1831,875,4761,3737,2591,846,4620,3097,2042,949,4560,2451,1884,--,4269,2243,2133,366,4296,9028,5807,2170,8871,5800,3396,1798,8325,5506,2890,732,5800,1327,419,95,1673,1605,4895,1922,3968,1536,5260,996,470,319,653,565,1391,701,1559,790,507,
营业利润(万元),1313,1090,164,-5151,-1316,-613,-595,1182,174,72,-782,364,-907,-424,-370,598,156,-641,-488,400,31,-305,-157,1090,1140,943,276,2059,1176,-89,161,-133,234,237,-150,-2360,-373,342,-309,-5354,2704,1447,399,1757,2345,1154,881,3439,2516,1089,124,3940,334,-30,--,-474,37,1599,-1,-701,-1040,2714,126,828,0,712,0,1404,702,696,354,224,
投资收益(万元),156,0,--,-244,-251,-251,-224,0,--,--,--,67,3,1,--,5,5,0,-0,-228,109,-59,-60,743,0,0,0,3206,1858,-287,--,0,0,-17,-11,5355,-1533,-1516,598,754,-40,-104,-34,-50,0,33,25,777,653,224,211,72,145,144,144,792,177,-239,-122,-1476,-287,482,6,789,39,626,2,52,30,36,8,0,
营业外收支净额(万元),-78,-91,-95,-2400,21,1,1,-231,710,725,-2,192,4,7,6,558,113,-25,-2,72,60,43,49,242,77,43,-2,100,--,--,--,--,--,--,--,-1572,0,--,-351,-5151,0,0,0,-21,-5,0,0,-7,0,-2,15,5,0,8,8,64,0,999,0,-4156,-672,36,-1,0,-2,35,22,8,5,19,--,--,
利润总额(万元),1235,999,69,-7551,-1296,-611,-594,951,883,797,-785,555,-902,-416,-364,1156,269,-666,-490,472,92,-261,-108,1332,1217,985,274,2159,1503,190,159,-2130,-483,-173,-152,1423,-1915,-1541,-62,-9699,2196,947,-29,1738,2340,1185,904,4384,3157,1311,350,4020,486,123,14,382,252,2360,-80,-6260,-1999,3326,130,1616,378,1374,626,1432,737,751,798,507,
净利润(万元),277,163,-217,-7455,-1381,-641,-575,314,882,761,-510,107,-558,-232,-200,501,21,-415,-295,-104,-124,-353,-139,739,702,650,299,1582,1343,-74,8,-2887,-841,-506,-155,720,-1819,-1669,-39,-8129,-1263,-1001,-694,-1500,17,-8,28,703,827,484,18,1214,226,119,13,176,153,1994,-240,-6620,-2137,2339,112,1307,297,1160,471,1140,553,637,685,432,
净利润(扣除非经常性损益后)(万元),220,254,-122,-5642,-984,-634,-568,-402,331,218,-509,17,--,-325,--,61,--,-338,--,-46,--,-174,--,-605,--,-108,0,-1591,173,8,--,-927,0,-95,--,-3403,0,-145,--,-3022,0,-606,0,-1479,0,-6,0,674,0,496,0,1213,0,-33,--,121,-184,995,-166,-5973,--,--,--,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),-32103,-21972,-9877,-12069,-7890,-4376,-2799,424,44,-336,-290,-220,-410,-530,-425,652,580,-180,-85,-697,-647,-1217,-597,1145,-33,-564,341,-631,-99,-895,-581,2287,448,-93,-418,-1604,-2693,126,-518,1206,3701,3442,-716,22992,5194,4883,5337,-13710,3880,-351,-2885,5678,0,-2059,--,2820,962,-2823,-3868,-1771,--,2008,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),-19184,-6443,-3309,-6795,-8389,-5876,-4122,43340,44773,45004,-512,396,264,37,-50,-886,-607,-1107,4,-553,-472,-632,-726,1877,847,227,648,-540,-520,-857,-890,279,194,-216,-125,-2097,-427,-345,--,-5659,-6286,-2271,-3621,-2142,-6861,-5236,-2379,8365,876,-3130,-5861,7974,0,-2542,--,1558,-1403,348,-723,-2391,--,2880,--,--,--,--,--,--,--,--,--,--,
总资产(万元),190286,188771,87190,80422,77727,79497,78909,102779,108963,108143,23411,23978,24797,23560,22192,23791,23952,22405,20898,21220,22105,21587,21503,23186,23986,22682,21293,20211,19610,23104,22861,28595,24511,25643,26245,24402,30338,34072,35342,35345,96460,94236,90424,86214,86672,84274,81340,86678,71551,62090,59623,64994,57256,25198,26302,29423,32356,35178,33087,35818,32365,36227,40415,33937,33102,28371,22536,21834,23072,12613,10931,5946,
流动资产(万元),55589,67798,68415,69595,71142,71984,71392,95980,102595,101864,18171,18622,19264,17994,16540,17962,18587,17156,16188,16523,17543,16955,16809,18342,19235,17893,16458,15375,13758,12695,12062,12449,19284,18839,19502,17324,22013,24651,--,19365,62108,62845,59851,59232,67032,64357,63266,66361,50166,41049,--,0,34952,0,20202,--,0,0,0,0,18798,21180,15871,13696,14748,15086,12279,11322,12000,8595,6779,3927,
总负债(万元),134989,133494,32277,25263,16388,17539,16871,36810,42757,41839,14647,14440,16558,14725,13287,14449,15330,14558,12852,12677,13692,13513,13265,14808,15961,14646,13883,13062,12659,14450,13899,15226,14400,15325,15803,15758,24718,28181,--,27967,61526,59490,56336,51609,51119,49585,47562,52191,38971,30720,31043,33976,28901,8512,--,12857,15690,18483,19900,22628,14570,14041,19056,19756,20041,15650,10334,9948,10086,6254,5035,3798,
流动负债(万元),107048,110641,20099,19755,16236,17243,16712,36587,42572,41555,14643,14436,16478,14645,13207,14369,15077,14290,12555,12301,13201,13002,12725,14138,15391,14042,13300,12536,12179,11265,10619,10850,13137,14052,13608,15715,24690,28154,--,27939,48538,47119,45519,41005,41442,40404,38861,45123,31383,23215,--,0,21486,0,9723,--,0,0,0,0,14570,14041,14247,14420,14143,13160,10334,9948,10086,6254,5035,3798,
股东权益不含少数股东权益(万元),54934,54813,54423,54627,60701,61428,61483,62045,62604,62482,5110,5609,4531,4940,4979,5214,4561,4219,4345,4640,4601,4372,4561,4726,4581,4530,4178,3879,4619,6193,6574,11087,7539,7873,8224,6429,3883,4034,5824,5882,14268,14530,14837,15531,17005,16979,17016,16987,17112,16768,16302,16284,28355,15189,15083,15070,15365,15407,11927,12167,17794,22186,19959,12778,11768,11471,10950,10584,11817,6359,5896,2148,
净资产收益率加权(%),0.5,0.29,-0.39,-13.52,-2.25,-1.04,-0.92,0.82,2.29,1.98,-9.52,2.05,-11.46,-4.57,-3.92,10.18,0.45,-9.37,-6.77,-2.23,--,-7.76,-2.99,15.64,--,15.47,0,13.31,0,-0.85,--,-35.48,0,-6.43,--,11.54,0,-30.58,--,-70.89,0,-6.89,0,-9.66,0,-0.04,0,4.14,0,0,0,7.75,0,0,--,1.16,0.99,13.84,0,0,--,13.38,--,--,--,0,0,0,--,--,--,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
