报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2005-12-31,
基本每股收益(元),0.28,0.15,0.03,0.3,0.21,0.12,0.05,0.46,0.49,0.26,0.05,0.42,0.34,0.18,0.03,0.28,0.21,0.13,0.03,0.46,0.32,0.17,0.04,0.53,0.32,0.17,0.04,0.29,0.21,0.13,0.05,0.45,0.28,0.17,0.01,0.36,0.39,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.55,3.39,3.24,3.31,3.19,2.84,3.33,3.3,3.14,3,4.38,4.34,4.13,4.76,4.39,4.32,4.26,4.18,2.61,2.56,0,--,0,2.12,1.77,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.33,0.23,-0.36,-0.46,-0.7,-0.5,-0.64,0.45,-0.15,-0.14,-0.18,0.94,0.34,0.59,0.14,0.27,-0.75,-0.59,-0.45,1.11,0,0.28,0.1,0.25,0.56,
主营业务收入(万元),67371,43781,16817,96965,68672,44317,15822,94454,66676,44786,16029,88496,64535,43642,17746,87331,64204,42840,17266,72081,52469,33945,12855,57978,40519,25322,9909,55292,44954,29527,12028,55548,41563,26611,9956,46118,35878,
主营业务利润(万元),28640,16748,5636,34999,24907,15316,4858,29390,20048,12552,4322,19135,14283,9169,2930,15654,10885,7231,3023,16428,11988,7417,2826,12810,9105,5046,1168,8513,6583,4144,1574,8977,6216,3862,1030,7060,5758,
营业利润(万元),21370,11315,2698,22795,17594,10070,2013,17021,11845,6230,926,8005,6479,3395,574,4894,3692,2251,454,6885,5041,2675,473,5406,3399,1332,70,1946,1687,937,346,3262,2252,1425,10,2558,2418,
投资收益(万元),1025,126,--,-251,59,--,--,-38,-79,-79,135,761,750,125,136,128,502,100,1,47,14,15,44,531,-34,18,-51,-46,-87,-4,--,18,15,15,0,26,--,
营业外收支净额(万元),-12,-0,-9,232,-48,-106,-0,166,37,22,39,-154,-83,8,41,172,214,147,1,240,-112,-102,-43,145,131,227,233,307,--,--,12,-47,--,--,--,22,-12,
利润总额(万元),21357,11315,2689,23027,17546,9964,2013,17186,11881,6252,965,7851,6397,3403,615,5065,3906,2398,455,7125,4929,2573,430,5552,3529,1559,303,2253,1709,971,358,3215,2246,1390,49,2580,2406,
净利润(万元),18270,9826,2260,19745,13431,7536,1714,14767,10326,5347,867,6772,5426,2920,546,4450,3394,2103,405,6173,4225,2276,387,4711,2874,1250,304,1976,1350,773,279,2481,1555,947,38,1823,1932,
净利润(扣除非经常性损益后)(万元),18909,9748,2316,19597,13367,7580,1698,14573,10312,5357,1329,6226,--,2800,--,4117,--,1913,--,5864,--,2226,--,3927,--,1019,0,1766,0,735,271,2364,0,934,38,1692,1890,
经营活动产生的现金流量净额(万元),24905,13963,2321,30775,14417,11729,6862,5384,-2368,-11802,-11417,17092,5303,3680,-5718,-7423,-11191,-7915,-8504,6030,-1991,-1808,-1620,8341,3010,4375,1071,1966,-5549,-4362,-2458,6096,3235,1513,544,1380,2788,
现金及现金等价物净增加额(万元),9374,3318,-78,15360,4822,3857,5621,23287,20711,13606,19753,10164,1651,-1953,-3474,-3681,-7265,-6593,-1835,226,-1652,-4650,-5128,7994,1143,5718,5872,5063,3973,9660,-2389,3179,1483,289,1124,2086,389,
总资产(万元),150362,143551,140721,139561,136958,131365,121282,117740,118332,111394,115267,81077,82220,75054,73541,68969,63325,62572,62547,59888,58990,54057,55586,56824,52436,50306,48978,44929,49471,51600,35959,35208,0,--,0,28569,19222,
流动资产(万元),103293,98289,96388,96125,94666,88982,87499,83700,83929,78332,82205,48399,53622,50642,48650,43869,38171,37669,38881,34861,34733,30827,33732,34916,32626,31363,30302,26269,31879,34835,19913,19002,--,--,--,15041,9092,
总负债(万元),12755,11297,10109,11602,15923,16242,12061,10236,15604,13646,21792,19610,22643,19907,20812,15189,10408,16129,17160,14915,16143,13156,15709,17255,14787,14376,15809,12228,17241,19935,20895,20376,--,--,--,16121,9521,
流动负债(万元),12755,11297,10109,11602,15923,16242,12061,10236,15604,13646,21792,19610,22643,19907,20812,15189,10408,11025,12056,14915,16143,13156,15708,17239,14787,14376,15266,11586,14395,15939,16899,19177,--,--,--,14322,9475,
股东权益不含少数股东权益(万元),133958,126867,125201,122541,115707,109813,107263,105550,101077,96097,92490,58038,56703,54197,51812,52864,50996,45418,44407,43979,41865,39924,38923,38580,36664,35202,32468,31983,31514,30939,14333,14075,0,--,0,11650,8842,
净资产收益率加权(%),14.15,7.78,1.83,17.39,12.12,6.93,1.61,15.34,11.05,5.96,1.48,12.3,9.89,5.45,1.03,8.8,7.31,4.68,0.92,14.99,10.47,5.74,1,13.72,--,3.71,0,7.68,0,3.83,0,19.3,0,--,0,18.75,24.57,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
