报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2006-12-31,2005-12-31,2004-12-31,
基本每股收益(元),0.06,0.04,0.01,0.23,0.14,0.09,0.01,0.17,0.1,0.05,-0.04,0.37,0.2,0.08,-0.04,0.31,0.18,0.06,-0.07,0.53,0.36,0.15,0.04,0.45,0.3,0.12,0.03,0.4,0.33,0.14,0.02,0.5,0.43,0.31,0.35,0.75,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.44,4.42,4.3,4.34,4.21,4.09,4.06,4.13,3.95,3.74,3.74,3.7,3.55,3.37,3.37,3.34,3.28,3.09,3.07,1.99,1.91,1.83,1.42,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.17,0.12,0.05,-0.11,-0.3,-0.14,0.15,-0.4,-0.31,-0.25,-0.08,0.15,-0.1,-0.07,-0.11,-0.4,-0.37,-0.16,-0.3,0.24,0.22,0.11,-0.22,--,
主营业务收入(万元),23022,15057,5275,36223,25046,13327,3779,26145,18277,11539,2430,27181,17531,9478,2264,23079,16160,8782,1792,25844,17415,9215,3488,21422,13910,7614,2014,21506,16623,10019,3743,18160,13185,15235,10691,6435,
主营业务利润(万元),10343,6911,2261,16348,10449,5718,1409,13734,8744,5662,1233,13241,8066,4656,1092,12056,7978,4162,861,12311,8290,4317,1415,10434,6992,3630,948,9543,7374,4166,1345,7825,5674,6228,4676,3801,
营业利润(万元),673,570,-450,3078,1559,437,-585,1331,614,104,-991,2223,1018,126,-1191,2297,1498,292,-702,4418,3329,1264,189,4207,2798,1069,88,3216,2895,1080,45,2381,2022,2284,1443,1755,
投资收益(万元),562,468,203,564,-3,-3,-2,-29,-21,-16,-7,-39,-31,-19,-15,-12,-14,-10,-7,-7,-3,-13,-7,4,-5,-5,-0,-3,-1,-0,-0,-5,-1,2,9,--,
营业外收支净额(万元),2443,1501,695,2679,2100,1639,733,2276,1619,876,659,1898,1170,752,806,1261,504,379,56,1327,670,400,257,949,578,343,207,990,--,273,--,--,--,15,624,150,
利润总额(万元),3116,2071,245,5757,3659,2076,148,3607,2234,980,-332,4121,2188,878,-385,3558,2002,671,-646,5745,3999,1665,446,5156,3375,1413,295,4206,3400,1353,217,3784,3191,2299,2067,1905,
净利润(万元),2801,1881,176,5079,3245,1831,96,3387,2083,925,-351,3710,2006,838,-397,3094,1829,601,-676,5335,3575,1462,395,4530,3028,1236,281,3914,3238,1353,217,3784,3191,2299,2067,1905,
净利润(扣除非经常性损益后)(万元),1485,1013,-65,3262,2138,755,-310,2782,1688,629,-643,--,--,738,--,2650,--,487,--,4913,--,1391,--,4370,--,1123,0,3481,0,1267,--,3391,0,--,--,2270,
经营活动产生的现金流量净额(万元),-5516,-3160,-2369,-9155,-7599,-3031,-1431,2219,-4238,1226,-1423,2978,1684,1169,471,-1131,-2974,-1414,1481,-3961,-3050,-2453,-824,1470,-1014,-750,-1127,-4036,-3713,-1558,-2962,1833,1644,680,-1329,-551,
现金及现金等价物净增加额(万元),-3817,-5563,-5104,5448,4252,5631,36544,4600,-1429,1293,-1404,-275,-2193,-2279,1297,-2550,-3124,-2633,2108,-6723,-5290,-4490,-2541,-3690,-5577,-4019,-3518,13524,11956,11906,11803,2137,691,-971,-22,1183,
总资产(万元),131225,128901,125907,127323,121155,114281,115603,78223,76518,72851,68789,70290,67158,64507,66755,67223,64237,63208,64030,59780,60718,59061,55245,55793,54405,51482,48451,51376,49609,44487,42962,28689,25644,24523,23081,17832,
流动资产(万元),113561,112722,109534,113148,106900,100097,101593,63845,61803,58184,53939,55649,52632,49903,52248,52579,50261,49449,50566,47092,48396,47128,43427,43880,44730,42044,39951,43023,41215,36503,35099,20960,17937,16806,15816,11241,
总负债(万元),36029,34620,32176,33767,29433,23972,24735,29944,29693,27184,23397,24191,22764,20281,23764,23834,22113,22312,23411,18485,21184,21640,17891,18833,18948,17817,14741,17947,16857,13619,12230,13755,11302,13060,14542,11494,
流动负债(万元),33607,31773,13652,15422,10508,5290,5960,10875,10480,7862,20844,21411,20453,18072,21693,21760,20051,20130,21153,16770,19304,19776,16002,17530,17957,16819,13711,16993,15750,12490,11316,12830,10421,11208,13024,9865,
股东权益不含少数股东权益(万元),95062,94142,93583,93408,91574,90160,90718,48129,46825,45667,45391,46099,44394,44227,42991,43389,42124,40895,40619,41295,39534,37421,37354,36959,35457,33665,33710,33429,32752,30868,30732,14935,14342,11463,8539,6337,
净资产收益率加权(%),2.97,2,0.19,6.27,4.22,2.63,0.2,7.23,4.49,2.01,-0.77,--,4.53,1.91,-0.92,7.34,4.39,1.46,-1.65,13.69,9.36,3.91,1.06,12.93,--,3.63,0,12.83,0,4.79,--,28.33,24.76,23.07,27.88,48.71,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
