报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.14,0.42,0.16,0.41,0.21,0.04,-0.08,0.73,0.47,0.76,0.17,0.55,0.5,0.32,0.12,
每股净资产(元),--,--,--,--,--,--,--,--,--,4.17,--,3.52,2.96,2.48,0.88,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,-0.34,--,-1.68,0.16,-1.38,0.04,
主营业务收入(万元),466504,275314,133548,601636,388219,205821,100276,327578,236837,182094,102980,293072,255426,223269,97304,
主营业务利润(万元),53665,36304,16644,42143,28404,20213,9267,37046,26829,21250,11753,39246,29372,25624,11061,
营业利润(万元),12418,9941,3878,8048,3359,-488,-3147,15601,9283,14754,3400,9414,6649,5528,2038,
投资收益(万元),981,698,-1018,3833,1776,2376,1900,378,986,582,776,-2008,-584,347,-86,
营业外收支净额(万元),1958,1629,771,2616,2317,2046,1792,-1011,213,150,7,1158,2800,760,440,
利润总额(万元),14377,11570,4649,10664,5675,1558,-1354,14590,9496,14903,3407,10572,9449,6287,2478,
净利润(万元),9168,8265,3196,6889,3436,727,-1214,10383,6658,10802,2436,7810,7094,4546,1743,
净利润(扣除非经常性损益后)(万元),8111,6961,2271,6723,3599,3795,1705,5309,3051,3149,2177,6931,6450,6134,1477,
经营活动产生的现金流量净额(万元),-8292,-22825,-9035,-6704,3588,6776,5982,10308,-605,-4838,-11471,-23789,2293,-19558,571,
现金及现金等价物净增加额(万元),9876,15652,16400,1889,9627,21608,24561,-3959,45,4156,-827,1227,3271,-1542,2685,
总资产(万元),677616,518090,468564,305322,301132,297438,249646,201765,178080,174298,--,166608,103432,82651,37223,
流动资产(万元),568184,437270,389937,265744,261974,258002,218606,173806,157610,156643,--,149601,87836,69079,32856,
总负债(万元),448118,308720,264445,214462,214245,211517,166390,140475,121564,114503,--,116519,61387,47453,23739,
流动负债(万元),414386,276542,263305,213730,213068,211282,165889,138198,120220,111684,--,116046,61063,47453,23672,
股东权益不含少数股东权益(万元),199483,198810,195901,89021,85334,84532,82344,60485,55805,59161,--,49992,42044,35198,12504,
净资产收益率加权(%),5.4,5.27,2.24,8.15,4.66,1,-1.7,18.8,12.59,19.5,4.77,17,18.31,28.85,14.98,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
