报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-09-30,2006-12-31,2005-12-31,
基本每股收益(元),-0.02,0.01,0.01,0.03,0.01,0.01,0.01,-0.07,-0.02,0.01,0.02,0.04,0.07,0.06,0.04,0.34,0.27,0.12,0.09,0.45,0.35,0.15,0.08,0.6,0.46,0.27,0.11,0.67,0.52,0.34,0.63,0.48,0.98,0.6,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3,2.99,3,4.51,4.45,4.3,6.35,6.26,6.16,5.96,6.14,4.33,4.19,4.01,4.56,4.45,4.3,2.33,1.99,0,3.73,2.47,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.22,-0.11,-0.1,-0.32,-0.26,-0.08,-0.01,0.12,-0.18,-0.19,-0.01,-0.01,-0.12,-0.23,-0.23,-0.13,-0.29,0.13,0.45,0,1.28,0.44,
主营业务收入(万元),57507,37614,17679,84488,57396,40588,20161,81463,59179,32955,13094,70775,54023,36251,19355,68271,51457,31526,14558,56873,39608,22855,9252,40959,28219,17000,7110,32108,21264,12681,26148,19113,24741,16675,
主营业务利润(万元),9668,7034,3070,15018,10113,7213,3304,10449,7904,4937,2229,14066,12018,8633,4599,17933,13598,7970,3783,16415,12096,6895,3163,14521,10395,6441,2481,12334,8628,5401,9765,7246,7419,4988,
营业利润(万元),-1539,134,-11,-695,-470,31,201,-5777,-3168,-1750,-806,322,2482,2577,1455,6212,5815,2621,1140,5292,4534,1953,971,6253,4871,2832,860,5309,3829,2455,4673,3629,3908,2148,
投资收益(万元),--,--,--,152,143,134,134,32,32,--,--,--,--,--,--,652,830,--,--,--,--,0,0,14,14,--,--,0,--,--,-45,10,-11,-1,
营业外收支净额(万元),423,338,252,1762,808,475,281,2607,2416,2267,2170,1120,723,313,187,645,192,127,74,723,124,79,52,905,418,414,325,657,--,--,610,263,215,96,
利润总额(万元),-1116,472,242,1067,338,506,481,-3170,-752,517,1364,1442,3205,2890,1642,6857,6007,2748,1214,6015,4658,2032,1024,7157,5288,3246,1185,5966,4157,2740,5284,3892,4124,2245,
净利润(万元),-838,476,241,1061,405,513,452,-2924,-769,275,945,1413,2718,2410,1327,5756,4690,2097,1009,5071,3913,1685,833,6050,4634,2780,1005,5028,3593,2335,4364,3343,2929,1814,
净利润(扣除非经常性损益后)(万元),-1196,189,27,-1498,-282,109,227,-5521,-2617,-1449,-695,365,--,2144,--,4726,--,2002,--,4458,--,1618,--,5273,--,2428,0,4480,0,2096,3957,0,2780,1746,
经营活动产生的现金流量净额(万元),1250,-2697,-3287,-4451,-4012,-4561,1040,-9008,-12913,-3417,-973,-1756,-9336,-4685,-4339,-5542,-4437,-1344,-94,1350,-1994,-2176,-83,-90,-1174,-2286,-2138,-1183,-2649,884,3111,-1361,3846,1310,
现金及现金等价物净增加额(万元),-7635,-11335,7320,-13864,-9823,-6314,713,2447,-7749,-7669,177,31768,33438,39493,48148,-7375,-5628,-1469,-1211,4788,2785,4191,12971,-6458,-3764,-1917,2672,6144,15463,-1579,5218,966,2053,-626,
总资产(万元),183164,183482,196684,188641,201111,201697,202379,197538,188446,173258,179057,171866,172817,170329,176537,125769,127962,118242,109956,109089,107799,103650,102735,82851,78058,73912,72405,63081,67478,42969,34776,0,29461,24980,
流动资产(万元),116563,116533,129083,120259,132021,132199,132935,130919,134163,119286,125784,118588,121301,119852,126719,76155,80312,71276,64158,64004,63859,63181,63913,50303,50078,49895,50852,43435,50785,30012,26730,--,18078,13263,
总负债(万元),61907,60911,74348,66546,79672,80150,80892,76503,65257,49024,53524,47278,46577,44391,50152,48524,52065,44938,37740,37882,37750,35828,32923,39061,35683,33378,30426,22106,27939,26869,21011,--,17615,16693,
流动负债(万元),55483,54428,67850,59989,72599,73001,73697,69779,58705,42415,46928,40633,43766,41833,47505,46166,51088,43961,36903,37045,37750,35828,32923,29061,25683,24378,21426,18606,27089,26019,20161,--,16365,15043,
股东权益不含少数股东权益(万元),121257,122571,122336,122095,121439,121548,121486,121034,123189,124233,125533,124588,125908,125599,126035,76895,75897,73305,72216,71207,70050,67822,69812,43791,42374,40534,41979,40974,39539,16100,13765,0,11194,7423,
净资产收益率加权(%),-0.69,0.39,0.2,0.87,0.33,0.42,0.37,-2.39,-0.62,0.22,0.76,1.79,2.49,2.37,1.71,7.77,6.38,2.9,1.41,7.48,6.11,2.76,1.58,14.28,--,6.56,0,23.04,0,15.64,33,0,32.96,29.46,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
