报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1997-03-31,1996-12-31,1995-12-31,1994-12-31,
基本每股收益(元),0.01,0.02,0.01,0.04,0.03,0.03,0.02,0.08,0.08,0.07,0.03,0.09,0.05,0.05,0.02,0.06,0.04,0.04,0.02,0.16,0.18,0.04,0.03,0.17,0.24,0.18,0.09,0.1,0.1,0.15,0.09,0.15,0.13,0.1,0.09,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,1.56,--,--,--,--,1.95,1.94,1.93,1.91,1.89,1.88,1.88,1.64,1.66,1.52,1.52,1.5,1.57,1.51,1.48,1.38,1.39,2.16,2.29,2.2,2.28,2.19,2.08,1.72,1.71,1.68,3.35,3.32,3.28,3.26,3.24,3.21,3.18,3.15,3.13,3.1,3.83,3.87,3.83,3.79,4.33,4.28,4.26,4.22,4.09,4.03,3.95,3.23,3.16,2.96,2.78,4.2,1.66,1.53,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,-0.23,--,--,--,--,0.07,0.04,-0.03,0.15,0.01,0.05,-0.03,0.19,0.11,0.08,0.04,0.06,0.08,0.02,-0.03,0.23,0.09,-0.07,-0.12,0.29,-0.17,-0.11,0.03,0.32,0,0,0,0.31,0,0,0,0.32,0,0,0,-0.05,0,-0.16,0,-0.14,0,0.14,--,0.2,0.23,-0.24,0.28,0.37,0.23,-0.19,--,--,--,--,--,--,--,
主营业务收入(万元),151465,98577,54385,233417,177148,118918,58516,277353,217842,159837,81668,288596,207235,138108,74731,252707,191233,131760,68039,231010,182986,131095,65796,191492,149399,100114,57766,203619,166373,115253,63694,190601,141081,99166,52255,164748,130079,87827,46000,160801,128431,87470,45084,145195,114528,74232,42731,141449,107124,80009,45928,160025,130467,88236,43814,153375,87303,149144,92042,138769,83186,116384,66223,114769,58248,28968,86668,74043,55225,
主营业务利润(万元),17575,11196,8348,36616,28381,20285,9624,45407,34756,27058,13319,48626,28608,17843,8519,36319,23485,16184,8381,30410,24367,18393,10157,29255,24543,16219,7032,24975,18903,13786,6766,18272,13669,10142,--,18811,18013,12184,6681,19256,18322,12627,6950,19342,16600,10612,6635,23955,19197,14927,9345,27954,24532,16929,8907,30546,17656,29139,15617,25923,15528,20451,9458,11940,4111,1986,7235,11967,5114,
营业利润(万元),-11210,-8588,1245,-5676,3317,3949,1747,9065,7071,7771,3783,12237,4593,4607,1941,7081,4221,3538,2036,15046,16141,3612,2089,17783,21687,16587,8753,8845,8676,8011,4728,9906,8621,6464,4879,3359,2447,1400,746,3515,3274,2030,1034,4386,3370,2148,1086,-9922,3442,3985,1754,-12317,5563,3279,2317,9040,4987,10197,5088,13010,7170,11466,5152,12378,0,2026,7327,12124,5183,
投资收益(万元),1156,1008,986,-802,-664,-339,42,1940,1545,1422,64,750,447,301,106,1025,604,329,106,13186,13004,203,0,14718,14715,12745,7678,6956,6897,6897,3706,6654,6654,4012,3803,-98,-84,184,-28,-112,-84,-56,-28,-112,-84,-56,-38,-1657,-117,-89,-48,-284,-202,-39,-20,-3,200,737,161,-36,-14,2,0,59,34,0,97,22,18,
营业外收支净额(万元),10565,10210,11,9340,475,434,197,202,816,651,150,158,582,372,231,376,176,275,168,585,686,521,531,262,384,239,296,389,687,979,--,--,--,--,--,97,0,0,0,397,0,0,0,-263,0,0,0,-6337,0,-96,-129,-423,-185,-23,0,21,0,-519,0,-624,0,--,0,0,-236,--,0,0,0,
利润总额(万元),-645,1622,1255,3664,3792,4383,1944,9267,7888,8422,3933,12395,5176,4979,2172,7457,4396,3813,2204,15631,16827,4133,2619,18046,22070,16826,9049,9234,9363,8991,5883,9507,8331,6250,4762,3518,2667,1634,862,3847,2943,1818,915,4127,2998,1921,962,-17810,3247,3816,1578,-12897,5213,3255,2149,9085,4989,10518,4993,12406,6973,13198,5000,12658,3933,1967,7475,11995,5125,
净利润(万元),1378,2853,1848,5635,4213,4051,2063,9142,8351,7522,3351,9870,5438,4900,2260,6010,4308,3779,2201,13794,15455,3388,2146,14439,20315,15413,7806,8333,8565,8553,5297,8471,7571,5805,4970,3596,2647,1567,926,3248,2231,1478,886,3155,2223,1349,736,-18494,2034,2453,1119,-13117,3535,1990,1389,8047,3306,7878,3979,10038,5577,9305,4106,10388,3154,1603,6096,9929,4091,
净利润(扣除非经常性损益后)(万元),-8359,-6596,1015,-1664,4426,4139,2366,7099,6187,5821,3059,5599,--,4849,--,4994,--,3200,--,2690,--,2944,--,3485,0,3665,0,3037,0,2774,0,3548,0,2429,--,3316,0,1513,0,984,0,1392,0,1521,0,1503,0,-16144,0,2518,0,-12971,3355,1721,--,7716,3300,8020,3979,10038,--,--,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),1630,-7352,-5077,-3041,1793,1857,-11778,-24656,6618,2010,-7743,37125,7326,4245,-2866,16099,777,5677,-2990,15864,9322,6845,3495,4990,7180,2009,-2155,19863,7540,-3722,-6556,16101,-9443,-6175,1816,18003,9257,6536,-3423,9610,2720,2974,302,9674,-3072,1138,-2019,-1588,-7496,-4816,-22008,-4309,0,4333,--,6235,6965,-7209,8591,10326,6293,-5146,--,--,--,--,--,--,--,
