报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2005-12-31,
基本每股收益(元),0.01,-0.02,-0.07,0.55,0.07,-0.01,-0.1,0.23,0.03,-0.02,-0.13,0.1,0.02,-0.01,-0.12,0.5,0.14,0.03,-0.1,0.49,0.09,0,-0.19,0.44,0.02,-0.26,-0.31,0.62,0.23,0.16,0.67,0,0.4,0.38,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,2.95,2.92,2.86,2.98,2.63,2.53,3.32,3.43,2.97,2.88,4.61,4.8,4.36,4.08,5.09,5.4,5.07,2.99,2.83,0,2.16,1.88,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.38,-0.4,-0.33,0.08,-0.81,-0.8,-0.7,0.71,-0.32,-0.47,-0.68,0.51,-0.48,-0.72,-0.66,0.05,-0.82,-0.98,0.86,-0.66,0.93,0.35,
主营业务收入(万元),61915,39145,8972,123650,30312,18235,5252,45751,21452,13040,3454,31743,19597,11805,4161,50836,29447,14653,3655,37813,20185,10955,2777,26936,14407,5164,1065,21054,12175,7726,20085,5334,16351,11456,
主营业务利润(万元),22863,15105,3900,45708,15495,8845,2530,23512,12353,7623,1804,17927,11233,6743,2129,29046,15741,9024,2422,22749,11909,6743,1650,16389,9528,3388,691,14288,8916,5923,12550,4260,10836,9085,
营业利润(万元),-3882,-2159,-4738,9552,-1838,-2164,-3158,664,-3477,-2901,-3483,-1896,-2801,-2869,-3199,8799,2301,898,-1736,5943,806,-374,-2102,2758,-1243,-3807,-3525,2879,567,471,3683,-25,2534,1529,
投资收益(万元),101,89,-1,0,--,--,--,--,--,--,--,-28,--,--,--,185,--,--,--,--,--,0,--,0,--,0,--,--,--,--,160,15,-7,21,
营业外收支净额(万元),4392,1896,1094,4696,3301,1747,708,3576,3152,1734,281,3166,2276,1651,133,1992,840,238,38,1826,772,319,6,1973,1196,954,723,1251,--,292,560,--,23,664,
利润总额(万元),510,-263,-3644,14248,1463,-417,-2450,4240,-325,-1167,-3202,1269,-525,-1218,-3066,10790,3141,1136,-1697,7768,1578,-54,-2096,4731,-48,-2854,-2802,4130,1163,763,4243,-2,2557,2192,
净利润(万元),478,-664,-3093,11944,1146,-90,-1781,3886,538,-348,-2258,1787,414,-216,-2034,8650,2361,596,-1361,6511,1167,46,-1530,3565,169,-2073,-2094,3438,1195,794,3375,33,2006,1892,
净利润(扣除非经常性损益后)(万元),-1929,-1625,-3379,9540,-197,-752,-2202,1878,-1803,-1494,-2321,883,--,-373,--,7544,--,418,--,6168,--,-110,--,2865,--,-2362,0,3027,0,514,--,31,--,--,
经营活动产生的现金流量净额(万元),-32996,-26538,-16432,4182,-9140,-7747,-5801,4197,-7872,-9490,-7844,6754,-6633,-6940,-5782,1397,-13986,-13802,-9312,9403,-4274,-6260,-5515,4134,-3880,-5809,-4461,345,-5486,-4917,4307,-3330,4654,1760,
现金及现金等价物净增加额(万元),-40781,-31467,-16696,14159,-16144,-8172,-6014,3160,-8669,-10047,-8357,1988,-10696,-10512,-8454,1359,-11430,-9534,-9653,8999,-2649,-6718,-5234,-1834,-6181,-7516,-4636,16362,10825,-7447,4268,-3091,1090,2300,
总资产(万元),185881,178388,177253,192990,84808,90520,82166,89422,79199,77157,75647,83026,73590,71527,70219,77918,69450,69190,64652,67343,57328,48602,46296,49433,45262,40110,41258,45501,41887,22798,25440,0,21371,19235,
流动资产(万元),153455,145506,144307,159956,71380,78147,69624,76676,66465,64300,62321,69803,61656,59519,58539,67249,65932,66042,61443,64624,54560,45947,43753,47333,42855,37603,38937,43772,39328,20277,23278,--,19013,16024,
总负债(万元),57622,51119,52738,64611,24160,27589,20801,26023,19717,18206,18403,23009,14879,13336,12866,16343,14033,15548,16230,17631,13089,7932,7043,8997,8653,5923,5745,7675,6538,6518,10066,--,9729,9114,
流动负债(万元),53074,45632,46883,58472,20188,22577,15545,20712,15488,14588,13432,18018,12987,11665,11146,15390,13541,14984,15488,16908,12537,7591,6569,8536,8007,5306,5098,7051,5725,5699,9245,--,8973,8105,
股东权益不含少数股东权益(万元),122614,121681,119468,123210,57085,55850,54331,56112,52764,52051,50141,52399,51027,50397,49443,51477,45380,43615,44154,45515,39420,38300,37127,38656,35069,32827,34148,36242,33998,14991,14196,0,10812,9432,
净资产收益率加权(%),0.39,-0.54,-2.44,13.23,2.02,-0.16,-3.23,7.16,1.02,-0.67,-4.4,3.44,0.81,-0.42,-4.03,17.87,5.19,1.31,-3.04,15.53,2.99,0.12,-4.04,9.57,--,-5.96,0,15.54,0,--,27,0,19.32,21,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
