报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.95,1.43,1.94,0.56,0.73,0.92,0.84,0.94,0.41,0.59,0.38,1.02,
每股净资产(元),--,--,7.24,--,--,--,--,--,2.37,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,0.64,--,--,0.9,-1.02,-0.25,-1.41,-0.18,0.32,0.65,
主营业务收入(万元),219187,137372,313258,203187,139445,441398,497657,267901,62100,117067,97509,69982,
主营业务利润(万元),13332,9013,16844,10143,6712,15035,12970,9377,2206,3362,2975,1863,
营业利润(万元),12888,6176,12436,8627,4614,5727,5496,5650,2146,3086,2272,2251,
投资收益(万元),32165,20859,48608,35529,20446,14707,1644,-4083,448,103,-2241,0,
营业外收支净额(万元),3089,3094,52,39,44,392,2,195,17,28,42,7,
利润总额(万元),15977,9270,12488,8666,4658,6119,5498,5845,2164,3114,2314,2258,
净利润(万元),12894,7932,10774,7308,4046,5097,4660,4936,2030,2928,1756,1925,
净利润(扣除非经常性损益后)(万元),10578,5302,--,--,4008,--,--,--,1993,2792,1722,1919,
经营活动产生的现金流量净额(万元),-21492,-24582,3568,-18279,13242,5013,-5654,-1400,-7035,-918,1484,1227,
现金及现金等价物净增加额(万元),9915,58133,-36089,-29513,-16571,52101,-3188,4869,-1656,1167,2407,936,
总资产(万元),2404252,2170258,2235784,--,--,1295040,516704,271979,195194,126850,56288,47050,
流动资产(万元),2391820,2168464,2234866,--,--,1294133,516196,271523,194921,126768,56220,47005,
总负债(万元),2307784,2078342,2195604,--,--,1264541,490418,249580,183077,116065,48728,43770,
流动负债(万元),2307384,2078342,2158483,--,--,1191460,490418,249580,183077,116065,48728,43770,
股东权益不含少数股东权益(万元),96469,91916,40180,--,--,30525,26262,22361,11841,10487,7560,3280,
净资产收益率加权(%),20.81,17.35,29.1,--,11.85,16.82,17.8,26.16,15.63,24.5,32.4,99.27,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
