报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2012-12-31,2011-12-31,
基本每股收益(元),0.23,0.44,0.22,1.72,0.93,0.8,0.23,1.61,1.07,0.71,1.26,1.21,
每股净资产(元),2.19,6.32,12.18,11.96,11.5,--,7.04,6.81,--,--,5.4,4.14,
每股经营活动产生的现金流量净额(元),0.03,-0.07,-0.81,-0.49,-1.22,--,-0.68,0.98,--,--,0.25,0.84,
主营业务收入(万元),103390,60864,23568,83931,62757,36181,17272,69271,52702,33481,67293,62840,
主营业务利润(万元),16026,10097,2822,14768,9763,6240,2516,11945,8628,5445,10268,9160,
营业利润(万元),10631,6523,1623,9877,6654,4215,1290,8400,5668,3821,6899,6571,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),142,142,-1,380,362,292,1,466,387,387,-1,-3,
利润总额(万元),10773,6665,1622,10257,7016,4507,1291,8865,6055,4208,6898,6568,
净利润(万元),8972,5671,1389,8954,5983,3827,1083,7742,5139,3399,6033,5790,
净利润(扣除非经常性损益后)(万元),--,5548,--,8631,--,3579,1083,7349,--,3114,6034,5498,
经营活动产生的现金流量净额(万元),1227,-947,-5199,-3139,-7783,-3368,-3277,4719,797,293,1201,4048,
现金及现金等价物净增加额(万元),-27156,-15545,-18207,32054,27523,-3484,-3326,3907,-1525,-436,2863,3951,
总资产(万元),126486,113328,93578,96241,89384,54098,53460,51104,--,--,40130,33633,
流动资产(万元),104609,95972,78884,94929,88250,52762,52031,49608,--,--,38227,31572,
总负债(万元),42299,32454,15634,19681,15795,17562,19667,18394,--,--,14202,13738,
流动负债(万元),42149,32304,15484,19531,15645,17412,19667,18394,--,--,14202,13738,
股东权益不含少数股东权益(万元),84185,80886,77949,76560,73588,36537,33793,32710,--,--,25929,19895,
净资产收益率加权(%),11.07,7.13,1.8,19.5,16.76,11.05,3.26,26.48,--,12.37,26.33,34.06,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
