报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2011-09-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.9,0.56,0.27,1.32,1.09,0.69,0.65,--,1.63,1,0.46,1.62,1.42,0.9,1.38,1.17,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,9.68,12.57,5.24,--,4.13,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,0,1.48,1.35,-0.39,0.32,1.3,0.87,0.11,
主营业务收入(万元),513531,331773,166584,545463,420022,269473,133874,456702,352751,224236,111325,350643,254049,157846,284093,210112,196316,129946,125375,
主营业务利润(万元),170936,109708,52732,165075,128439,82031,40021,131050,100491,62778,29161,87761,65881,41696,67559,52059,45753,30829,22129,
营业利润(万元),111977,72938,34986,100698,83707,52391,26108,76825,62538,38780,17842,48968,40196,25549,38595,33456,26706,14621,12299,
投资收益(万元),19,--,--,822,56,23,--,4,4,--,--,3,--,--,81,-20,-6,38,57,
营业外收支净额(万元),5399,296,172,2882,2823,2171,61,1469,1061,820,328,2604,1018,309,754,297,507,466,539,
利润总额(万元),117375,73234,35158,103580,86530,54562,26170,78293,63598,39601,18169,51572,41214,25858,39349,33753,27212,15087,12838,
净利润(万元),88049,55369,26813,80899,66835,42333,20043,61352,49978,30721,13979,40488,32699,20646,31717,27019,23640,12051,9660,
净利润(扣除非经常性损益后)(万元),80167,51436,22987,57102,48476,30288,14852,--,--,21259,9487,25235,21895,14032,20040,18489,20808,--,--,
经营活动产生的现金流量净额(万元),67162,38435,25363,76952,65855,39993,16725,66890,17501,5080,18208,41528,33935,31047,-8922,7251,29855,19907,2550,
现金及现金等价物净增加额(万元),21388,29324,14653,19750,48847,8676,5929,-56747,-91888,-49427,-19199,136944,172909,27159,-12949,-3092,16573,6278,2889,
总资产(万元),890294,855586,745559,676466,681599,623125,604525,537138,520938,510863,484979,477339,508612,333993,277811,260624,178212,124369,113644,
流动资产(万元),451356,453397,414927,351024,392517,347872,346104,293634,307319,316825,318124,325118,361080,197106,163837,163883,104629,65399,59854,
总负债(万元),474667,452492,333018,290512,309297,277683,250583,204995,204511,213181,173958,180289,219287,213517,177956,165368,105269,60740,55613,
流动负债(万元),276047,290356,240603,191302,219266,249576,236023,195212,190747,195440,160958,164426,202223,187220,155977,145083,91977,56361,50099,
股东权益不含少数股东权益(万元),402771,390148,401670,374870,364335,339822,348215,328158,316783,297540,310853,296868,289076,120220,99566,94890,72660,63629,56912,
净资产收益率加权(%),22.78,14.22,6.91,22.57,19.21,12.3,5.93,--,--,10,4.6,25.46,28.21,18.79,37.17,32.36,31.78,20.15,21.25,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
