报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1998-03-31,1997-12-31,1996-12-31,1995-12-31,
基本每股收益(元),0.82,0.56,0.23,0.92,0.69,0.44,0.18,0.9,0.62,0.47,0.16,0.8,0.57,0.37,0.18,0.61,0.56,0.46,0.13,0.46,0.39,0.44,0.27,2.02,1.79,0.28,0.14,0.56,0.49,0.4,0.16,0.51,0.23,0.16,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,6.22,--,5.36,5.32,5.24,5.13,5.18,4.88,4.69,4.42,4.17,5.98,5.33,5.23,4.92,3.4,3.38,3.24,3.18,3.1,3.13,3.13,2.67,2.63,3.3,3.25,3.08,2.99,2.95,2.87,2.9,2.83,2.89,2.79,2.72,2.63,5.03,4.42,4.34,4.26,3.76,3.85,3.56,3.48,4.41,4.3,4.08,3.9,2.46,2.67,2.49,3.45,1.2,1.08,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.03,--,0.22,0.12,0.01,0.17,0.03,0.02,-0.11,0.11,0.05,0.05,0.02,0.21,0.09,0.06,0.02,0.19,0.08,0.07,0.02,0.11,0.09,0,0.03,0.19,0,--,0,0.23,0,0,0,0.25,0,0,0,0.39,0,0,0.06,0.27,0,0.17,--,0.23,0.1,0.47,0.26,0.17,--,0.44,--,--,--,--,--,
主营业务收入(万元),907350,592138,280030,1202553,866144,553854,265783,999641,707078,450929,205659,734078,538785,349427,164624,648554,463251,310251,145457,455542,332859,219492,107325,387226,279323,179427,84263,377323,284477,190197,91525,369330,272542,182742,85583,310200,219367,147235,75643,298853,214887,146687,71620,242544,197698,128347,63361,215456,163492,111362,53010,103166,85148,56652,22829,72784,38074,57952,28745,44245,19856,34040,12668,5402,19035,9268,6465,
主营业务利润(万元),451998,294191,135737,521967,369607,231561,108599,437812,305979,195939,89609,315148,233695,152928,73192,244144,167890,104915,49327,154421,111939,72457,33682,123965,91742,59195,27210,104359,79850,52153,25228,98160,70550,46877,--,80554,58560,40365,20286,89617,66220,46044,21866,75727,62706,37812,19463,58014,41768,28244,13873,35550,27392,18902,8000,27137,14205,26202,13680,18627,8574,12711,4812,690,3924,1003,817,
营业利润(万元),251943,178803,70389,239435,208102,133116,54084,281883,186885,140419,43670,203599,149145,96939,52186,158051,139206,112716,32052,114045,98903,77322,47352,321203,285072,37391,17590,80756,74203,62021,22460,73669,33285,24981,9160,1259,4875,4163,2458,8933,14563,9351,2808,12996,12048,7883,4138,2628,4606,4436,1429,3775,3824,3531,2235,6563,4370,10615,6184,10399,5268,7763,2575,885,4927,980,868,
投资收益(万元),174249,126771,48643,192501,146290,99127,40191,214062,138340,109340,27520,186598,128758,86612,45853,168539,146061,125904,29854,118179,95131,74831,46416,321914,279249,34488,17683,84705,73784,61285,20599,69497,30200,20876,8930,33455,17988,12359,5627,14512,10883,7616,4068,16823,12808,9384,4364,29842,26307,21879,2761,13075,8255,4837,1212,7844,5364,3575,1078,234,41,-29,-42,26,0,0,1,
营业外收支净额(万元),5264,2206,1381,32371,2298,701,416,8744,6503,4690,1610,8705,2683,1784,587,14616,12657,11583,757,6150,3843,2191,1330,5264,3723,2722,2073,2812,--,1106,--,1969,--,--,--,-1479,0,--,-29,2721,0,0,0,580,0,-7,0,698,-256,54,17,80,-56,-62,0,174,0,402,0,456,0,0,0,--,0,0,0,
利润总额(万元),257207,181009,71769,271805,210400,133817,54500,290627,193388,145109,45280,212304,151828,98723,52773,172666,151863,124299,32809,120195,102746,79513,48682,326467,288795,40113,19663,83568,75659,63127,23306,75637,34493,25753,9700,34098,23698,16885,8450,26930,29624,20525,10381,31288,25689,17733,8866,34313,31304,26522,4238,17508,12447,8524,3488,15268,10178,15144,7567,11091,5519,7949,2546,925,4925,974,872,
净利润(万元),189097,130348,53636,211287,157458,100201,41392,202706,138908,105314,35201,156392,109322,70177,33523,116561,106755,86670,25248,86365,73801,55144,33033,249820,221718,34304,17268,69086,60902,49623,20001,62578,28361,20265,7767,25916,17697,12444,6090,15903,17462,12128,5944,21533,17107,12233,6424,25890,24753,21544,3226,14721,9718,6527,3013,13552,9034,12852,6215,9216,4558,6373,2034,773,3603,638,598,
净利润(扣除非经常性损益后)(万元),130876,88245,37118,133102,105076,66979,30322,102587,77093,49785,--,86126,--,40115,--,56524,--,29066,--,37437,--,25690,0,37411,--,25207,0,32591,0,20933,--,36029,0,18840,--,7596,0,8015,0,13654,0,9104,0,19740,0,11837,0,10419,0,6401,0,12394,7636,6411,--,11671,6544,12239,5781,8609,--,--,--,--,--,--,--,
经营活动产生的现金流量净额(万元),116195,67747,18299,120021,84364,40367,703,101163,46740,31148,7617,66552,41549,23091,1155,31665,5774,3212,-21768,20336,9077,5924,2568,26187,11469,6850,2553,23304,9529,8832,2127,13148,11082,49,2378,18491,5878,3890,2224,18835,13590,10859,5750,20510,15075,11866,3565,15014,9042,6721,2313,10247,0,6348,--,6815,2897,13843,7004,3820,--,6655,--,--,--,--,--,
