报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1997-12-31,1996-12-31,
基本每股收益(元),0.12,0.1,-0.09,-0.38,-0.28,-0.19,-0.12,-0.18,-0.14,-0.09,-0.06,0.02,-0.01,-0.04,-0.06,-0.25,-0.12,-0.04,-0.05,0.46,0.05,0.04,-0.01,-0.47,-0.35,-0.13,-0.07,-0.5,-0.18,-0.1,-0.06,0.02,-0.06,-0.03,-0.02,--,--,--,--,--,--,--,--,0.08,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,-0.06,--,--,--,0.13,--,0.16,0.13,0.11,0.16,0.29,0.37,0.35,0.39,-0.37,-0.38,-0.4,-0.38,-0.27,-0.03,0.03,0.09,0.42,0.51,0.55,0.6,0.71,0.74,0.75,0.77,0.93,0.95,0.98,1.05,1.23,1.25,1.27,1.28,1.25,1.23,1.19,1.94,1.86,1.83,1.8,1.79,1.75,1.71,1.67,1.67,1.65,3.21,3.08,2.96,--,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,0.06,--,--,--,0,--,-0.16,-0.09,-0.08,-0.26,-0.13,-0.07,-0.05,-0.09,0.04,0.01,-0.01,-0.05,0.03,0.03,0.02,0.09,0.06,0.02,0.01,0.02,0.07,0.08,0.05,0.1,0,--,0,-0.03,0,0,0,0.12,0,0,0,0.08,0,0,0,0.04,0,0,--,0,0.04,0.16,0.11,0.14,0.1,--,-0.28,--,
主营业务收入(万元),115162,77725,9165,67424,52131,35086,12510,79754,56688,36583,13160,76017,55958,33076,11153,56940,44729,30878,10408,84715,63060,42399,12449,58785,47978,30839,16151,68856,53702,34171,14959,71386,58900,38968,19873,79963,42922,25548,10172,55012,43305,26940,9480,62639,48890,31867,13278,54716,40313,24323,8631,50149,37428,21950,7710,44054,22443,39637,19113,24839,12489,23041,19044,15870,
主营业务利润(万元),65509,41442,260,4115,2657,1968,142,13692,6657,4035,502,17201,10990,4471,430,1382,3245,2816,-167,18272,14135,9085,1656,7889,4748,3017,233,-296,3178,3328,835,10490,10323,7261,--,8168,5461,1825,-749,4762,7936,4798,1947,22661,17459,11481,4735,21669,15135,8997,3167,19842,14135,8054,2787,18455,9008,16387,7984,11263,5458,9670,8178,7389,
营业利润(万元),14677,10025,-5923,-24824,-17809,-11601,-6392,-12752,-9924,-6385,-4270,-1757,-1486,-3360,-4131,-21287,-12901,-7503,-5688,996,591,-67,-2259,-35093,-26910,-9488,-5207,-30135,-13267,-6868,-3873,-5136,-4069,-1773,-1367,-18088,-8169,-6583,-4567,-14258,-3065,-1620,-534,6038,5471,3319,762,6894,4015,2168,466,7040,4553,2205,176,7401,3455,7210,3564,6602,3267,5850,4844,3505,
投资收益(万元),158,158,11,--,--,--,--,234,--,--,--,4,--,--,--,4810,41,41,--,-16,-16,-27,-1,54,53,34,22,-112,-3,-6,-2,247,268,173,75,-90,-13,10,-4,-4,-33,-45,-21,-275,-89,-78,-8,-43,-42,5,24,-37,-8,18,10,-84,9,39,6,0,--,0,0,0,
营业外收支净额(万元),994,676,11,-213,-1001,-1149,-1312,1028,760,670,362,2783,840,576,55,4580,4847,4892,2211,28948,2667,2659,1735,3713,3680,1201,411,-4572,--,101,--,--,--,--,--,-537,0,--,0,-144,0,0,0,-53,0,0,0,-92,0,-2,1,-121,-85,-27,0,-86,0,42,0,87,--,--,--,--,
利润总额(万元),15671,10700,-5912,-25037,-18810,-12750,-7704,-11724,-9164,-5715,-3908,1026,-646,-2785,-4076,-16707,-8054,-2610,-3477,29945,3259,2592,-524,-31379,-23230,-8287,-4797,-34707,-12858,-6767,-3933,1692,-3914,-1806,-1387,-18275,-7970,-6362,-4582,-14336,-3041,-1649,-524,6213,5617,3415,768,7127,4035,2273,491,7113,4459,2196,188,7231,3388,7291,3610,6689,3265,5845,4835,3581,
净利润(万元),11697,7963,-5909,-25030,-18806,-12750,-7702,-11703,-9150,-5706,-3903,1113,-621,-2765,-4064,-16554,-7950,-2555,-3449,30242,3312,2639,-460,-30806,-22827,-8290,-4588,-33340,-12137,-6513,-3799,1635,-3745,-1659,-1236,-17669,-7831,-6268,-4523,-13872,-2883,-1531,-479,5605,4703,2873,649,6145,2641,1634,446,4536,2978,1477,129,5969,2880,6194,2419,5676,2775,4968,4110,2594,
净利润(扣除非经常性损益后)(万元),10932,7460,-5920,-24078,-17805,-11601,-6390,-12731,-9910,-6375,--,-1517,--,-3191,--,-19679,--,-7231,--,1321,--,7,0,-34564,0,-9490,0,-28309,0,-6614,--,-5900,0,-1627,--,-17132,0,-6203,0,-13865,0,-1545,0,5658,0,2894,0,6226,0,1564,0,4634,3071,1486,--,6055,2956,6152,2378,5583,--,--,--,--,
经营活动产生的现金流量净额(万元),-28202,-678,416,-2015,1094,7558,3962,-7379,-4291,-478,306,-4757,-10740,-5972,-5171,-17333,-8684,-4719,-3147,-6266,2775,724,-569,-3375,1621,2196,1523,5735,3823,977,842,1033,4593,4996,3453,6792,4732,4525,764,-1661,1346,-1468,-1194,8189,7861,4595,-1613,3122,2742,977,55,1669,0,47,--,83,1443,3398,2193,2876,1407,--,-3522,--,
现金及现金等价物净增加额(万元),4917,1683,-169,32,1702,1565,1442,-1566,2823,-2188,-2257,2623,-315,188,544,-8878,-6981,-8826,-900,-6910,-6083,-6572,-9825,15113,-1182,-1284,-894,1072,323,242,-233,-2667,-1423,-1525,-1544,-783,114,-768,-671,-909,2467,9612,20908,-140,-818,-512,-3402,4004,1537,1669,209,-575,0,-1637,--,-8821,-2702,-21893,-25800,30427,911,--,-3292,--,
总资产(万元),268099,232021,199901,205381,208377,216679,216634,223208,224533,221719,219858,223003,206486,198354,185469,179994,174595,162457,162309,158108,156788,158514,159538,170948,159718,164004,164834,170794,185697,188163,187649,186914,193255,193237,195078,194140,211648,205675,201891,206967,201311,204150,202801,174054,165379,163300,157052,156283,148470,138408,131096,129559,126949,122962,114571,111830,105955,98949,95257,84164,40679,36363,26523,20070,
流动资产(万元),205802,171722,24653,26649,26052,31070,27450,30830,32672,26751,26305,36018,41944,35122,22305,23188,42103,40713,43130,36832,33296,32417,32606,41372,26869,29249,28237,32113,39993,41692,38999,39557,46650,45533,44806,42561,54894,48393,68752,61223,74470,81308,88730,59843,64802,61501,54795,53710,46303,40577,--,--,--,--,30596,0,0,0,0,0,27723,24086,21249,14751,
总负债(万元),181707,149612,227108,226676,223444,225687,220595,219466,218305,215567,211898,211135,196157,190188,178688,169174,156905,139287,140563,133405,181376,183605,183007,192916,174102,162332,159672,160836,153508,149882,146602,141940,145642,143534,144975,142506,149302,141773,136269,136703,118655,120024,117747,88398,80938,80739,76686,74599,70280,61340,55241,55083,54291,51749,45457,42871,37688,32595,31693,23020,18831,17308,10417,4147,
流动负债(万元),169771,137677,151101,150656,49194,51724,46620,45957,47445,58493,78312,107536,142298,150944,177946,168414,142614,124600,139696,133071,181151,183354,182725,192634,167009,148916,146231,147394,134692,131066,127786,123124,112015,109907,111346,108879,106947,99418,93909,94343,72580,73609,71633,72267,66173,65877,61825,59737,57814,50440,--,--,--,--,37416,0,0,0,0,0,18831,17308,10417,4147,
股东权益不含少数股东权益(万元),81794,78060,-26889,-20980,-14756,-8701,-3652,4050,6603,6522,8325,12228,10628,8460,7067,11093,19016,24447,22997,25925,-24594,-25103,-26537,-25100,-17702,-2051,1650,6238,27790,33414,36059,39852,47118,49185,49574,51068,61438,62899,64644,69167,81326,82752,83720,84283,82923,81070,78802,80187,76655,75631,74390,73928,72136,70643,69115,68932,68267,66354,63563,61144,21848,19055,16106,15923,
净资产收益率加权(%),15.42,10.76,0,0,0,--,0,-161.25,-119.56,-60.86,-37.98,9.54,-5.76,-26.77,-0.45,-87.4,-35,-10.14,-7.05,-4.39,--,--,0,0,0,-404.07,0,-145.95,0,-19.45,--,4.19,0,-3.37,--,-29.29,0,--,0,-18.23,0,-1.85,0,6.75,0,3.56,0,7.98,0,0,0,6.35,4.23,0,--,8.79,4.3,9.88,0,0,--,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
