报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.44,0.32,0.18,0.62,0.44,0.3,0.18,0.59,0.41,0.3,0.18,0.58,0.4,0.29,0.17,0.63,0.43,0.29,0.15,0.56,0.51,0.51,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,3.81,3.7,3.67,3.85,3.67,3.84,4.71,2.5,2.23,2.02,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.34,0.09,-0.01,0.73,0.42,0.17,0.08,0.87,0.72,0.77,
主营业务收入(万元),146738,103357,58181,206208,147427,101018,55920,209858,151102,105342,58033,209458,147225,102811,57478,218757,156409,107867,61210,204472,185870,174342,
主营业务利润(万元),42452,29460,16183,59575,42938,29201,16067,58617,42771,29385,16475,57919,41214,28628,16083,59471,43054,29690,16774,56237,50666,48719,
营业利润(万元),24928,17858,10295,34782,24667,17081,9967,32800,23300,16779,10122,32671,22757,16616,9951,35950,25918,17358,10327,31501,28009,28216,
投资收益(万元),2366,1446,626,2539,1900,1100,516,1778,1147,676,233,876,583,334,92,1456,1324,-17,-11,77,501,132,
营业外收支净额(万元),386,335,35,945,431,309,208,1201,569,323,168,819,454,90,114,987,247,79,42,346,891,653,
利润总额(万元),25315,18192,10330,35727,25098,17390,10175,34001,23869,17101,10290,33490,23211,16705,10066,36937,26165,17438,10370,31847,28900,28870,
净利润(万元),18293,13142,7453,25801,18117,12503,7321,24458,17154,12263,7350,24156,16689,11959,7165,25469,17758,11454,6382,19422,17769,17555,
净利润(扣除非经常性损益后)(万元),16420,11908,6970,23344,16497,11466,6777,22390,15914,11554,7087,22913,--,11626,--,23794,--,11407,--,19198,17135,16908,
经营活动产生的现金流量净额(万元),15026,9998,9938,28574,16444,8111,2282,25015,12357,4607,3267,29644,14260,3630,-402,30202,17426,6942,3427,30203,24971,26704,
现金及现金等价物净增加额(万元),-10441,-15113,9739,6937,-6190,-11767,2452,-11490,-13921,-31715,-7513,-11582,-28571,-37939,-33409,54032,42016,44975,95181,4648,6456,-4641,
总资产(万元),230070,224052,240208,232224,220600,211369,223401,222199,211301,203231,217658,216233,202392,190526,192679,210836,197322,198697,250486,157063,155044,150359,
流动资产(万元),123842,117110,132428,123544,111098,101465,109171,107045,95705,86808,100358,98635,84247,71351,73607,90721,77067,78202,129051,35018,29664,24829,
总负债(万元),38185,37542,43695,43460,39817,36401,37971,44401,41086,38084,41838,48124,42011,35242,38547,48028,42584,37138,40632,57465,65229,68506,
流动负债(万元),32163,31436,37502,37227,33516,30079,31631,38062,34803,31841,35628,41979,35979,29266,32579,42167,36641,31121,34664,51549,59459,62975,
股东权益不含少数股东权益(万元),189625,184475,193753,186300,178615,173001,182787,175466,168162,163271,173325,165975,158508,153778,152436,160238,152528,159527,195963,86298,77250,69854,
净资产收益率加权(%),9.78,7,3.92,14.46,10.28,7.07,4.09,14.43,10.22,7.23,4.33,15.36,10.79,7.74,4.51,16.91,12.01,8.17,5.15,24.53,25.04,27.82,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
