报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.27,0.2,0.18,0.63,0.38,0.3,0.23,1.2,0.67,0.53,0.21,1.1,0.72,0.56,0.25,0.87,0.49,0.17,
每股净资产(元),4.74,4.7,10.19,5.39,4.94,4.87,9.86,9.63,9.09,8.95,9.13,8.92,8.56,3.53,3.21,2.96,2.21,1.12,
每股经营活动产生的现金流量净额(元),-0.28,-0.29,-0.41,-0.61,-0.82,-0.32,-0.29,-0.73,-0.8,-0.82,-0.82,-0.69,-0.84,-0.9,-0.49,-0.97,0.03,-0.44,
主营业务收入(万元),66569,43264,16914,62069,39368,29711,11148,48171,29417,24270,11053,38606,25891,18506,10509,32198,11763,5935,
主营业务利润(万元),28348,20057,7293,22015,14445,11356,4769,19103,11347,8898,3926,15242,10519,7634,3588,10765,4411,1450,
营业利润(万元),17838,13341,4901,15225,8978,7433,2803,14114,8240,6476,2796,11051,7261,5210,2415,7556,2965,761,
投资收益(万元),274,-5,-19,-14,--,--,--,--,--,--,--,--,--,0,--,--,--,211,
营业外收支净额(万元),723,465,41,959,677,263,75,1217,376,327,33,1035,185,186,5,763,238,208,
利润总额(万元),18561,13806,4942,16184,9655,7695,2878,15332,8616,6803,2829,12085,7446,5395,2420,8320,3203,969,
净利润(万元),14694,10980,4409,12134,7259,5818,2169,11474,6428,5068,2040,9056,5575,4038,1785,6259,3180,1004,
净利润(扣除非经常性损益后)(万元),--,10640,--,11414,--,5621,--,10546,--,4818,--,8273,--,3898,1781,5686,2942,406,
经营活动产生的现金流量净额(万元),-15262,-15761,-10004,-11761,-15736,-6115,-2812,-7027,-7657,-7886,-7868,-6671,-8017,-6491,-3549,-7014,183,-2660,
现金及现金等价物净增加额(万元),-2660,-8818,27992,-11514,-22055,-11834,-2920,-12689,-11628,-12798,-7871,42081,45592,560,-194,-5618,8753,-2199,
总资产(万元),363494,349031,372479,140334,115925,114998,114931,117163,110117,104922,108820,103122,109808,58906,51028,43861,29310,11935,
流动资产(万元),212383,201117,226768,124094,109354,109758,110583,113068,108082,103903,107878,102178,108855,58087,50336,43252,28671,11673,
总负债(万元),106819,94321,122235,35332,19500,20086,18887,23244,21817,18780,20903,17242,27398,33276,27651,22279,13257,5183,
流动负债(万元),101281,88156,115957,30894,19500,20086,18887,23244,21287,18780,20903,17242,27398,33276,27651,22279,13257,5183,
股东权益不含少数股东权益(万元),254818,252871,248991,103567,94942,93501,94653,92483,87275,85915,87687,85647,82166,25383,23130,21345,15887,6707,
净资产收益率加权(%),6.67,5.42,2.88,12.68,7.77,6.2,2.32,13.01,7.46,5.85,2.35,18.52,15.31,17.28,8.03,32.91,29,13.73,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
