报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.1,0.07,0.03,0.2,0.15,0.09,0.04,0.28,0.18,0.35,0.43,
每股净资产(元),--,--,--,--,2.98,2.92,--,2.83,--,2.55,2.2,
每股经营活动产生的现金流量净额(元),--,--,--,--,0.16,-0.01,--,-0.31,-0.55,-0.08,0.18,
主营业务收入(万元),35183,23152,10700,44984,33884,21973,10764,46547,32950,45975,53402,
主营业务利润(万元),8423,5650,2741,11950,8997,6042,2772,12900,8983,12584,14280,
营业利润(万元),1717,1234,585,3205,2501,1769,500,3810,2630,3913,6026,
投资收益(万元),105,105,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),483,250,17,143,-135,-386,65,566,286,1540,305,
利润总额(万元),2201,1484,602,3348,2366,1383,565,4376,2916,5453,6332,
净利润(万元),1863,1254,512,2862,2002,1168,480,3814,2467,4754,5720,
净利润(扣除非经常性损益后)(万元),1363,952,497,2562,1938,1317,425,3332,2224,3445,5257,
经营活动产生的现金流量净额(万元),-2721,-7525,-7928,4533,2217,-129,-5098,-4192,-7432,-1124,2356,
现金及现金等价物净增加额(万元),-719,2844,-931,777,-2036,-2626,-3860,-6266,-7166,3353,5638,
总资产(万元),97476,100457,101104,95238,83379,85713,--,89427,--,82692,78358,
流动资产(万元),66787,69585,70268,64091,52911,54937,--,58678,--,52069,47707,
总负债(万元),40244,43852,43415,38080,43264,46431,--,51313,--,48392,48812,
流动负债(万元),37338,40862,40143,34809,41064,44212,--,48851,--,46896,44348,
股东权益不含少数股东权益(万元),57233,56605,57689,57158,40116,39282,--,38114,--,34300,29546,
净资产收益率加权(%),3.25,2.2,0.89,6.78,5.12,3.02,1.25,10.53,6.94,14.89,21.43,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
