报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.29,0.18,0.13,0.63,0.52,0.31,0.15,0.54,0.44,0.32,0.13,0.46,0.44,0.31,0.27,1.23,0.98,0.69,0.34,1.19,0.91,0.61,0.27,0.9,0.6,0.36,0.13,0.95,0.51,0.42,0.17,0.43,0.34,0.25,0.1,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.82,4.68,9.48,9.16,8.92,8.62,8.77,8.45,5.52,5.21,5.02,4.75,4.45,4.2,4.56,4.44,4.2,4.11,3.86,3.89,3.8,3.71,3.75,3.62,3.53,3.45,3.53,3.42,3.34,3.29,1.84,1.44,1.2,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.28,0.05,0.1,1.63,0.59,0.32,0.06,1.06,1.04,0.95,0.34,0.87,1.04,0.79,-0.15,0.36,-0.59,-0.33,-0.16,0.52,0.69,0.32,-0.14,0.24,0,0,0,0.53,0,--,0.81,0.56,0.53,
主营业务收入(万元),479748,289869,126735,582391,455296,315786,165969,527417,390330,269615,115882,382635,292252,211600,87137,418689,320000,212429,89750,311307,220803,142508,60185,204039,148603,94002,36747,244397,62885,49087,26247,80742,65589,48991,22234,59536,47054,35000,16482,49371,38862,30166,36413,21314,13352,
主营业务利润(万元),132429,77281,34454,158945,116638,80045,35911,129304,93886,67056,30318,92335,71631,49909,19648,96767,74840,48772,20559,77657,58098,38790,16381,55554,35209,21936,8144,53711,12616,10276,5082,14674,11055,8325,--,11788,9568,6896,3055,11217,9045,7314,10460,7301,4510,
营业利润(万元),57341,31218,11663,58551,49387,31414,12595,35511,32007,22920,9976,32185,32117,24550,12167,50452,42985,30138,14007,44856,35565,24441,10806,33121,21794,13257,5034,31393,7983,6491,2491,8026,6198,4412,1676,6732,5323,3924,1811,6038,4913,4237,5119,3383,2393,
投资收益(万元),-37,-114,-1608,1488,4585,-463,-460,-892,-880,-579,225,1943,1492,1209,2083,-2572,505,609,599,1030,692,813,435,2054,2256,1656,-362,1322,59,154,--,162,--,--,0,-60,0,0,0,0,0,--,0,0,0,
营业外收支净额(万元),2828,766,578,2524,250,-89,-13,4668,519,380,119,3342,1779,433,-108,2970,331,401,74,1123,336,-455,-174,548,433,185,119,1578,--,--,--,0,--,--,--,-148,0,0,0,-133,0,-33,-39,-0,0,
利润总额(万元),60169,31983,12240,61075,49638,31325,12581,40178,32526,23301,10095,35527,33896,24983,12059,53423,43315,30539,14081,45979,35900,23985,10632,33669,22227,13442,5154,32971,7822,6359,2467,7814,5849,4064,1623,6632,5203,3814,1802,5909,4875,4209,5080,3398,2337,
净利润(万元),50964,27297,9683,48772,40111,24016,9151,32335,26381,18925,7864,27130,25912,18707,8151,36588,29151,20473,10019,31541,24044,16060,7202,23785,15806,9450,3301,25130,5781,4779,1955,4912,3870,2829,1100,4458,3486,2555,1207,4476,3442,2820,4207,2771,1646,
