报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-03-31,2008-12-31,2007-12-31,
基本每股收益(元),0.08,0.04,0.02,0.02,0.02,0.02,0.03,--,0.08,0.11,0.06,0.17,0.18,0.14,0.07,0.27,0.19,0.15,0.19,0.68,0.41,0.27,0.19,0.73,0.4,0.18,0.55,0.55,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,4.38,4.34,4.32,4.25,4.18,4.14,8.16,8.13,7.84,7.75,3.3,3.48,--,3.12,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.1,0,-0.03,-0.18,-0.07,0.01,0.41,-0.37,-0.69,-0.08,0.21,0.56,--,0.34,0.74,0.66,
主营业务收入(万元),46707,28475,10058,54152,35477,22295,12007,50638,36176,27030,15880,53165,34584,24277,12678,41509,25889,16794,9817,37556,22716,15090,7274,31646,19362,7160,26367,22372,
主营业务利润(万元),16013,9787,4423,20465,13914,10264,6191,26661,19305,14958,8275,27133,19244,13722,6845,23206,14783,10016,5423,18281,11973,8096,4107,14508,9115,3449,11425,7515,
营业利润(万元),116,169,835,1028,808,1134,1439,4193,3530,4403,2553,6181,5612,4625,2299,8246,5916,4414,2441,7983,5132,3877,1920,7270,3799,1757,5822,5092,
投资收益(万元),911,860,410,1899,1455,935,532,635,--,--,--,--,--,--,--,--,--,--,--,--,--,--,0,--,--,--,--,0,
营业外收支净额(万元),1389,674,24,300,272,126,90,460,183,112,81,194,-22,-61,-86,242,139,108,101,294,89,74,41,516,532,176,--,--,
利润总额(万元),1505,843,859,1328,1079,1259,1529,4653,3712,4515,2635,6375,5589,4564,2212,8488,6054,4522,2542,8277,5221,3950,1960,7786,4331,1933,5729,5212,
净利润(万元),3240,1591,733,656,737,860,1053,2540,2293,3019,1664,3731,3739,2984,1509,5727,4147,3299,1975,6342,3759,2866,1517,5838,3225,1426,4406,4371,
净利润(扣除非经常性损益后)(万元),1650,564,579,-975,-546,66,587,--,--,2937,1603,3583,--,3047,--,5539,--,3217,--,6100,--,2809,1486,5426,--,1286,3616,3204,
经营活动产生的现金流量净额(万元),-8144,-9656,2759,8110,1481,-50,-288,9741,4460,4096,2877,2218,-2242,19,-606,-3872,-1532,222,4369,-3997,-7371,-886,1711,4520,-1469,2729,5892,5290,
现金及现金等价物净增加额(万元),-17708,-150,11690,-1584,-4496,-772,-5925,10205,48682,-2995,-370,-610,3295,-4570,-4891,-22214,-20348,-14549,-6637,30116,35553,49030,-2315,1483,-2470,1084,5387,1139,
总资产(万元),269510,285272,261149,178198,181620,172470,175605,176653,176177,122244,122780,123469,127474,117545,108531,113501,102990,95032,94553,94130,90272,91910,34632,33707,--,28380,29340,20834,
流动资产(万元),79847,95251,123917,110194,113815,119233,122016,121820,123344,69197,72326,72475,79844,76611,68925,78264,79286,75371,75522,74906,77624,79468,23238,26186,--,23153,24117,15958,
总负债(万元),60776,77458,53382,16057,20683,14844,19970,19409,18981,16460,18412,18544,23063,14029,9227,15892,7340,4354,5333,5165,4349,5790,5207,5889,--,5672,8097,3055,
流动负债(万元),59863,76418,52613,15234,19793,13868,18930,18289,17677,15553,17430,17486,21899,13811,8991,15692,7340,4354,5329,5148,4325,5751,5207,5806,--,5672,8097,3055,
股东权益不含少数股东权益(万元),193218,191447,191311,146913,146877,147053,146820,146923,146994,95683,94204,93731,93669,92905,92488,90980,89414,88613,87312,86979,83847,82960,26422,24938,--,20059,19054,16255,
净资产收益率加权(%),2.14,1.06,0.5,0.45,0.5,0.58,0.71,--,--,3.19,1.76,4.05,4.05,3.24,1.64,6.46,4.64,3.76,2.24,11.32,14,10.87,0,26.57,--,--,23.87,22.08,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
