报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-09-30,2001-06-30,2001-03-31,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),0.28,0.22,0.12,0.48,0.37,0.25,0.12,0.44,0.34,0.25,0.14,-0.01,-0.01,-0.01,-0,5.05,5.05,5.05,-0,3.69,-0.06,-0.04,--,0.03,0.06,-0.05,-0.02,-0.3,-0.07,-0.04,-0.03,-0.08,-0.08,-0.06,-0.03,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,2.73,--,--,-0,0,0,0.01,-0,0,-0,--,-6.01,-5.99,-5.97,-5.95,-5.92,-6.02,-6,-5.98,-5.75,-5.72,-5.75,-5.68,-5.69,-5.66,-5.63,-5.6,-5.6,-5.75,-5.74,-5.72,-5.59,-5.58,-5.54,-5.52,-5.43,-5.41,-5.38,-5.35,-5.32,-5.29,-5.3,-5.29,-4.28,-3.47,-3.42,-3.37,0.24,0.26,0,0.24,0.04,0.2,0.18,0.35,1.75,2.7,2.65,2.55,2.51,2.45,2.86,2.76,2.63,2.91,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,--,-0,-0,0,0.01,-0,0,--,--,0,0,--,0,-0,0,-0,0,0,0,-0.01,0,0,-0,-0,0,--,0,0.1,0,0,--,0.05,0,0,0,-0.04,0,0,0,-0.01,0,-0.01,0,0.11,--,0.13,0,-0.1,-0.17,0.04,0.21,0.08,-0.12,--,--,--,--,--,--,--,--,0,--,--,--,--,
主营业务收入(万元),314823,229812,116980,501001,381393,263068,124264,522780,380510,254293,110284,0,0,0,0,11,11,11,11,148,0,0,0,185,139,93,46,170,124,77,31,180,149,88,60,0,0,--,0,8184,9145,6033,2942,14261,10266,6763,2948,7727,3558,486,140,671,793,602,176,51419,44457,30490,11887,73984,41022,101666,57751,96328,47893,88187,34144,46750,30231,51470,25541,59450,21058,38714,14148,40869,13924,18600,
主营业务利润(万元),55567,40314,21282,90438,69146,48585,21679,92704,67486,44837,19656,0,0,0,0,11,-890,5,11,-197,0,0,-650,185,139,93,46,170,124,77,31,180,149,88,--,0,0,--,0,1120,1286,790,434,1639,1129,697,152,1314,1032,280,20,525,213,62,140,6402,5925,4120,1509,10363,5312,15669,8235,15012,7047,-9040,-2224,-3789,4438,-3709,-276,146,5322,-1921,0,-912,0,0,
营业利润(万元),39410,32078,17750,65923,52537,36342,17141,61370,45811,32041,15733,-369,-221,-160,-82,-669,-868,-791,-71,-3460,-2000,-1350,-650,-3370,-2645,-1347,-666,-3221,-2786,-1893,-958,-2213,-2656,-1758,-738,1107,1112,-1565,-738,-3975,-1742,-1154,-553,-5537,-2263,-1578,-1017,-4772,-2673,-1998,-1077,-24124,-8810,-3405,0,-53556,0,-408,0,613,-1958,1441,-3713,-18939,-10903,-7876,--,-2228,0,-3243,0,939,0,-1425,0,-273,0,0,
投资收益(万元),28943,22156,12530,47142,34866,23223,10051,43758,31393,21879,11266,14,--,--,--,20,8,8,--,295,--,0,0,18,--,--,--,-60,--,--,0,163,-144,-144,0,723,726,726,0,-2129,-113,-113,--,-15,200,30,0,4434,2229,2143,0,-1476,4273,669,79,-3266,203,29,-150,1857,-1396,6268,-1479,-20109,-2464,18651,3692,5657,2969,5311,3488,10966,4393,13579,0,6746,0,0,
营业外收支净额(万元),1128,629,328,4328,1478,1287,289,833,944,447,119,0,14,14,14,146276,146519,146519,0,109985,141,110,46,4180,4387,--,--,-5294,--,648,--,5,--,--,--,36,0,--,30,877,0,0,0,792,35,0,0,1533,-81,0,2,-31049,-21630,-82,0,-41318,-159,0,0,1281,0,1382,1186,0,0,0,231,0,211,0,0,0,0,-246,--,0,--,--,
利润总额(万元),40538,32706,18078,70251,54016,37629,17431,62204,46755,32487,15852,-369,-207,-146,-68,145606,145651,145727,-71,106524,-1858,-1241,-604,810,1742,-1347,-666,-8515,-2133,-1245,-958,-2208,-2522,-1629,-738,1866,1870,-808,-708,-5228,-1404,-1266,-553,-4760,-2027,-1514,-979,1195,-524,112,-1075,-56649,-26167,-2787,-1319,-98134,0,-439,0,3754,-3288,9092,-4005,-38673,-13071,5770,2162,3889,2711,2477,3669,12400,7416,11907,5694,6398,1490,2227,
净利润(万元),36285,28867,16216,62638,47633,32862,15298,54301,40679,28420,13764,-369,-207,-146,-68,145606,145651,145727,-71,106524,-1858,-1241,-604,810,1742,-1347,-666,-8515,-2133,-1245,-958,-2208,-2522,-1629,-738,1866,1870,-808,-708,-5718,-1976,-1685,-711,-4794,-2218,-1605,-854,1139,-548,102,-1075,-56649,-26169,-2788,-1319,-99538,-1962,-1488,-745,420,-4735,5022,-4986,-40821,-14280,4334,1377,2858,2366,2013,3459,11731,6937,11540,5578,6398,1436,2078,
