报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2008-12-31,2007-12-31,2006-12-31,
基本每股收益(元),0.16,0.11,0.07,0.21,0.13,0.09,0.06,0.16,0.11,0.08,0.05,-0.36,0.03,-0.01,0.05,0.22,0.14,0.1,0.06,0.28,0.16,0.12,0.06,0.29,0.27,0.16,0.24,0,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.21,--,2.55,2.51,2.57,2.52,2.44,2.41,2.42,2.35,2.23,2.17,2.05,2,1.96,0.3,0.28,0,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.34,--,-0.56,-0.48,-0.48,-0.66,-0.63,-0.71,-0.67,-1.31,-1,-0.56,-0.24,-0.36,0.02,-0.17,0.5,0,--,
主营业务收入(万元),14539953,10069155,4538137,21578577,14464668,9616655,4187819,20269024,13727451,9115321,4362376,22111970,15528021,10701419,4485297,23017820,16208401,10614976,4301064,20679182,13583111,8903019,3666717,16520115,11982944,7499165,15357149,12355255,9203263,
主营业务利润(万元),1431579,1048094,449422,2218857,1395353,947187,428454,2185461,1340972,939574,444586,1973572,1435933,991934,422984,2127779,1466896,995223,436148,2077244,1279934,902147,395200,1630123,1183867,723505,1398336,1332074,968706,
营业利润(万元),432406,312724,165689,529025,356567,272113,156986,442145,279760,199894,141519,-839551,121832,20200,98856,532274,425997,313718,166784,700826,418592,310170,157032,570306,465379,267988,376376,742592,341331,
投资收益(万元),22731,12386,7395,105367,52669,54107,28759,34281,54161,52853,1288,361284,18383,8767,2528,113229,29204,24690,6972,39879,13713,8166,2921,9885,16374,5722,65870,145108,8066,
营业外收支净额(万元),63481,37691,16908,141506,74640,45649,10937,87507,63503,39847,13982,43322,47275,38135,11044,83190,42034,28872,10514,68034,40089,30569,14619,82472,64617,52,82058,24240,-939,
利润总额(万元),495888,350414,182597,670531,431207,317761,167923,529651,343263,239741,155501,-796230,169106,58335,109900,615464,468030,342590,177297,768860,458682,340739,171651,652778,529996,320116,458434,766832,340392,
净利润(万元),315143,217227,127348,396494,249214,180934,111276,298086,211635,148041,104366,-695150,66154,-18613,86339,424342,260256,196903,119613,532078,300563,222897,110417,423233,345297,208310,311797,356063,130773,
净利润(扣除非经常性损益后)(万元),263407,178359,116574,286714,191475,142841,96567,191355,135430,83927,--,-1081237,--,-48716,--,344558,--,167030,--,484625,--,198234,0,366019,--,176108,213433,249212,124856,
经营活动产生的现金流量净额(万元),-257724,-405359,-527806,1496903,-595215,-573254,-863256,2002215,-180533,-410779,-656037,438658,-1062891,-917119,-924418,-1263137,-1203989,-1350037,-1274219,-2512056,-1912396,-1071315,-464453,-681463,35527,-223718,649165,426203,350653,
现金及现金等价物净增加额(万元),-380380,-412036,-270502,-267138,-644870,-773357,-1024750,-84162,-677577,-958089,-786118,-1063626,-1163490,-911481,-1038086,341855,-217003,-239831,391060,-543829,-387749,173084,228592,1854307,3589089,85200,225914,530857,521050,
总资产(万元),34040737,33752106,32755562,32597848,34150357,33434490,32271864,32288444,33983417,33081879,32490192,32623479,35312230,34817231,34089607,33203096,32626364,31920575,31206195,28822072,27510212,26240040,24649641,23047721,23259668,18694828,17267690,13423511,9093975,
流动资产(万元),26261964,26052461,25016149,24708656,25270609,24641353,23810299,23995419,24318194,23658111,23195789,23926254,25507976,25045787,24709582,23968427,24315163,23519392,23738240,21499435,21541852,20360031,19044539,17709868,17986655,14118308,13206952,10761657,7113876,
总负债(万元),27493606,27302857,26822860,26795397,28504561,27866165,26639761,26781922,28517136,27683243,27110830,27343246,29468351,29039405,28154070,27385616,27008803,26371056,25719136,23470755,22389327,21247718,19897020,18431535,18777389,17591494,16253093,12766543,8739924,
流动负债(万元),23042209,22445716,21743616,21756419,22703418,22485065,21716935,21904486,22016668,21330152,20592632,20935143,22712419,22990067,21957066,21336987,20022844,19861458,19199765,17416543,16365551,15750663,14311898,13498076,13924975,13834020,13654927,11347961,7417152,
股东权益不含少数股东权益(万元),5425908,5355640,4853708,4733726,4563267,4481850,4557352,4454130,4346137,4286873,4217589,4114898,4879662,4796244,4907231,4820291,4660929,4601326,4615405,4497098,4257215,4139137,3920000,3813454,3741310,392576,358365,99933,-273725,
净资产收益率加权(%),6.35,4.44,2.66,8.63,5.53,4,2.47,6.95,5,3.52,2.51,-15.56,1.36,-0.39,1.78,9.11,5.68,4.33,2.63,12.77,7.12,5.54,2.85,33,--,55.48,--,0,--,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
