报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.15,0.16,0.06,0.46,0.28,0.3,0.12,0.7,--,0.43,0.12,0.73,0.65,0.62,0.35,
每股净资产(元),1.86,1.86,3.88,3.82,3.68,3.67,5.27,3.58,--,3.31,--,3.08,2.45,1.24,1.95,
每股经营活动产生的现金流量净额(元),-0.04,-0.01,-0.08,0.27,0.22,0.19,0.1,0.74,--,0.25,0.03,0.68,0.78,0.39,0.6,
主营业务收入(万元),21716,14020,4911,19257,12979,9239,3771,17226,--,8587,3484,15660,14253,10027,6305,
主营业务利润(万元),9580,7071,1932,8618,6194,4753,1763,8128,--,4421,1606,7674,6763,5014,3024,
营业利润(万元),4306,4192,673,4670,3163,2988,841,4832,--,2961,823,4596,4068,3111,1610,
投资收益(万元),23,-11,8,192,122,82,27,--,--,--,--,--,1,--,--,
营业外收支净额(万元),79,-35,-17,695,569,569,50,243,--,112,-2,655,389,185,9,
利润总额(万元),4385,4157,656,5365,3732,3557,891,5075,--,3073,821,5251,4457,3295,1620,
净利润(万元),3299,3364,570,4488,3124,3033,737,4199,2689,2563,691,4371,3718,2749,1356,
净利润(扣除非经常性损益后)(万元),--,3386,--,3734,--,2479,--,3993,2528,2468,--,3814,3387,2592,1349,
经营活动产生的现金流量净额(万元),-949,-137,-758,2616,2139,1848,642,4456,2511,1473,204,4051,4658,1973,902,
现金及现金等价物净增加额(万元),-3371,-8453,-2164,7865,6887,6990,12612,2793,--,34,-1024,3270,2995,1533,1269,
总资产(万元),68398,44626,39579,39566,37164,37696,36138,23865,21104,21460,--,20204,16493,7173,3527,
流动资产(万元),32691,23210,25790,27123,30523,31238,29725,17371,14593,14950,--,13710,9549,6456,3372,
总负债(万元),25363,3214,1891,2448,1409,2033,1961,2388,1138,1621,--,1727,1822,996,599,
流动负债(万元),25203,3054,1731,2288,1249,1873,1801,2228,1138,1621,--,1727,1822,996,599,
股东权益不含少数股东权益(万元),39766,39832,37688,37118,35755,35663,34178,21476,19966,19840,--,18477,14671,6177,2928,
净资产收益率加权(%),8.57,8.7,1.52,13.12,14.76,12.64,3.35,21.34,--,13.38,3.67,26.22,33.02,60.94,60.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
