报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2001-12-31,2000-12-31,1999-12-31,
基本每股收益(元),0.04,0.05,0.03,0.02,-0.12,-0.08,-0.04,-0.17,0.01,0.05,0.08,0.49,0.37,0.2,0.08,0.47,0.37,0.23,0.07,0.24,0.14,0.16,0.08,0.26,0.15,0.17,0.08,0.2,0.12,0.12,0.07,0.23,0.23,0.17,0.07,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,1.9,--,--,--,--,--,--,--,2.57,--,2.37,2.2,2.38,2.3,2.2,2.26,2.1,2.03,1.93,1.95,2.24,2.17,2.06,2.07,2.18,2.11,2.03,2.03,1.98,1.91,1.91,1.85,1.74,1.95,1.94,1.92,1.9,1.85,1.86,1.85,1.83,1.79,1.84,1.84,1.81,1.76,1.73,1.69,2.63,2.56,2.58,0,1.87,1.61,1.47,
每股经营活动产生的现金流量净额(元),--,--,0.41,--,--,--,0.05,--,--,--,-0.14,--,0.45,0.88,0.44,0.67,1.35,1.37,0.71,0.09,1.1,1.47,0.59,1.01,1.85,2.17,0.9,0.17,1.11,1.53,0.87,0.07,0.27,1.24,0.58,0.68,0,--,0,0.22,0,0,0,0.61,0,0,0,-0.37,0,0,0,0.12,0,0,0.34,0,0,
主营业务收入(万元),19857,17530,10871,43820,19700,18090,11873,41302,28476,22324,12226,66062,39888,30918,12996,56215,35096,26340,11842,58722,40549,31074,14070,66533,51012,35778,14819,65365,54597,41916,16925,71021,53969,40363,16467,56863,48090,34130,12203,33722,26205,21147,9451,35651,29968,24756,10939,27887,21654,17018,9938,15990,13181,8819,14219,11591,9264,
主营业务利润(万元),5396,4830,2767,12956,5233,4910,3032,8933,8496,6885,4523,22322,14696,11898,5958,21235,13192,9684,5224,18766,13922,10546,5450,22377,15852,11357,5396,20246,15051,11069,5603,19729,14772,10855,--,16633,14199,9935,3868,10407,8317,6492,2960,9620,7934,6894,3272,8498,7523,6136,3372,3575,2965,1966,3231,3099,2710,
营业利润(万元),147,743,360,-1676,-2885,-1880,-1109,-5341,96,880,1367,8618,6049,4610,1785,8515,6319,4779,1687,6014,4313,4071,1790,6403,4549,3962,1419,4747,3250,2689,1323,4960,4637,3388,1357,4732,4695,2683,611,249,338,228,264,-234,635,820,658,2649,2259,1699,1327,2370,2086,1471,2414,2070,1674,
投资收益(万元),--,--,--,806,1105,--,--,543,553,553,553,910,910,--,--,1300,1300,1300,--,650,650,--,0,--,--,--,--,1416,730,-33,-17,-197,-161,-108,-50,-3886,-3764,-2118,-95,-437,-289,-232,-116,-381,-229,-183,-50,-261,-198,-120,-50,0,0,0,0,0,0,
营业外收支净额(万元),707,316,319,1941,153,132,142,74,3,3,-25,513,221,-101,12,236,-61,-20,2,279,88,71,61,356,74,76,21,--,--,--,-1,--,--,-14,--,-186,0,--,0,-277,0,0,0,-170,0,0,0,29,7,0,-1,0,0,0,0,0,0,
利润总额(万元),854,1059,678,265,-2732,-1748,-967,-5267,99,883,1343,9132,6270,4509,1797,8751,6258,4759,1689,6293,4400,4142,1851,6759,4623,4038,1439,4759,3208,2685,1322,4947,4612,3375,1353,3694,3320,2283,1128,1452,1422,1239,714,1196,2063,2056,1235,3762,2642,1901,1692,2371,2086,1472,2368,2126,1699,
净利润(万元),824,995,633,443,-2478,-1646,-904,-3539,161,900,1333,8304,6339,3434,1311,8004,6294,3850,1225,4171,2390,2711,1203,4018,2383,2605,1156,3025,1836,1799,1026,3628,3622,2694,1012,1811,1694,1235,788,824,918,819,545,476,1269,1242,758,1706,1211,573,699,1591,1396,986,1562,1426,1130,
净利润(扣除非经常性损益后)(万元),117,667,314,-1221,-2609,-1758,-1025,-4959,158,897,--,6744,--,3520,--,6386,--,3867,--,3932,--,2649,--,3692,0,2538,0,3042,0,1803,--,3638,0,2707,--,1974,0,1254,0,999,0,832,0,420,0,1256,0,1673,0,583,0,1591,1396,0,0,0,0,
经营活动产生的现金流量净额(万元),10693,12747,7896,27586,4337,6882,994,5143,3326,6529,-2339,137,7734,15061,7540,11408,22944,23307,12113,1534,18744,25149,9132,15632,28615,33681,13891,2605,17156,23757,13503,1035,4121,19250,8947,10528,15366,16206,18463,3412,6757,8143,5672,9461,11179,5235,6141,-5684,-10966,-9115,-1451,1163,0,0,2036,0,0,
现金及现金等价物净增加额(万元),3257,6009,1159,3792,3406,-4627,-3947,3813,435,-1570,-961,-6925,2082,-7682,-4128,5844,-584,7252,1243,-4008,-5789,919,-927,-1809,-4711,1300,-4824,1380,7197,6189,1114,-561,-6184,11568,2622,1261,6229,6861,12087,5556,5990,8034,6743,-12334,-6858,-10524,362,-1764,-10065,-197,-1574,14658,0,0,473,0,0,
总资产(万元),72294,76104,75589,79496,97258,88840,93865,101313,102878,103030,106167,103171,104336,95329,100869,100781,76702,85872,80876,76345,65415,74654,78304,77550,65361,78978,84734,85773,75096,81774,91189,84122,69043,84930,90769,84467,68115,77262,91797,75983,58300,60663,64696,58625,55019,50727,68475,66482,52647,58857,54001,31033,29589,0,15271,16853,18665,
流动资产(万元),40743,43953,43120,45820,59026,50675,55065,61836,62710,62834,67111,63933,66436,59530,65264,65363,41947,50857,45939,41629,32884,42129,47397,46300,35812,47428,52989,54372,43295,47875,57029,50403,44018,60002,65479,56061,42445,49745,64876,49635,33356,35725,39559,32823,31876,27710,45443,43572,32987,43438,--,--,--,0,6914,8325,0,
总负债(万元),32282,35029,35016,39480,61264,51863,55374,62587,61237,57201,59871,58274,61119,55186,57889,59240,37126,45536,42808,39626,30591,39601,41860,42102,31402,44962,49253,51396,41734,48607,58933,52670,37540,54495,62160,52766,35146,44854,60057,45145,26882,29426,33921,28625,24266,19783,38304,35283,22922,26277,21674,5440,3793,0,4050,7195,--,
流动负债(万元),30847,33594,33611,38075,59612,50199,54528,61590,60440,56403,59062,57477,59898,54153,56905,58297,36072,44471,41731,38537,30247,39246,41453,41883,31019,44597,49079,51211,41503,48376,58732,52469,37501,54474,61922,52565,35146,44854,60057,45145,26882,29426,33921,28625,24266,19783,38304,35283,22868,26223,--,--,--,0,3246,6405,0,
股东权益不含少数股东权益(万元),38349,39257,38894,38262,32980,33812,35336,35459,39159,43308,43741,42408,40443,37538,40530,39219,37519,38486,35861,34635,32849,33171,34763,33559,31924,32146,33797,32641,31452,31415,30642,29616,29549,28621,26939,30160,30065,29790,29455,28668,28762,28663,28389,27781,28574,28547,28063,27305,26806,26168,26293,25593,25796,0,11220,9658,8832,
净资产收益率加权(%),2.15,2.61,1.57,1.24,-7.24,-4.75,-2.55,-9.09,0.39,2.1,3.09,20.35,15.91,8.95,3.29,21.68,17.44,10.53,3.48,12.32,7.2,8.13,3.52,12.14,0,8.04,0,9.72,0,5.9,--,12.84,0,9.17,--,6.12,0,4.23,0,2.92,0,2.9,0,1.73,0,4,0,6.38,0,2.21,0,9.72,11.72,0,14.97,14.94,12.33,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
