报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1993-03-31,1992-12-31,1991-12-31,1990-12-31,
基本每股收益(元),-0.03,-0.02,0,0.34,0.13,0.15,0.04,0.31,0.23,0.21,0.1,0.28,0.21,0.2,0.12,0.32,0.27,0.17,0.1,0.26,0.08,0.08,0.05,0.19,0.12,0.08,0.02,0.18,0.1,0.07,0.02,0.11,0.06,0.05,0.02,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),2.86,--,2.99,--,2.78,--,2.78,--,2.67,--,2.63,--,2.46,2.45,2.81,2.69,2.65,2.55,2.48,2.38,2.19,2.19,2.22,2.17,2.1,2.11,2.09,2.07,1.99,1.96,1.97,1.94,1.91,1.91,1.99,1.94,1.9,1.89,1.91,1.9,1.86,1.84,1.87,1.86,1.82,1.8,1.82,1.82,1.76,1.75,1.74,1.74,1.75,1.74,1.73,1.72,1.74,1.86,1.85,1.84,1.87,1.87,1.86,1.8,1.52,1.76,1.66,1.6,1.59,1.64,1.55,1.57,1.51,1.47,1.45,--,--,
每股经营活动产生的现金流量净额(元),--,--,-0.77,--,--,--,-0.3,--,-2.08,--,-0.58,--,-0.12,-0.13,-0.19,-0.15,-0.15,0.15,-0.04,-1.36,-1.94,--,-0.86,1.82,1.7,0.74,0.13,0.56,0.14,0.16,0.15,-0.42,0.19,0.04,-0.04,0.03,0,--,0,-0.19,0,0,0,-0.55,0,0,0,0.21,0,0,0,0.29,0,0.13,--,0.48,0.26,0.17,0.09,0.14,--,-0.11,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),51369,31611,13015,321747,159332,81084,26147,269286,160836,123634,82007,226748,130449,112941,57243,234276,143394,75724,31589,204993,86518,74743,54519,185812,111239,48514,14935,144940,100545,69198,20582,109066,51429,35159,8417,91428,57664,42898,13827,95034,65031,39765,13787,69126,57477,26482,10739,98846,61219,47749,19915,78044,57688,38076,17200,82621,39994,75243,39586,112126,47637,80299,39245,84949,40712,87816,37414,64011,23666,31813,11835,34875,24532,12035,--,3204,3287,
主营业务利润(万元),8840,4807,2817,58635,23265,22233,5184,59261,40381,31383,14660,58708,35033,30060,14241,58075,38832,26072,14423,36366,15962,12587,7250,41982,24699,13701,3668,29237,16222,11410,4922,23373,12771,9186,1846,15739,8213,6031,1828,17007,10484,6445,2232,11620,7659,4354,1680,8993,1606,1306,587,2013,1281,887,375,2959,2048,3307,2042,4780,1898,7269,4821,6202,2306,4693,1826,4915,2281,7910,3749,3494,1601,725,--,0,0,
营业利润(万元),-3579,-2161,-207,37419,12219,16001,3022,35752,26568,23863,11487,34009,24586,23709,11454,33860,29031,19862,11598,23702,6661,6117,4496,24762,13882,6462,981,16208,7906,5778,2272,9093,4627,3635,-309,2477,303,880,170,8874,5120,3464,911,6190,3921,2110,776,5550,1024,-51,349,571,744,598,141,1658,1018,1035,678,1024,62,5655,4582,9996,0,8576,0,5811,0,0,4509,3566,1604,726,--,1029,1284,
投资收益(万元),--,--,--,-1,--,--,--,-3,--,--,--,-42,--,--,--,-9,--,--,--,4758,--,0,--,59,59,--,--,396,441,--,--,-402,-637,-500,0,209,401,401,650,-661,-340,-340,0,1308,0,0,0,1114,1045,853,115,1021,1010,643,380,464,134,585,454,407,166,520,338,849,272,772,659,652,248,588,0,1275,602,257,--,0,0,
营业外收支净额(万元),36,-89,-11,590,857,869,848,-403,-401,-378,-400,702,752,-50,-16,310,391,372,-18,1890,1756,1755,418,1199,1142,1144,1191,-301,--,-17,--,1480,--,1807,1782,6384,0,--,0,39,0,0,0,-0,0,0,0,155,0,0,24,-66,-77,-52,0,-480,0,-1,0,59,0,0,0,0,-1,0,-4,0,-2,-4,0,0,0,--,--,--,--,
利润总额(万元),-3543,-2250,-218,38009,13076,16870,3870,35349,26167,23485,11087,34711,25339,23659,11439,34170,29422,20234,11579,25592,8416,7872,4914,25961,15024,7606,2173,15908,7970,5760,2252,10572,6254,5442,1473,9071,5316,4155,813,8252,4815,3158,948,7498,3920,2109,776,6819,2240,957,488,1526,1677,1189,513,1642,1144,1637,1135,1496,249,6110,4903,10864,3832,9349,3385,6480,3175,9576,4582,5240,2609,983,--,1019,1105,
净利润(万元),-2246,-1375,8,29468,11173,13036,3069,26643,20058,17998,8665,24195,18502,17307,8466,22786,19578,12593,6958,18955,5786,5555,3402,13895,8474,5718,1472,12692,6906,5030,1690,8040,4270,3933,1111,7133,4264,3400,789,6707,3703,2428,735,6096,3284,1743,636,5419,1501,687,365,853,1461,1010,442,1368,977,1282,903,1107,172,5159,4188,9222,3231,7938,2871,5461,2699,8152,3894,4453,2218,983,--,458,497,
