报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),-0.56,-0.3,-0.01,0.08,0.04,0.03,0.02,0.28,0.26,0.18,0.08,0.48,0.4,0.35,0.2,0.78,0.72,0.48,0.28,1.02,0.91,0.7,0.38,1.01,0.82,0.56,0.38,2.48,1.75,0.83,0.32,1.03,0.85,0.55,0.21,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,4.93,--,5.08,--,4.95,--,4.97,4.86,4.79,4.42,4.68,4.33,5.62,5.15,5.5,5.14,6.1,5.48,5.56,5.52,9.01,8.62,6.92,6,6,5.68,5.44,5.14,4.98,4.75,3.18,3.59,3.06,1.82,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.16,--,0.17,0.22,0.17,0.94,0.83,0.5,0.42,1.01,0.67,0.21,0.32,2.25,1.54,0.89,0.69,3.45,4.1,3.01,1.31,2.23,1.9,1.22,0.39,2.17,1.49,2.42,1.13,0.72,
主营业务收入(万元),857443,587423,311798,1611945,1244810,855591,426064,1915197,1406830,928070,498604,2216935,1702715,1241641,625275,2506864,1878927,1196610,584996,2290456,1726297,1186759,548210,1885040,1378788,733417,292431,1738060,1309077,789234,357776,1106093,795620,505094,231922,745773,381805,719893,494794,321742,
主营业务利润(万元),24059,32689,39709,250300,188366,128644,51623,361532,267549,169790,77861,391068,314382,240944,110580,479490,378561,241888,104593,435439,356977,254958,103046,330517,245504,147017,73959,534311,402174,230725,71734,247427,168093,106673,42182,207535,108187,206000,147948,71530,
营业利润(万元),-137590,-72957,-604,21374,20864,15816,9428,116215,89903,61958,29238,142062,129555,112734,64255,245817,221976,147037,66126,237487,219894,168974,71236,181014,152709,105286,55535,417071,315046,183229,50506,161531,137497,89274,34565,128379,77622,135455,109633,37403,
投资收益(万元),2591,2007,1280,-568,-1382,-1695,1105,1192,125,125,79,220,204,151,75,456,450,403,101,618,613,577,506,312,234,234,0,160,--,--,--,104,67,67,0,70,36,141,61,0,
营业外收支净额(万元),1783,1086,816,8462,14,-8,92,435,-389,-278,-17,2103,2534,1902,164,-17549,2412,2401,977,-978,-514,-360,25,564,262,-54,33,-61776,--,-60301,--,--,--,-657,-109,-2011,0,0,0,0,
利润总额(万元),-135808,-71871,211,29837,20878,15808,9520,116651,89514,61680,29221,144165,132089,114636,64420,228268,224388,149438,67103,236509,219380,168614,71261,181578,152971,105232,55567,355295,254484,122928,50456,161920,136617,88617,34456,126438,77164,134080,107646,37513,
净利润(万元),-133124,-69792,-2525,19862,8644,6628,4848,66676,60721,43154,19536,112144,94368,83025,47411,184653,170600,113689,51038,184991,164820,126900,53500,140940,114135,78479,41151,266086,187547,88920,34706,110298,91533,59373,23085,86262,51773,90401,72230,24468,
净利润(扣除非经常性损益后)(万元),-134451,-70602,-3136,13777,8632,6634,4780,66485,60920,43269,--,110772,--,81590,--,197560,--,111883,--,185855,--,127086,--,131611,--,78575,0,312793,0,134145,0,110359,0,59814,--,87077,51826,91575,74405,24403,
经营活动产生的现金流量净额(万元),-215622,-75949,46284,-254275,-106041,11259,65874,-341372,-235394,-123404,36871,-29243,39411,51010,40887,221121,196113,119112,76390,183233,121218,38263,44378,313895,215787,123677,74434,371055,440827,323450,140853,240175,204501,130936,41657,232897,105219,170895,77326,48849,
现金及现金等价物净增加额(万元),21222,13990,63726,39721,28298,9232,59160,-10322,123158,209449,-21596,-109452,-113635,-192309,-70552,46730,-28877,-55162,-10412,-70929,-22514,-45215,-23238,-164669,-119096,-69676,71731,149854,307533,242330,127974,102793,81759,54410,-13787,103731,-31671,22983,38013,1700,
