报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-03-31,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.22,0.24,-0.01,0.48,0.27,0.18,-0.02,--,0.44,0.27,0.17,1.03,0.63,0.35,0.25,1.28,1.56,0.96,0.45,1.4,0.97,0.29,1.3,0.59,0.51,
每股净资产(元),3.87,5.7,4.02,4.01,3.78,3.7,5.67,--,5.31,5.09,7.54,7.36,6.97,6.69,11.96,11.71,11.26,20.81,20.3,4.97,4.54,--,3.57,2.72,1.71,
每股经营活动产生的现金流量净额(元),-0.13,-0.08,-0.17,-0.48,-0.43,-0.42,-0.5,--,-1.16,-0.77,-0.81,-1.16,-1.01,-0.38,-0.42,-1.91,-2.01,-2.34,-1.17,0,-0.89,--,-0.06,-0.11,-0.05,
主营业务收入(万元),163317,110227,31028,200309,119591,82152,22777,148990,88646,53446,22120,120426,74517,41157,16582,82517,55142,34113,14451,41613,29544,9043,25343,15158,9216,
主营业务利润(万元),42753,29003,7122,56421,34900,23397,5585,40748,23611,14268,5947,33397,20450,11201,4496,22998,15147,9631,4126,11767,8331,2468,6788,3903,2296,
营业利润(万元),19214,13271,-470,29417,17048,11275,-718,26702,15514,9913,4219,24984,15587,8529,3430,16429,10174,6023,2397,7228,5258,1561,4367,2216,950,
投资收益(万元),8845,5424,2771,10332,7276,4896,2047,10660,7125,4070,1417,2884,2140,1229,627,563,--,--,--,0,0,--,21,0,0,
营业外收支净额(万元),446,194,142,149,-15,-15,3,643,568,-27,--,6,61,296,--,-104,91,0,40,247,1,14,1377,129,111,
利润总额(万元),19661,13465,-328,29566,17033,11260,-715,27345,16082,9886,4219,24990,15648,8825,3430,16325,10265,6023,2437,7474,5259,1575,5744,2344,1061,
净利润(万元),17271,12020,-306,24439,13889,9310,-583,23577,13761,8515,3623,21591,13248,7464,2902,14025,8774,5169,2068,6459,4461,1335,4969,2036,882,
净利润(扣除非经常性损益后)(万元),--,11856,--,24386,--,9321,--,--,--,8538,--,21585,--,7212,--,14129,--,5168,--,6250,4461,--,3781,1927,788,
经营活动产生的现金流量净额(万元),-10534,-4279,-8435,-24176,-21849,-21095,-15779,-30114,-36721,-24387,-17150,-24452,-21218,-8078,-4872,-22371,-23507,-14435,-7199,2653,-4116,-2172,-298,-220,-101,
现金及现金等价物净增加额(万元),46176,57007,7347,6125,3173,6116,8961,11443,-10558,-4410,8531,-14014,-16843,-11913,-3942,60087,73251,83554,94808,2691,-3307,-3346,6679,-506,1102,
总资产(万元),632370,612918,515000,506422,441737,426150,382276,360485,308563,285863,269281,244923,194324,171519,156860,155440,140593,137499,134601,33258,28028,22416,22309,8330,7868,
流动资产(万元),401789,399525,313883,290248,272156,262317,233549,221194,184157,171249,166525,149302,145155,133721,134875,138724,134926,132144,130280,29303,24690,19404,20104,7169,6454,
总负债(万元),316789,303782,309751,301862,248772,237110,201280,180187,138717,122771,108359,87570,47259,30218,17006,18489,8893,9405,9607,10360,7128,4642,5870,2842,4415,
流动负债(万元),193227,219790,226351,262769,203856,190082,126996,150577,109577,103150,98277,85060,46849,29808,16746,18229,8893,9405,9607,10360,7128,4642,5870,2842,4415,
股东权益不含少数股东权益(万元),312877,307107,203205,202494,190964,187001,178917,178150,167587,160878,158656,155033,146690,140906,139854,136951,131700,128095,124994,22898,20900,17774,16439,5479,3443,
净资产收益率加权(%),7.16,5.77,-0.15,12.86,7.52,5.07,-0.33,--,8.57,5.38,2.31,14.85,9.35,5.35,2.1,13.37,9.34,6.85,8.64,39.29,23.9,--,51.62,45.64,44.24,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
