报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-06-30,2001-12-31,2000-12-31,
基本每股收益(元),0.22,0.14,0.07,0.28,0.22,0.14,0.06,0.24,0.18,0.12,0.04,0.19,0.16,0.11,0.05,0.21,0.15,0.1,0.04,0.17,0.14,0.09,0.04,0.19,0.15,0.1,0.04,0.15,0.11,0.08,0.05,0.17,0.12,0.08,0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,2.34,--,2.24,2.2,2.85,2.8,2.74,2.68,2.67,2.64,2.6,2.55,3.3,3.26,3.21,3.16,3.15,3.11,3.08,3.05,4.5,4.45,4.4,4.37,4.41,4.29,4.26,4.22,4.25,4.23,4.21,4.19,4.2,4.16,4.21,4.14,4.15,4.09,4.07,4.02,3.95,2.13,0,1.74,1.38,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,0.02,--,0.06,0.02,0.02,0.21,0.02,0.02,0.01,0.07,0.06,0.01,-0.02,0.15,-0.06,-0.07,-0.02,0.19,0.03,-0.08,-0.08,0.13,0.1,-0.03,-0.07,0.17,0,--,0,0.06,0,0,0,0.06,0,0,--,-0.22,0,0,0,0.48,0,0.37,0.13,
主营业务收入(万元),49692,32832,17163,66869,51338,33632,16695,62330,46428,28658,7852,32536,24111,15339,7604,32421,24951,14373,6892,28944,21111,14150,6743,25989,18791,11948,5543,22537,16808,10838,5145,19478,14756,9488,4634,16624,12294,7463,3450,17299,13341,9228,4477,18119,13035,8449,4207,11234,7228,3953,1593,7851,3719,6924,6469,
主营业务利润(万元),26176,17359,8712,33960,24657,15881,7943,28178,20610,13072,4399,17325,12800,8164,3997,15779,11319,7244,3325,13811,10142,6496,3055,12408,9235,5813,2643,10521,7976,5124,2412,8971,6793,4310,1976,7753,5786,3614,1825,7340,5538,3517,1682,6650,4822,2988,683,4647,3182,2126,952,4641,2308,3951,3101,
营业利润(万元),4392,2900,1384,5371,4147,2748,1224,4661,3455,2326,756,3354,2399,1586,699,2940,2177,1365,514,2393,1957,1258,480,1932,1605,994,400,1206,1125,812,344,806,1137,770,332,1434,1016,689,321,1229,961,704,309,1295,1442,921,421,1884,1551,1091,401,2415,1123,2027,1470,
投资收益(万元),449,281,141,570,385,288,95,515,299,169,70,210,109,71,38,98,25,3,-2,50,33,32,18,15,26,33,27,17,-25,-18,-1,-129,35,21,5,-55,-27,-19,0,-26,-0,0,0,0,0,0,--,-32,0,0,0,2,0,26,50,
营业外收支净额(万元),161,-22,-12,-76,-65,-42,-37,-84,-57,-34,-8,51,-28,-18,-10,-14,-28,-17,-9,48,-42,-27,-18,11,-0,38,45,521,--,214,--,--,--,--,-13,-128,0,--,0,-61,0,0,0,-53,0,0,-12,-55,0,0,0,0,0,0,0,
利润总额(万元),4553,2878,1372,5296,4082,2705,1188,4577,3398,2292,748,3404,2371,1568,689,2926,2149,1348,505,2441,1915,1231,462,1944,1605,1032,445,1727,1450,1026,450,1796,1101,749,319,1250,930,626,300,1141,909,665,297,1242,1400,896,409,1797,1509,1091,401,2382,1125,2035,1262,
净利润(万元),3780,2380,1141,4400,3419,2209,997,3833,2823,1843,648,2866,2008,1326,583,2451,1802,1133,424,2033,1584,1011,396,1720,1346,861,371,1314,1019,700,317,1015,725,494,213,810,601,416,202,757,596,441,199,726,923,586,275,1125,980,701,269,1578,757,1364,726,
净利润(扣除非经常性损益后)(万元),3644,2398,1152,4446,3471,2244,1026,3500,2872,1880,--,2821,--,1343,--,2466,--,1148,--,1984,--,1040,--,1694,0,829,0,887,0,537,0,267,0,508,--,772,0,412,0,741,0,465,0,761,0,612,--,1161,0,701,0,0,755,0,0,
经营活动产生的现金流量净额(万元),4941,1473,-762,6950,1529,1251,-96,3717,1126,492,256,1694,880,250,264,2400,271,230,74,843,707,163,-218,1383,-511,-630,-161,1744,282,-758,-495,803,583,-81,-435,1014,-328,-282,-509,382,-525,-276,-442,339,-349,-320,-472,-1319,-1754,-1360,-1768,1922,552,1466,508,
现金及现金等价物净增加额(万元),29262,27239,653,-983,-1846,-1657,-378,2753,-2190,-2056,-64,285,-415,-184,149,-279,-856,-833,-261,-739,-1228,-379,-397,899,-1246,-922,-441,-1226,-1313,-2538,-1940,714,-1110,-1289,-107,-2950,82,649,1302,-2601,-3134,-2512,-1562,-1037,-1677,-2006,-32,10430,0,12141,13232,879,0,1459,-8,
总资产(万元),95920,95219,66282,65896,65866,67450,64977,64948,63809,62548,44858,44321,43438,42726,42029,41852,41376,40152,40193,40108,38033,37524,37027,38336,36621,36263,35444,35966,35633,34788,34465,35766,34887,34231,34564,33584,33721,33379,33008,30541,30434,30834,30278,31205,32123,30407,30081,29321,27003,27086,27725,12628,0,11566,10367,
流动资产(万元),70293,70839,42284,41371,43557,44977,43037,43221,41203,42490,30716,30256,29398,28948,28261,27916,28485,27389,27331,27058,25089,24647,24246,25411,24347,23838,22932,23360,22804,22095,21729,25472,23344,23034,23286,23340,24456,24949,25010,22671,23005,23587,24208,25216,26206,24585,25456,24605,0,23498,--,--,0,--,0,
总负债(万元),19654,20403,23049,22471,23410,26214,23769,24736,22386,23825,9168,9279,9256,9222,8686,9091,9265,8710,8880,9213,7541,7613,7258,8947,7557,7687,6912,7798,7616,7092,7154,8768,8286,7862,8101,7664,7997,7834,7316,4944,4937,5658,5040,6163,6861,5483,5173,4699,--,2960,4030,4102,0,4618,4851,
流动负债(万元),19654,20403,23049,22471,23410,26214,23769,24736,22386,23825,9168,9279,9256,9222,8686,9091,9265,8710,8880,9213,7541,7613,7258,8947,7556,7684,6912,7798,7616,7092,4452,5467,3984,3762,3817,3764,7265,6802,6084,4812,4805,5526,4908,6031,6729,5351,5041,4567,0,2703,--,--,0,--,0,
股东权益不含少数股东权益(万元),76183,74784,43201,43392,42412,41202,41166,40168,41378,38679,35646,34998,34141,33459,33300,32718,32069,31400,31276,30852,30448,29875,29709,29314,28918,28433,28393,28022,27731,27412,27029,26712,26422,26192,26270,25735,25533,25348,25500,25393,25273,25117,25176,24976,25173,24837,24825,24550,24407,24126,23694,8526,0,6948,5516,
净资产收益率加权(%),6.08,4.41,2.6,10.53,8.16,5.35,2.45,9.78,7.2,4.77,1.83,8.48,5.95,3.97,1.77,7.7,5.68,3.64,1.36,6.75,5.29,3.41,1.34,5.99,0,3.05,0,4.8,0,2.59,0,3.84,0,1.88,--,3.15,0,1.63,0,3,0,1.76,0,2.91,0,2.36,--,5.55,0,0,0,20.39,0,22.01,11.72,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
