报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.57,0.48,1,0.63,0.44,1.03,0.92,0.79,
每股净资产(元),8.34,8.22,6.41,--,--,5.6,4.73,3.84,
每股经营活动产生的现金流量净额(元),-0.12,-0.37,0.44,--,-0.35,1.21,0.85,0.7,
主营业务收入(万元),20344,15021,28604,19349,12789,25418,22101,20570,
主营业务利润(万元),7560,5606,10901,7403,4897,10791,8708,7229,
营业利润(万元),4007,2960,6759,4257,2933,6642,5757,5503,
投资收益(万元),104,--,--,--,--,--,--,-26,
营业外收支净额(万元),367,304,167,111,48,478,714,12,
利润总额(万元),4374,3263,6927,4367,2981,7120,6472,5515,
净利润(万元),3796,2853,5970,3781,2618,6203,5548,4732,
净利润(扣除非经常性损益后)(万元),--,2583,5809,--,2568,5798,4927,4393,
经营活动产生的现金流量净额(万元),-963,-2957,2655,-1869,-2111,7260,5077,4200,
现金及现金等价物净增加额(万元),6765,18708,410,-3381,-3399,6004,1537,6330,
总资产(万元),80052,78523,47658,--,--,43738,36016,27967,
流动资产(万元),62377,63625,36958,--,--,33831,27063,22393,
总负债(万元),13347,12762,9210,--,--,10144,7626,4919,
流动负债(万元),13347,12762,9210,--,--,10144,7458,4678,
股东权益不含少数股东权益(万元),66704,65761,38448,--,--,33594,28389,23047,
净资产收益率加权(%),7.89,7.25,16.57,--,7.5,20.07,21.63,28.1,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
