报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.01,0.01,0.01,0.05,0.04,0.02,0.03,0.08,0.12,0.11,0.09,-0.31,-0.11,0.09,0.07,0.25,0.71,0.42,1.36,0.7,1.11,0.66,0.48,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,3.46,--,3.57,3.77,3.78,3.71,9.33,9.09,3.64,2.97,2.36,3.09,1.65,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,2.47,--,-1.78,-0.17,-0.2,-0.1,-2.08,-2.95,5.13,2.85,3.26,3.76,2.34,
主营业务收入(万元),3984475,2691648,1371372,6031453,4650972,3103553,1659140,6398528,4511266,2958291,1602552,5779668,4201652,2878029,1530824,5545514,4082161,2677508,5377439,2601993,3519133,2409057,1973094,
主营业务利润(万元),401997,276250,143967,606652,445572,307066,151502,688327,532683,362376,164627,596568,454937,331867,144378,624094,428128,272916,573817,270205,363559,247277,160959,
营业利润(万元),6408,4710,8531,28295,15875,9486,11439,53683,74009,59329,32179,-56947,-11353,44954,25970,91885,96903,51480,168209,86319,135871,78902,63847,
投资收益(万元),16001,9779,3105,37632,40606,12001,13418,4821,-70,171,-193,-234,-85,-68,42,4330,-116,244,837,112,-46,6,-14,
营业外收支净额(万元),16941,13884,883,18415,5167,6532,-268,25258,1896,2348,980,12281,7185,5138,814,11003,6971,7005,4981,1127,4909,5124,906,
利润总额(万元),23350,18594,9414,46711,21042,16018,11172,78941,75905,61677,33160,-44666,-4167,50093,26785,102888,103873,58485,173190,87447,140779,84025,64753,
净利润(万元),5749,4139,3622,14151,9376,4376,7997,21077,30498,28063,23813,-82493,-28295,23302,18039,64990,70262,40373,123627,63279,101144,60189,43774,
净利润(扣除非经常性损益后)(万元),-13613,-12938,2961,-27306,-23475,-7952,8198,-4414,28911,25869,--,-93191,--,18550,--,51662,--,35114,119039,--,97678,55809,0,
经营活动产生的现金流量净额(万元),248478,409700,-62531,564114,442071,350952,249023,1119208,927239,722963,648762,-199673,-465624,-43899,-52121,-25799,-205482,-309767,466278,259168,296308,155335,96660,
现金及现金等价物净增加额(万元),-419592,-2406,-271602,420229,125442,-38946,-8139,339154,132196,351206,209440,84024,230508,289455,100038,276838,51677,-36786,505039,400791,320673,89354,99015,
总资产(万元),6638244,6908805,6292168,6774578,6410013,6377914,6634617,6506392,6253312,6268602,6416508,6288799,5965805,5957123,5499351,5232105,4433744,4226986,3499390,3083696,1903580,1181443,826456,
流动资产(万元),4772219,5063588,4428318,4883326,4535739,4474638,4780478,4655547,4434728,4447806,4571811,4454691,4338247,4347386,3987916,3809711,3222392,3147729,2756922,2557128,1501885,964850,693466,
总负债(万元),5410992,5682346,5062284,5548174,5486044,5459236,5716745,5596023,5335296,5353256,5505091,5401297,5023958,4963839,4503983,4255293,3452072,3269543,3168777,2814198,1689031,1053717,758136,
流动负债(万元),5019864,5336612,4661790,5130667,5058582,5029685,5294733,5194597,4898756,4939074,4946055,4768105,4393108,4318855,3956441,3992347,3240336,3051070,3006295,2662030,1654031,1053641,745328,
股东权益不含少数股东权益(万元),1218944,1217682,1216858,1213236,912340,908026,911612,903886,913243,910803,906683,882871,937073,988632,991124,973179,978242,953466,327240,266823,212624,126125,66935,
净资产收益率加权(%),0.47,0.34,0.3,1.5,1.04,0.48,0.9,2.4,3.45,3.13,2.65,-9,-3,2.4,1.84,9,10,7.5,46,27,60,62,62,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
