报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.14,0.13,-0.08,0.85,0.1,0.1,-0.12,0.8,0.77,0.71,
每股净资产(元),5.69,5.86,5.67,4.85,--,4.11,--,4.22,3.65,3.05,
每股经营活动产生的现金流量净额(元),-0.51,-0.64,-0.33,0.25,--,-0.43,-0.33,0.37,0.89,0.01,
主营业务收入(万元),13445,10371,1516,26760,9892,7703,956,24209,23346,20746,
主营业务利润(万元),4971,3643,625,13137,4423,3148,399,12337,11621,11318,
营业利润(万元),806,801,-534,6188,510,717,-784,5827,5335,5128,
投资收益(万元),328,113,--,--,--,--,--,--,--,--,
营业外收支净额(万元),684,504,5,417,317,111,58,500,905,429,
利润总额(万元),1490,1305,-529,6605,827,828,-726,6326,6239,5558,
净利润(万元),1195,1088,-587,5631,657,690,-802,5307,5120,4703,
净利润(扣除非经常性损益后)(万元),--,905,--,5057,--,638,--,4959,4369,4125,
经营活动产生的现金流量净额(万元),-4502,-5673,-2920,1676,-4290,-2852,-2192,2447,5922,59,
现金及现金等价物净增加额(万元),-1532,-956,15925,-289,-6173,-4535,-2284,114,3937,-1951,
总资产(万元),57305,58955,55940,42405,--,33171,--,36425,31952,26275,
流动资产(万元),52706,54215,51554,37871,--,28600,--,31655,27157,21229,
总负债(万元),6808,6967,5624,10173,--,5851,--,8345,7667,5993,
流动负债(万元),6401,6488,5073,9550,--,5085,--,7434,6469,4508,
股东权益不含少数股东权益(万元),50497,51987,50316,32231,--,27319,--,28080,24285,20282,
净资产收益率加权(%),2.53,2.41,-1.54,18.82,--,2.47,-2.9,20.44,23.28,25.47,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
