报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.04,0.04,0.04,-0.05,0.01,0.02,-0.02,0.27,0.24,0.16,0.05,0.43,0.3,0.21,0.04,0.71,0.47,0.27,0.67,0.59,0.6,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,7.05,6.96,6.94,6.89,2.88,2.68,0,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,0.15,0.14,-0.13,0.57,0.17,0.13,0.45,0.24,1.59,
主营业务收入(万元),48597,36984,16909,42232,27151,16948,5296,38564,26577,15963,5851,28648,17865,11060,3106,30387,19470,12887,26596,19957,18992,
主营业务利润(万元),12736,9124,4098,10062,6950,4551,1314,11876,9224,5787,2163,10347,6955,4215,1249,13657,8894,5619,12329,10426,9547,
营业利润(万元),798,889,657,-1246,268,408,-438,4751,4369,2945,801,6770,4423,2901,789,10032,6566,3772,9078,8008,7266,
投资收益(万元),-6,40,0,56,9,--,--,--,--,--,--,--,--,--,--,--,--,0,6,0,12,
营业外收支净额(万元),332,77,39,292,177,119,119,334,292,134,70,1270,1128,1030,7,248,92,73,309,250,28,
利润总额(万元),1130,966,696,-954,444,527,-319,5085,4661,3079,871,8040,5551,3931,797,10280,6658,3845,9386,8258,7294,
净利润(万元),921,854,642,-816,120,377,-306,4322,3898,2621,732,6889,4828,3340,676,8761,5621,3230,8005,7042,6148,
净利润(扣除非经常性损益后)(万元),656,799,609,-1151,-31,277,-407,4038,3650,2508,--,5809,--,2465,--,8550,5542,3167,7737,6830,6113,
经营活动产生的现金流量净额(万元),-20156,-19491,-8042,-3266,-4413,-2256,211,1983,-682,-838,-906,5755,2393,2166,-2013,9053,1996,1582,5294,2934,3841,
现金及现金等价物净增加额(万元),11562,31478,-7398,-11683,-14592,-14234,-6863,-23244,-21134,-18248,-8866,-31050,-23562,-16532,-9101,73367,-3364,-332,-2019,-4912,11043,
总资产(万元),232537,242643,193412,186521,173666,148224,141938,142988,141011,133239,122116,121150,123109,122163,117694,122739,47627,44445,41490,33054,24834,
流动资产(万元),101918,118880,74225,71122,73613,56387,56970,64770,85678,82491,83821,83228,92858,93503,94213,99423,30891,27980,26236,22444,21433,
总负债(万元),67279,78135,71482,65163,54950,31092,24100,24387,22644,16151,6337,6096,10108,10642,6714,12435,13076,12285,10399,8095,5253,
流动负债(万元),60983,69602,59218,52491,37045,24621,17537,18618,17647,15836,6042,5795,9899,10427,6484,7205,10332,12041,10246,8095,5253,
股东权益不含少数股东权益(万元),157912,157657,115072,114547,116524,115030,115777,116507,115188,113918,115653,114921,112860,111372,110980,110304,34551,32160,31091,24959,19580,
净资产收益率加权(%),0.71,0.74,0.56,-0.71,0,0.32,-0.26,3.73,3.36,2.26,0.64,6.13,4.33,3,0.61,21.66,--,9.87,28.72,31.82,86.3,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
