报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-06-30,2010-12-31,2009-12-31,2008-12-31,
基本每股收益(元),0.44,0.3,0.15,0.35,0.23,0.12,0.08,0.4,0.26,0.17,0.08,0.35,0.26,0.19,0.1,0.79,0.45,0.83,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,5.43,5.36,3.5,3.4,3.06,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-0.12,-0.18,-0.26,0.31,0.43,0.29,4.85,2.57,
主营业务收入(万元),54257,35249,16530,52719,34678,19764,7408,32112,22353,13615,6249,24692,17690,10868,4412,30325,17092,30945,21564,15438,
主营业务利润(万元),18619,12258,5744,17082,11305,6256,2224,10097,7052,4276,1956,8312,6065,3810,1719,10863,6248,12090,8975,4816,
营业利润(万元),10219,6964,3471,8322,5410,2734,948,4278,3010,1977,878,3694,2519,1761,818,6487,3969,7330,5104,1163,
投资收益(万元),18,18,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,5,7,4,
营业外收支净额(万元),230,61,47,-14,26,46,12,387,57,42,17,108,119,37,12,367,26,-28,238,105,
利润总额(万元),10449,7025,3518,8309,5436,2779,960,4665,3067,2019,896,3801,2638,1797,830,6854,3994,7301,5342,1268,
净利润(万元),8825,5907,3020,6991,4560,2321,832,4024,2606,1687,770,3247,2281,1567,726,5936,3402,6212,4486,1106,
净利润(扣除非经常性损益后)(万元),8630,5855,2980,7014,4538,2283,822,3695,2557,1652,755,3157,--,1535,716,5610,3380,6264,4286,1025,
经营活动产生的现金流量净额(万元),-6224,-3895,-4152,5468,1294,-181,-1459,33,-753,345,-42,42,-1199,-1799,-1949,2333,3205,2178,2624,1392,
现金及现金等价物净增加额(万元),-979,-8161,-6042,-1621,-3396,-2803,-1986,-4687,-6111,-3158,421,20813,19761,21400,-2082,766,2063,194,913,-39,
总资产(万元),94921,81181,78346,77560,71980,68608,65508,65321,61635,62101,62809,60535,57897,56525,32096,32222,31107,27420,18291,12076,
流动资产(万元),67558,53903,51526,51358,49127,47990,46537,46471,43838,44479,46627,46432,45314,44623,20130,20107,18697,15441,10102,6534,
总负债(万元),25277,14455,13107,15341,12192,11058,8248,8893,6815,8200,6726,5221,3550,2892,5881,6733,8152,7867,6941,4670,
流动负债(万元),24962,14169,12921,15155,12192,11052,8231,8866,6778,8153,6669,5154,3550,2892,5881,6733,8152,7293,6534,4165,
股东权益不含少数股东权益(万元),69644,66726,65239,62219,59789,57550,57260,56428,54820,53901,56083,55314,54347,53633,26215,25489,22954,19553,11340,7396,
净资产收益率加权(%),13.37,9.1,4.52,11.8,7.84,4.05,1.46,7.25,4.6,3,1.38,7.24,5.51,4.46,2.81,26.36,16,43,46.54,14.96,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
