报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.05,0.04,-0.01,0.23,0.19,0.18,0.04,0.56,0.36,0.14,0.03,0.42,0.24,0.12,0.02,0.33,0.17,0.1,0.04,1.17,0.74,0.59,1.02,0.59,0.28,
每股净资产(元),2.06,3.09,3.04,3.05,3.07,6.21,6.11,6.08,5.86,5.64,5.69,5.66,5.61,5.49,5.67,5.65,5.49,5.42,14.14,14.1,2.98,2.83,2.52,1.76,1.24,
每股经营活动产生的现金流量净额(元),-0.12,-0.16,-0.19,-0.13,-0.25,-0.37,-0.3,0.3,-0.04,-0.03,-0.17,0.37,-0,0,-0.12,0.26,-0.01,-0.05,-0.3,0.54,0.28,0.44,0.87,0.98,0,
主营业务收入(万元),50925,32375,10987,63994,39689,22157,7018,52210,30415,16602,4738,36324,21113,10812,3271,25322,15369,9008,3225,24338,16500,11304,21683,15496,4599,
主营业务利润(万元),19594,11670,4324,26982,17548,9718,3082,23095,14049,7451,2084,17048,10105,5238,1512,11821,7257,4259,1566,11850,8061,5528,10554,7305,2154,
营业利润(万元),1061,821,-663,6442,6370,2817,648,8729,5991,2811,573,6990,3965,2064,354,4902,3312,1743,117,4979,3313,2523,4476,2584,1165,
投资收益(万元),--,--,--,98,97,81,39,190,102,--,--,--,--,--,--,--,--,--,--,--,0,0,0,33,0,
营业外收支净额(万元),2146,943,67,2905,1711,1006,7,2868,1534,59,-10,1684,961,442,66,1619,246,252,203,2036,1271,1138,668,487,96,
利润总额(万元),3207,1764,-596,9347,8082,3823,655,11597,7525,2871,563,8674,4926,2506,420,6520,3558,1995,320,7015,4584,3662,5144,3070,1261,
净利润(万元),2983,1545,-531,8275,7035,3238,655,10148,6486,2485,485,7575,4343,2249,373,5919,3139,1771,305,6325,4011,3204,5134,2937,1043,
净利润(扣除非经常性损益后)(万元),--,1273,--,7916,--,3129,--,9785,--,2445,--,7251,--,2178,--,5555,--,1728,--,6175,3815,3062,5125,2904,434,
经营活动产生的现金流量净额(万元),-6796,-5958,-6938,-4814,-8989,-6731,-5498,5563,-664,-599,-3145,6579,-37,54,-2085,4748,-254,-819,-2194,3869,1497,2380,4704,2954,6,
现金及现金等价物净增加额(万元),-9919,-7706,-7481,-9785,-12648,-5102,-5874,-11084,-21904,-11812,-12801,-3477,-7100,-6506,-2599,-6033,-10371,-9440,-4608,83386,-914,628,4449,2767,351,
总资产(万元),139536,137670,134451,137040,130183,133263,128048,130330,127503,121158,110112,123907,110967,107684,106870,109552,104787,102057,104689,109164,21663,22097,20394,13194,6772,
流动资产(万元),103330,101938,102085,104530,102261,104008,97049,98620,93011,95884,87177,101299,99219,96205,96356,99469,95562,94113,96896,101327,17574,19099,17489,10354,4086,
总负债(万元),24706,23120,21210,23276,15806,17821,14437,17278,18948,16639,7511,21771,9702,8492,4514,7558,5883,4521,2859,7639,5588,6829,6790,7924,2913,
流动负债(万元),21081,19288,17268,19219,14147,16323,12832,15609,17719,15249,6521,20776,9261,8070,4067,7076,5491,4137,2458,7260,5238,6519,6536,7731,2875,
股东权益不含少数股东权益(万元),112814,112492,111174,111708,112310,113635,111804,111150,107112,103004,102353,101868,100987,98893,102057,101684,98904,97536,101830,101525,16075,15268,13604,5270,3732,
净资产收益率加权(%),2.6,1.39,-0.48,7.43,6.25,2.9,0.59,9.53,6.2,2.41,0.48,7.19,4.3,2.22,0.37,5.85,3.12,1.75,0.3,41.19,0,23.02,63.36,56.48,32.49,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
