报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.37,0.22,0.07,0.3,0.25,0.16,0.06,0.4,0.33,0.21,0.12,0.86,0.61,0.54,0.87,0.65,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,6.28,6.16,3.26,2.72,1.82,--,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,-1.98,-1.11,1.02,1.04,--,
主营业务收入(万元),223738,138755,55621,249381,174157,113924,47810,271891,177575,106847,37150,229651,172271,110011,206373,150922,97121,
主营业务利润(万元),40972,24031,8516,40548,29344,18064,6660,35552,25162,15463,5763,33690,25892,17133,29034,20020,13224,
营业利润(万元),16416,9349,2745,12709,11395,7188,2503,15837,12789,7894,2584,15416,12948,8622,13907,10309,5862,
投资收益(万元),6,5,5,10,--,--,--,22,--,--,--,--,--,--,--,--,2,
营业外收支净额(万元),175,47,21,136,152,-20,-5,-46,38,17,1,35,28,24,21,-47,-66,
利润总额(万元),16592,9396,2766,12845,11547,7168,2497,15791,12826,7911,2585,15451,12976,8646,13928,10261,5796,
净利润(万元),12124,7230,2180,9857,8138,5104,1818,13090,10671,6761,2189,13246,11083,7354,11881,8796,4879,
净利润(扣除非经常性损益后)(万元),11979,7189,2165,9714,7999,5115,1823,13111,10639,6746,2188,13216,--,7333,11863,8836,4921,
经营活动产生的现金流量净额(万元),7577,4177,3584,-12631,-21066,-23140,-24574,-645,-24434,-11036,-36867,-5773,-35841,-15150,13890,14183,2853,
现金及现金等价物净增加额(万元),-14839,-11020,-4682,-31182,-43357,-41420,-26326,2206,-29703,-20047,-28398,30487,18034,1245,14775,2939,2226,
总资产(万元),333686,317995,280449,276185,284700,272851,258266,251173,237031,191798,196636,169575,179366,136594,117652,92345,90105,
流动资产(万元),250097,238978,203901,200310,211577,202322,188436,193327,184298,156991,162181,136950,157355,114258,95696,75806,77209,
总负债(万元),182756,172972,139391,137361,147914,139662,126185,125137,113686,76546,80515,55643,67596,92228,80639,67566,74122,
流动负债(万元),182388,172595,139004,136965,145149,136886,123398,124413,113080,75932,80003,55125,67073,89699,78140,62569,74122,
股东权益不含少数股东权益(万元),139597,134702,131284,129104,127108,124074,123400,121581,119162,115252,116121,113932,111770,44367,37013,24779,15984,
净资产收益率加权(%),8.4,5.45,1.67,7.86,6.52,4.11,1.48,11.16,9.18,5.85,1.9,18.88,19.55,17.21,38.24,43.15,28.05,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
