报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-06-30,2005-12-31,2004-12-31,2003-12-31,
基本每股收益(元),0.34,0.12,0.05,0.04,0.07,0.05,0.04,-0.46,-0.04,-0.03,-0.02,0.02,0.02,0.02,0.02,0.05,0.06,0.06,0.03,0.18,0.16,0.13,0.07,0.1,0.1,0.06,0.06,0.36,0.4,0.25,0.13,0.25,0.21,0.14,0.06,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,2.15,--,2.53,--,2.59,--,2.87,2.87,2.87,2.73,2.76,2.8,2.87,2.84,2.85,2.86,2.82,2.75,2.75,2.81,2.8,2.75,2.75,2.68,2.6,2.55,2.62,2.54,2.58,2.49,1.91,2.09,1.53,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.73,--,0.13,0.09,0.03,0.2,0.16,0.11,0.05,0.28,0.22,0.12,0.06,0.2,0.18,0.12,0.07,0.6,0.51,0.31,0.1,0.36,0.28,0.18,0.05,0.4,0.38,0.88,--,0,
主营业务收入(万元),455102,288132,136197,260215,176144,119074,66044,256688,192854,129973,65045,286958,221778,156225,81472,279265,206252,134984,65663,259668,197296,136737,65945,186421,134773,90067,49904,321079,257058,163292,83224,242092,175108,119710,56725,239255,120080,265022,252185,178679,
主营业务利润(万元),167215,103404,41907,50670,34557,21754,16428,-7376,-16042,-13909,-6114,6703,6307,8660,5524,20627,23935,22217,11054,66910,56868,44639,20319,47255,37230,26091,20863,170552,141336,85284,43271,106466,77355,51381,23485,111173,57987,143006,131394,67011,
营业利润(万元),156145,97647,39395,-7262,44814,29491,20052,-197789,-10349,-11817,-6349,9578,9064,9583,5487,17357,21021,20594,10658,62084,53572,42328,19466,42477,34040,24053,20356,131287,130547,76786,39811,89578,72527,49201,21436,97171,52933,133931,118298,44567,
投资收益(万元),12964,10208,5482,32925,25190,16619,7637,25821,6886,4641,2318,7796,5685,3811,1928,7149,5716,3844,1796,6296,5138,3430,1655,2611,1548,887,339,-3734,-448,-100,-282,-1390,-496,-304,-179,-140,-63,4437,3765,4406,
营业外收支净额(万元),71016,8,0,35387,-9445,-1428,-349,-16048,-6502,-76,-78,3370,87,87,112,189,0,0,0,6511,3241,3250,3477,3694,3714,--,--,12134,--,12060,--,--,2887,--,3,37,--,--,--,0,
利润总额(万元),227162,97655,39396,28125,35369,28063,19703,-213837,-16850,-11893,-6427,12948,9152,9670,5599,17546,21021,20594,10658,68594,56813,45578,22944,46170,37754,24053,20356,143420,142612,88847,45804,93392,75414,49201,21440,97069,52890,139033,128930,51333,
净利润(万元),162665,55834,22504,20026,31307,25355,18352,-218352,-20116,-13749,-7087,9107,6780,8272,5223,16252,20016,19908,10303,61580,54884,44183,22365,34312,34943,22083,19085,123312,136874,85483,44160,84847,71555,47003,20495,82929,51941,134446,120627,42874,
