报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2012-06-30,2011-12-31,2010-12-31,2009-12-31,
基本每股收益(元),0.24,0.18,0.54,0.38,0.22,0.6,0.61,0.28,0.56,--,--,
每股净资产(元),--,--,3.65,--,--,--,--,--,--,--,--,
每股经营活动产生的现金流量净额(元),--,--,1.16,--,--,0.86,1.19,--,--,--,--,
主营业务收入(万元),149082,97738,121468,88419,57291,125636,98191,49350,83643,57745,34682,
主营业务利润(万元),9139,6339,14441,11037,7488,15138,16153,7530,13373,9811,5297,
营业利润(万元),2658,2042,5994,4267,2892,6672,7298,3452,7040,5545,3181,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),624,396,735,294,-70,693,150,21,-145,152,-73,
利润总额(万元),3281,2439,6729,4561,2822,7365,7447,3473,6895,5696,3108,
净利润(万元),2360,1595,4892,3421,1989,5418,5529,2551,5061,4239,2302,
净利润(扣除非经常性损益后)(万元),1892,1298,4341,3201,2041,4898,5465,--,--,--,--,
经营活动产生的现金流量净额(万元),3484,3576,10452,5757,2201,7702,10736,1068,6599,2667,789,
现金及现金等价物净增加额(万元),-851,20984,845,-3710,-1823,-68,589,-339,3111,-176,278,
总资产(万元),82559,97181,70369,--,--,67852,60298,57846,48076,25016,15072,
流动资产(万元),28643,45796,21823,--,--,20872,15215,19361,14099,8577,6417,
总负债(万元),22866,38143,34631,--,--,37257,35253,35791,27398,12971,8774,
流动负债(万元),21185,29177,24293,--,--,29305,22200,19174,14844,12513,8740,
股东权益不含少数股东权益(万元),56379,55618,32875,--,--,30547,25044,22055,20678,12045,6299,
净资产收益率加权(%),6.22,4.37,14.78,10.59,6.39,19.49,24.29,11.73,31.46,48.23,48.13,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
