报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-06-30,2009-12-31,2008-12-31,2007-12-31,
基本每股收益(元),0.01,0.05,0.02,0.14,0.1,0.11,0.15,0.4,0.32,0.13,0.03,0.28,0.07,0.03,-0.14,0.4,0.24,0.39,0.22,0.87,0.44,0.54,0.38,0.29,
每股净资产(元),2.58,2.58,2.6,2.58,2.55,2.56,5.15,5,4.91,4.72,7.04,7.01,6.8,6.75,12.27,12.41,12.3,12.4,4.07,3.85,3.43,2.98,2.45,2.2,
每股经营活动产生的现金流量净额(元),-0.3,-0.33,-0.31,-0.25,-0.54,-0.44,-0.58,0.02,-0.89,-0.54,-0.92,-0.06,-1.19,-1.18,-1.33,-1.54,-4.19,-2.92,-2.63,0.97,0.34,0.14,0.19,-0.03,
主营业务收入(万元),100282,68506,32515,135469,96800,64461,30277,127055,91749,55562,22284,75975,48148,29196,11891,65602,45722,29625,14790,52778,25845,35938,33087,33781,
主营业务利润(万元),30081,20820,9871,47370,33223,22998,10864,42591,29305,17425,6870,29782,16610,9927,3325,20522,13513,9530,4535,18489,9289,11828,9784,8849,
营业利润(万元),1760,3193,1357,5882,4981,4875,3469,9103,8682,3668,768,3339,133,-85,-1218,1124,1622,2430,1601,5637,3076,3302,2565,1751,
投资收益(万元),-68,-46,-18,-1125,-1089,101,186,-369,-144,-86,44,356,173,19,7,-207,-159,-33,--,4,4,0,3,13,
营业外收支净额(万元),187,-74,-42,518,112,168,34,869,309,112,--,1473,1099,442,106,1261,786,558,85,525,34,353,48,132,
利润总额(万元),1947,3119,1316,6400,5093,5044,3503,9973,8992,3780,768,4812,1232,357,-1112,2385,2407,2988,1685,6163,3110,3655,2614,1882,
净利润(万元),639,1934,824,5862,4409,4548,3130,8616,6805,2687,469,3950,1019,379,-1113,2934,1945,2676,1308,5211,2641,3216,2279,1710,
净利润(扣除非经常性损益后)(万元),--,1999,--,5220,--,3652,--,7768,--,2533,--,2628,--,16,--,1870,--,2202,1236,4764,2614,2910,2240,1593,
经营活动产生的现金流量净额(万元),-13090,-14121,-13405,-10883,-23288,-18990,-12500,347,-19218,-11646,-13257,-826,-17120,-16926,-10605,-12284,-33398,-23259,-15704,5767,2017,858,1127,-206,
现金及现金等价物净增加额(万元),-43304,-32754,-23574,8130,-405,10025,-2277,-3321,-8628,-12531,-19291,-7960,-20738,-16070,-2177,49753,47686,47151,-9039,5179,2395,3460,-137,-951,
总资产(万元),182870,182057,195456,202459,206165,195565,197739,174735,179998,158884,136837,142192,134437,135490,140188,130860,138088,135063,63382,58218,46012,42718,32278,29253,
流动资产(万元),150158,151301,164891,172147,178814,168459,172388,149718,155808,135378,115806,122090,113531,114652,122599,113312,123705,125354,54924,51470,39988,36778,27405,24361,
总负债(万元),71397,70783,83081,90973,96086,84157,85624,65841,72953,56099,35970,41772,37009,38693,42465,32030,40156,36285,39051,35195,25528,24906,17667,16089,
流动负债(万元),69080,68337,80745,88877,94446,82433,84169,64455,72636,55700,35559,41383,36631,38314,42081,31647,39825,35883,38515,34659,25398,24750,17581,16033,
股东权益不含少数股东权益(万元),110893,110856,111924,110999,109569,109904,110636,107452,105636,101438,100868,100420,97428,96797,97724,98830,97932,98778,24331,23023,20484,17812,14611,13164,
净资产收益率加权(%),0.58,1.73,0.74,5.37,4.05,4.16,2.87,8.28,6.57,2.63,0.47,4.01,1.03,0.38,-1.13,4.02,2.86,5.05,--,25.52,13.73,19.78,16.51,14.07,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
