报告日期,2015-09-30,2015-06-30,2014-12-31,2014-09-30,2014-06-30,2013-12-31,2012-12-31,2011-12-31,
基本每股收益(元),0.26,0.24,0.52,0.32,0.2,0.35,0.49,0.7,
每股净资产(元),--,--,3.68,--,--,3.23,2.98,2.49,
每股经营活动产生的现金流量净额(元),--,--,-0.08,--,--,0.41,0.31,0.37,
主营业务收入(万元),54076,40452,78069,52091,33065,65538,69851,79161,
主营业务利润(万元),10946,8856,18244,11860,7574,12604,15715,20218,
营业利润(万元),4216,3880,8389,5129,2990,5900,8354,11880,
投资收益(万元),-5,0,-50,-22,-4,-65,-215,-99,
营业外收支净额(万元),1160,565,1413,958,638,657,478,1022,
利润总额(万元),5376,4446,9801,6087,3629,6557,8833,12902,
净利润(万元),4565,3726,8143,5010,3044,5393,7579,10935,
净利润(扣除非经常性损益后)(万元),3581,3245,6942,--,2501,4835,7172,10363,
经营活动产生的现金流量净额(万元),2543,5706,-1198,2098,3123,6373,4815,5694,
现金及现金等价物净增加额(万元),11147,21191,244,-488,1281,-1203,-801,3786,
总资产(万元),149077,147692,116545,--,--,100915,99041,86552,
流动资产(万元),86909,86958,57002,--,--,43371,43430,35003,
总负债(万元),53922,53341,57011,--,--,48647,50745,47632,
流动负债(万元),39298,34448,38581,--,--,36217,40457,33796,
股东权益不含少数股东权益(万元),93145,92305,57438,--,--,50395,46554,38920,
净资产收益率加权(%),6.66,6.28,16.36,--,6.24,11.19,17.73,29.39,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
