报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2012-12-31,2011-12-31,
基本每股收益(元),0.5,0.29,0.19,1.33,0.91,0.65,0.26,1.43,0.93,1.28,1.19,
每股净资产(元),5.32,5.19,10.23,10.04,9.67,7.02,--,6.63,--,5.45,4.42,
每股经营活动产生的现金流量净额(元),0.21,0.12,0.28,0.55,0.25,0.2,0.1,1.25,--,1.63,0.96,
主营业务收入(万元),23730,14370,6132,28722,20281,13483,5244,28226,20809,28488,27073,
主营业务利润(万元),11799,7251,2708,14141,10224,6950,2756,13796,9577,13453,11823,
营业利润(万元),7390,4295,1330,7680,5466,3857,1372,7921,5148,7037,6156,
投资收益(万元),--,--,--,--,--,--,--,--,--,--,--,
营业外收支净额(万元),158,88,88,481,155,153,81,151,-12,195,729,
利润总额(万元),7549,4383,1419,8161,5621,4010,1453,8071,5136,7232,6885,
净利润(万元),6415,3725,1209,6963,4412,3127,1267,6915,4483,6197,5772,
净利润(扣除非经常性损益后)(万元),--,3651,--,6554,--,3012,--,6517,--,6034,5152,
经营活动产生的现金流量净额(万元),2726,1550,1803,3552,1601,961,462,6055,3662,7897,4641,
现金及现金等价物净增加额(万元),-821,-3167,-1621,27265,26447,-677,-1918,-1615,-1784,3588,575,
总资产(万元),82826,76343,73783,75752,75218,45484,--,42196,--,40659,33292,
流动资产(万元),63230,56831,54696,56830,56666,26772,--,23868,--,22624,17572,
总负债(万元),13138,9344,7686,10864,12737,11486,--,10115,--,14282,11902,
流动负债(万元),7546,6648,4931,8018,10053,9271,--,7786,--,11719,9810,
股东权益不含少数股东权益(万元),69688,66999,66097,64888,62481,33998,--,32081,--,26376,21389,
净资产收益率加权(%),9.57,5.65,1.85,16.45,12.87,9.29,3.87,23.18,--,25.31,31.66,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
