报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-03-31,2005-12-31,2005-09-30,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.2,0.14,0.07,0.3,0.21,0.13,0.06,0.23,0.17,0.11,0.04,0.22,0.15,0.1,0.04,0.21,0.17,0.12,0.06,0.26,0.19,0.12,0.05,0.18,0.13,0.08,0.04,0.22,0.19,0.12,0.05,0.17,0.13,0.09,0.04,--,--,--,--,--,--,--,--,
每股净资产(元),2.51,--,--,--,2.28,--,2.25,--,2.13,--,2.14,--,2.02,1.97,2.03,1.99,1.94,1.9,1.75,1.69,1.61,1.54,1.58,1.53,1.47,1.43,1.47,1.42,1.43,1.36,1.4,1.34,1.21,1.16,1.19,1.15,1.13,1.06,1.04,0,0,0,0,
每股经营活动产生的现金流量净额(元),0.3,--,--,--,0.32,--,0.1,--,--,--,0.06,--,0.24,0.2,0.07,0.32,0.24,0.14,0.05,0.39,0.24,0.14,0.06,0.06,0.11,0.03,-0.06,0.15,0.06,0.05,-0.06,0.24,0.18,0.11,0.01,0.23,0,0.04,0.23,0,0,0,0,
主营业务收入(万元),2231768,1477329,742383,2877870,2141177,1379586,681944,2816230,2112713,1373399,649068,2838102,2143843,1364612,597628,2177886,1614075,1055134,512265,1910545,1406846,905522,434941,1654534,1205933,790367,367912,1814048,1381434,914581,423356,1632840,1158372,761243,343532,1248437,900374,265776,1099041,790574,744539,681613,196081,
主营业务利润(万元),743055,508198,251268,1034372,782757,507911,248935,925836,712472,452209,213780,887229,697998,453306,207221,963378,735720,485570,240212,869463,681229,439887,197374,676167,498337,321997,153338,836983,652293,431577,202452,721922,548418,359304,--,585737,433169,52872,523160,376308,379308,313229,74107,
营业利润(万元),629032,433848,217423,892647,631437,395219,196848,714834,544439,347439,146130,655665,502589,325181,141867,703150,563225,379831,189699,663066,535717,341923,151849,476041,361706,221129,101953,633262,514350,338614,154705,558613,429075,280435,135636,385765,314256,90694,356117,262552,243741,180091,18308,
投资收益(万元),128781,90087,37474,169812,86735,53602,24150,90880,63119,48727,6309,76711,23148,16430,3211,28165,18920,13867,2918,24824,18500,12433,3405,22157,14927,8944,1570,28255,20362,10243,2312,28809,22339,16485,4630,45075,24249,855,19672,17485,27417,18993,10217,
营业外收支净额(万元),61927,37596,14127,90261,61603,40920,18111,67307,47612,33702,13519,63120,37867,19660,5831,22777,6804,3686,885,127164,46261,44870,1354,62301,21663,16954,14613,76608,--,34626,--,--,--,--,--,5355,0,-140,0,0,0,0,0,
利润总额(万元),690959,471444,231550,982908,693039,436138,214959,782141,592051,381142,159648,718785,540457,344841,147697,725927,570029,383517,190584,790231,581978,386793,153202,538343,383370,238083,116566,709870,584758,373239,156467,559589,430011,280570,136573,436268,341660,42867,376916,281976,252341,202616,25715,
净利润(万元),452471,309782,150442,676655,467939,293208,143854,525553,396323,255073,101866,496927,352494,225348,92260,472419,367326,249048,127130,541712,391529,260806,102342,376005,272840,171134,73391,461934,392256,247055,101725,364003,279515,182889,89593,296322,205743,57515,250415,169103,128689,99738,17229,
