报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2009-12-31,2009-09-30,2008-12-31,2007-12-31,
基本每股收益(元),0.28,0.19,0.13,0.39,0.22,0.1,0.02,0.13,0.05,0.05,0.03,0.15,0.14,0.13,0.04,0.34,0.3,0.22,0.04,0.55,0.47,0.29,0.36,0.25,0.27,0.62,
每股净资产(元),4.43,4.34,5.15,5.01,4.85,4.75,3.55,3.53,3.45,3.45,4.18,4.15,4.14,4.13,5.39,5.35,5.31,5.24,6.71,6.67,2.07,1.89,1.7,0,1.41,1.16,
每股经营活动产生的现金流量净额(元),0.06,0,-0.07,0.5,0.06,0.07,-0.19,0.31,-0.37,-0.16,-0.39,0.02,-0.37,-0.26,-0.38,0.23,-0.35,0.15,-0.35,0.49,0.01,0.55,0.1,0.16,0.11,0.08,
主营业务收入(万元),30383,22602,8791,51576,28449,17471,6022,32795,17954,12877,6075,27991,20077,12828,4513,27760,17831,12787,3549,21384,14734,9799,13152,9436,9163,6044,
主营业务利润(万元),19703,12966,6202,23325,13457,6485,1965,9117,6345,4609,2493,8496,6301,4309,1547,7585,6042,4072,1208,6783,5082,3179,5142,3726,3494,2535,
营业利润(万元),13532,9148,5658,13575,7463,2990,571,2475,949,1198,664,2908,2392,2054,427,4418,3820,2876,436,3833,3202,2013,2557,1834,2022,1939,
投资收益(万元),2630,2627,2483,179,-3,-9,-0,324,-7,-28,-12,22,-29,-65,-56,-31,-9,11,--,--,0,0,0,0,2,0,
营业外收支净额(万元),785,769,0,780,75,90,-0,497,391,280,20,98,38,48,49,115,45,51,0,42,-54,-60,78,78,-6,-214,
利润总额(万元),14317,9917,5658,14356,7538,3080,571,2972,1339,1478,684,3006,2430,2101,476,4533,3865,2927,436,3875,3148,1953,2635,1912,2016,1726,
净利润(万元),11639,8012,4646,11826,6146,2482,374,2032,800,822,362,1900,1762,1617,350,3318,2881,2189,290,3083,2595,1621,2023,1497,1421,1166,
净利润(扣除非经常性损益后)(万元),--,5449,--,11061,--,2414,--,1285,--,613,--,1826,--,1581,--,3230,--,2151,--,3052,2636,1666,1936,1410,1426,1023,
经营活动产生的现金流量净额(万元),2476,178,-2596,17473,2279,2560,-2951,4647,-5577,-2462,-4883,294,-4742,-3346,-3697,2260,-3423,1441,-2598,3667,26,3098,552,885,639,417,
现金及现金等价物净增加额(万元),-2907,-5231,-3996,19568,-2596,8037,-2956,-21423,-6759,-2468,-4941,-1594,-6314,-6724,-3841,-4738,-10452,-2924,-2807,40741,-626,2517,-205,96,1707,2177,
总资产(万元),195099,193817,193945,202938,180785,192016,64236,63860,64484,62430,60406,60078,62539,61079,59215,57753,59515,58887,54174,53414,13096,15344,11821,0,10913,7263,
流动资产(万元),73304,72528,72678,83082,50655,61791,48668,48228,56212,54047,51735,51313,54325,51190,51012,49429,51577,53475,51711,50909,11105,13337,9783,--,8858,6870,
总负债(万元),7294,9565,11897,25496,9043,23933,9281,9283,11243,8966,6628,6715,9469,8248,6198,4929,7371,7574,3645,3180,1324,4554,2110,--,2568,1399,
流动负债(万元),7000,9271,11652,25251,8610,23600,8947,8950,11243,8966,6628,6715,9469,8248,6198,4929,7321,7524,3595,3130,1274,4504,2060,--,2568,1399,
股东权益不含少数股东权益(万元),186897,183270,181136,176490,170811,167146,54041,53667,52526,52548,53010,52648,52510,52365,52560,52192,51756,51063,50289,49999,11565,10591,9530,0,7902,5812,
净资产收益率加权(%),6.4,4.44,2.6,9.51,5.79,3.38,0.69,3.83,1.52,1.55,0.69,3.64,3.36,3.06,0.67,6.51,5.66,4.3,0.58,29.07,0,16.26,23.05,0,20.98,23.74,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
