报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-09-30,2010-06-30,2010-03-31,2009-12-31,2009-09-30,2009-06-30,2009-03-31,2008-12-31,2008-09-30,2008-06-30,2008-03-31,2007-12-31,2007-09-30,2007-06-30,2007-03-31,2006-12-31,2006-09-30,2006-06-30,2006-03-31,2005-12-31,2005-09-30,2005-06-30,2005-03-31,2004-12-31,2004-09-30,2004-06-30,2004-03-31,2003-12-31,2003-09-30,2003-06-30,2003-03-31,2002-12-31,2002-09-30,2002-06-30,2002-03-31,2001-12-31,2001-06-30,2000-12-31,2000-06-30,1999-12-31,1999-06-30,1998-12-31,1998-06-30,1997-12-31,1997-06-30,1996-12-31,1996-06-30,1995-12-31,1995-06-30,1994-12-31,1994-06-30,1993-12-31,1993-06-30,1992-12-31,
基本每股收益(元),0.11,0.15,-0.02,0.5,0.16,0.15,-0.02,0.46,0.13,0.15,-0.04,0.4,0.11,0.12,0.01,0.37,0.19,0.12,0.06,0.27,0.07,0.06,0.01,0.42,0.07,0.06,0.01,0.49,-0.25,-0.18,-0.08,-0.15,-0.11,-0.19,-0.04,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,4.26,--,4.09,4.14,4.07,4.04,3.88,3.82,3.82,3.77,3.54,3.48,3.45,3.43,3.03,3.03,2.97,2.92,-0.1,-0.04,0.06,0.15,0.29,0.27,0.42,0.51,0.63,1.09,0.47,0.53,1.38,1.42,1.52,1.5,2.6,2.62,2.74,2.81,2.86,4.71,4.54,4.58,4.68,4.62,4.49,4.15,5.35,5.4,2.77,2.43,2.43,2.76,2.38,2.82,2.6,2.54,2.6,2.52,2.54,2.57,2.43,2.7,2.69,1.03,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,-0.59,--,-0.54,-0.3,-0.3,-0.12,-0.05,0.13,0.12,-0.55,-0.91,-0.87,-0.92,0.99,0.63,0.29,-0.07,-0.65,0.3,0.27,0.26,0.22,-0.36,-0.26,-0.2,-0.41,0,--,0,0.81,0,0,0,-0.48,0,0,0,1.04,0,0,0,0.73,0,1.42,--,1.59,0.72,-4.37,0,0.24,--,0.16,--,--,--,--,--,--,--,--,--,--,--,--,
主营业务收入(万元),292006,216327,43780,485049,222739,190611,58983,447951,178904,138064,27831,400725,160439,138052,33902,330677,128891,104197,58244,413350,166498,123206,29706,410388,112213,79001,21031,275418,86090,53857,21754,125513,74834,48864,19549,119233,79949,51306,25924,121905,72091,45966,23817,118618,75744,45153,16400,74778,48963,27034,14206,76062,71637,49380,22803,113479,47547,48921,14767,27318,14312,21970,9672,25050,11966,24280,13357,30874,15537,28965,13574,28427,13550,--,
主营业务利润(万元),61957,49733,7151,132620,68699,59326,14166,120563,48687,40763,5968,118316,56514,51015,14319,101588,52621,44663,26186,97660,48106,37297,10816,122900,30640,20557,5550,73709,12993,9270,2748,21329,12812,7560,3322,11239,8374,4560,2836,10378,8110,4192,2745,12324,9840,5254,2174,19088,15053,8858,4155,21963,28704,21803,7349,36256,19191,23315,7016,8894,4863,5956,1379,2199,676,1491,741,1851,998,1879,826,1434,731,--,
营业利润(万元),19257,26055,-4992,93710,26373,25802,-4196,79834,21147,25943,-7715,83237,24403,28152,3863,79274,36771,25943,13019,54767,17636,16591,3165,103390,15555,13308,1325,58789,-12294,-8490,-4377,-8376,-6488,-9287,-2239,-11599,-4659,-6638,-1049,-23008,-5098,-4606,-1138,-15839,-3230,-3724,-2071,980,1498,-666,-450,3127,4372,4459,-117,8007,6426,9273,3771,4133,3715,3878,488,2498,0,1587,0,2006,0,0,0,1432,731,--,
投资收益(万元),12417,10128,2978,53255,10804,1692,129,26938,14969,14038,807,13319,4330,2448,1281,24167,14103,2254,250,6148,1475,243,368,14187,7708,5800,-847,14460,-7629,-6477,-1733,-1149,1365,-2263,-673,13470,15488,16910,-1229,-15311,-5212,-4292,-1271,-14845,-3356,-2139,-284,752,2414,2475,-373,-45,175,352,748,-956,-383,427,345,44,34,-6,-49,229,35,116,116,317,116,399,0,0,0,--,
营业外收支净额(万元),2198,758,555,9439,9326,8584,3656,9231,6248,6133,113,2313,320,101,182,4486,3521,2002,17,3322,2483,1427,335,2365,3701,2960,2000,11281,--,217,--,--,--,--,--,99,0,--,0,-684,0,0,0,-8897,0,0,0,-48,10,0,0,9,-66,-5,0,70,95,-106,0,486,10,0,0,0,-100,0,-101,0,-114,-188,0,0,--,--,
利润总额(万元),21455,26814,-4437,103149,35698,34386,-540,89065,27395,32075,-7602,85551,24722,28253,4045,83760,40292,27945,13036,58089,20120,18018,3499,105755,19256,16268,3325,70070,-12091,-8273,-4317,-4649,-4498,-9250,-2232,2007,10704,10177,-2269,-38923,-10372,-8875,-2409,-39223,-6007,-5233,-2146,3025,4632,1844,-824,3383,7090,6023,661,9097,6213,9594,4112,4663,3759,3879,343,2528,667,1519,802,2102,1066,2145,771,1294,668,--,
净利润(万元),16788,23560,-2956,76768,25087,22939,-3198,70390,19587,23302,-6586,61378,17086,18854,873,56296,28983,18043,9290,41845,10216,9788,959,64647,10093,9267,1324,50820,-12527,-9138,-4159,-7646,-5221,-9330,-1997,4557,10360,12028,-1367,-29953,-9332,-8005,-2460,-39960,-6676,-5813,-1880,3250,4645,1827,-814,2510,4043,2926,609,4646,2841,6896,4077,4769,3583,3698,292,2158,458,1056,576,1498,752,1539,517,863,4462,--,
净利润(扣除非经常性损益后)(万元),13989,22316,-3780,56884,12118,15054,-6512,55178,6012,10123,--,50769,--,18215,--,40982,--,15748,--,37462,--,8615,--,51791,--,-105,0,33350,0,-9145,--,-16493,0,-9360,--,-21076,0,-9034,0,-30168,0,-7991,0,-38439,0,-6498,0,2356,0,-418,0,2364,4313,3067,--,4939,2881,7002,4077,3948,--,--,--,--,--,--,--,--,--,--,0,0,--,--,
经营活动产生的现金流量净额(万元),-277516,-170210,-247568,-583206,-673787,-443453,-164509,-320503,-182007,-155091,-90337,-222514,-81634,-45822,-46074,-17620,-7010,19682,18925,-83616,-138390,-132640,-140563,150683,95508,43443,-11067,-98513,14774,13618,12974,10722,-17887,-12844,-9753,-20462,-9808,-6611,202,24580,14389,7308,12867,-14595,-42964,-24121,-18992,31636,10368,-11222,10377,13146,0,25502,--,28539,9884,-60227,19,2834,--,1454,--,--,--,--,--,--,--,--,--,--,--,--,
现金及现金等价物净增加额(万元),347339,239483,11345,-52309,50150,152820,152522,13782,40656,-61261,-86389,31974,-68275,-57297,-53983,68042,66630,57691,12904,-22324,-76937,-78845,-15883,70594,25982,30258,-12304,-21180,-16569,-16736,-15808,-10243,-13052,-15298,-11070,21139,11899,-3190,-4771,649,-6677,-5934,1026,-22699,-11565,-14791,-4192,17693,-6651,-11615,19101,-21266,0,33093,--,56017,45737,30994,14895,5569,--,-214,--,--,--,--,--,--,--,--,--,--,--,--,
