报告日期,2015-09-30,2015-06-30,2015-03-31,2014-12-31,2014-09-30,2014-06-30,2014-03-31,2013-12-31,2013-09-30,2013-06-30,2013-03-31,2012-12-31,2012-09-30,2012-06-30,2012-03-31,2011-12-31,2011-09-30,2011-06-30,2011-03-31,2010-12-31,2010-03-31,2009-12-31,2008-12-31,2008-06-30,2007-12-31,2007-06-30,2006-12-31,2005-12-31,2004-12-31,2003-12-31,2002-12-31,
基本每股收益(元),0.79,0.19,0.05,0.18,0.16,0.15,0.01,0.23,0.2,0.18,0.05,0.03,0.01,0.01,0.01,0.6,0.15,0.12,0.12,1.11,0.75,1.77,0.5,0.29,2.99,1.19,--,--,--,--,--,
每股净资产(元),--,--,--,--,--,--,--,--,--,--,--,--,8.99,8.97,8.99,8.97,8.55,8.53,7.95,8.11,0,7.33,5.5,0,--,--,0,0,0,0,0,
每股经营活动产生的现金流量净额(元),--,--,--,--,--,--,--,--,--,--,--,--,1.29,1.88,1.34,2.54,1.78,1.98,1.3,1.38,1.25,5.27,0.87,0,--,--,0,0,0,0,0,
主营业务收入(万元),4849357,3158237,1528250,5819588,4040860,2671571,1172387,5286328,3870449,2604093,1288387,4685377,3310894,2258201,1173427,4882692,3433409,2254466,1171034,4844842,1324653,4111391,2772721,1239414,2149655,862201,1309824,652902,644187,407601,229090,
主营业务利润(万元),771952,484569,228822,809456,554946,399781,177556,691420,517892,350862,169618,559150,406707,295142,169842,741842,486850,320036,181552,861478,313429,896054,539449,238084,2564770,182092,273818,145455,170489,132605,95438,
营业利润(万元),227221,46229,10679,-17912,-4155,33326,347,10665,26745,27223,13166,-30437,-14556,-7190,4059,141035,43046,32773,34535,276750,181176,416853,99019,0,174288,0,108367,44764,96679,91954,76232,
投资收益(万元),126171,-8934,-2702,6837,18967,-719,-860,-4841,-5391,-3493,8,-1119,-1094,71,844,50375,1385,-358,765,2577,496,1724,2976,0,--,--,0,1016,0,0,0,
营业外收支净额(万元),47335,36825,9720,105307,72413,31567,11485,72543,44516,34616,5233,59510,41000,23124,9287,31713,19634,16220,3269,37477,12182,33792,37378,0,--,0,0,0,0,0,0,
利润总额(万元),274556,83054,20399,87395,68258,64893,11831,83208,71261,61839,18398,29073,26444,15934,13346,172748,62680,48993,37804,314227,193358,450645,136397,85010,174288,67646,107400,45847,96711,92010,76337,
净利润(万元),196136,46666,12095,43353,38891,36069,1197,55306,46510,42694,11239,8138,2088,1627,2704,138463,35273,27536,26674,252341,170413,379358,102125,59566,161171,64100,101019,36864,89410,83000,65830,
净利润(扣除非经常性损益后)(万元),48799,15248,4039,-67728,-38997,9347,-9349,-5693,8813,13240,4787,-48370,--,-20836,--,62895,--,17122,23958,0,148917,0,0,0,--,--,0,0,0,0,0,
经营活动产生的现金流量净额(万元),-154101,302204,393701,3807,-159859,-54367,-111641,243617,167585,230134,74100,555533,303381,443093,316105,598453,418626,466129,305841,313939,294272,1198142,178855,142299,191081,29259,250177,136159,41639,32144,31776,
现金及现金等价物净增加额(万元),48995,-53067,51517,-62148,101224,365908,-38701,122438,251439,82452,-9741,-25083,7953,109469,80405,175865,153550,280382,190559,-33208,-5200,61147,-383728,-158160,--,-88230,97090,2377,-10058,-56856,115412,
总资产(万元),10665946,9525837,9222560,9400886,8930591,8667950,7722635,7639291,7561143,7199631,6933872,6871049,6760868,6690254,6629788,6562439,6262131,6113093,5728596,5296340,0,4044608,3253176,3126314,2928849,1859596,1603080,1094922,862709,554403,320172,
流动资产(万元),4774125,3928004,3860434,4073310,3840319,3714806,2847388,2824283,2836804,2562791,2272425,2193212,2164250,2149658,2144263,2142446,1983573,1995010,1887932,1755269,--,1685249,1449162,1531668,1629999,858571,811060,537222,446410,310048,249674,
总负债(万元),7404021,6583374,6316638,6511442,6061102,5802643,5227526,5153647,5091106,4736483,4500584,4456612,4351694,4290073,4225142,4164426,3967760,3823930,3583005,3181233,--,2141895,1919439,1830678,1687823,1270666,1101528,695443,470017,214413,56934,
流动负债(万元),5980641,5161673,5169147,5302212,4846689,4553463,3809233,4172205,4132896,4127877,3709702,3593092,3432988,3239894,3426540,3337093,3101610,3137761,3045927,2776395,--,1808793,1403582,1647061,1558339,1070211,949033,512476,446331,203899,56934,
股东权益不含少数股东权益(万元),2897647,2583937,2549797,2536560,2533293,2533601,2172591,2170976,2161834,2159270,2133285,2119698,2115474,2111000,2115568,2112452,2012186,2008468,1871279,1846032,0,1668236,1128557,1091359,1070812,573181,494035,393034,386772,324637,257142,
净资产收益率加权(%),7.22,1.82,0.48,1.84,1.65,1.53,0.06,2.58,2.17,2,0.53,0.38,0.1,0.08,0.13,6.98,1.83,1.43,0,14.36,0,27.13,9.29,0,--,--,0,0,0,0,0,
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
		
